gen alive: 12, params: (19.750494410457833, 1.2193505881373885, 2.618575805473663, 2.03774900681786, 258.9525043701118), id: 1387, score: 42
gen alive: 14, params: (14.513607923750694, 1.0677512204366897, 1.8321119408293776, 2.277711398210966, 371.3841060602505), id: 898, score: 39
gen alive: 14, params: (14.513607923750694, 2.126161265759218, 2.9940819944205295, 1.470005833670248, 371.3841060602505), id: 1286, score: 39
gen alive: 11, params: (19.750494410457833, 1.2193505881373885, 2.200575261076124, 1.470005833670248, 371.3841060602505), id: 1376, score: 36
gen alive: 7, params: (19.750494410457833, 4.083134437722522, 2.4878022855877315, 4.747975359398982, 258.9525043701118), id: 1383, score: 36
gen alive: 7, params: (19.130484864903476, 2.155881194226392, 2.3095449395054555, 2.976101458189109, 946.6724609308087), id: 1462, score: 36
gen alive: 13, params: (11.752381474429376, 2.0993164774565503, 2.4108393807374204, 1.470005833670248, 332.5827329092342), id: 1108, score: 33
gen alive: 13, params: (18.97187494934632, 2.985723379587276, 2.618575805473663, 2.976101458189109, 255.32916614424437), id: 1277, score: 33
gen alive: 13, params: (19.130484864903476, 2.155881194226392, 2.029129181553195, 2.976101458189109, 271.59682824506353), id: 1389, score: 33
gen alive: 12, params: (13.102930029534793, 1.2193505881373885, 2.9940819944205295, 1.470005833670248, 393.7200749124337), id: 1299, score: 33
gen alive: 11, params: (19.750494410457833, 1.2193505881373885, 1.4938454660264244, 4.747975359398982, 258.9525043701118), id: 644, score: 33
gen alive: 11, params: (19.750494410457833, 1.3596811029490268, 2.618575805473663, 1.470005833670248, 258.9525043701118), id: 1394, score: 33
gen alive: 11, params: (19.750494410457833, 1.2193505881373885, 2.4108393807374204, 1.470005833670248, 332.5827329092342), id: 694, score: 33
gen alive: 11, params: (19.750494410457833, 1.9961908412008542, 2.8043267868852504, 2.03774900681786, 258.9525043701118), id: 1098, score: 33
gen alive: 11, params: (14.513607923750694, 1.2193505881373885, 2.9940819944205295, 2.277711398210966, 393.7200749124337), id: 1484, score: 33
gen alive: 10, params: (19.750494410457833, 1.9961908412008542, 1.4938454660264244, 4.747975359398982, 258.9525043701118), id: 911, score: 33
gen alive: 14, params: (14.513607923750694, 2.126161265759218, 2.9940819944205295, 1.470005833670248, 393.7200749124337), id: 616, score: 31
