gen alive: 8, params: danger divisor: 8.965667702274969, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, min opp score: 320.50684611354427, id: 63521, score: 6
gen alive: 8, params: danger divisor: 13.898573548339712, min opp score: 100.06013002342432, corner divisor: 4.256293339554383, corner exponent: 1.5667532729206057, id: 63601, score: 6
gen alive: 8, params: danger divisor: 2.0452638675957546, min opp score: 562.6736469939628, corner divisor: 5.60559147397458, corner exponent: 2.7983198296815703, id: 63708, score: 6
gen alive: 8, params: danger divisor: 4.432226922435602, min opp score: 346.4126685008731, corner divisor: 1.4250631408404224, corner exponent: 2.397701817996083, id: 63748, score: 6
gen alive: 7, params: danger divisor: 8.731623258596127, min opp score: 386.14985250021203, corner divisor: 11.181382877789233, corner exponent: 2.7716609759360358, id: 62877, score: 6
gen alive: 7, params: danger divisor: 6.944663277632651, corner divisor: 6.874466594436521, corner exponent: 2.2336940517371575, min opp score: 843.1951396059266, id: 63097, score: 6
gen alive: 7, params: danger divisor: 3.5624755703493243, min opp score: 717.3970583392938, corner divisor: 1.2658754418042335, corner exponent: 1.6235227401608632, id: 63144, score: 6
gen alive: 7, params: danger divisor: 6.364780459932849, min opp score: 612.5307823050571, corner divisor: 2.3369725358483446, corner exponent: 1.6006634642299626, id: 63176, score: 6
gen alive: 7, params: danger divisor: 5.624156148413094, min opp score: 386.14985250021203, corner divisor: 2.4701602950994683, corner exponent: 2.8944851832227254, id: 62935, score: 6
gen alive: 7, params: danger divisor: 1.7721408789033868, min opp score: 340.91012519557955, corner divisor: 1.3378646119575635, corner exponent: 1.12902073209985, id: 61479, score: 6
gen alive: 7, params: corner divisor: 4.289801273199325, corner exponent: 2.7983198296815703, min opp score: 325.2427365594027, danger divisor: 2.8361742248541786, id: 63533, score: 6
gen alive: 7, params: danger divisor: 4.86896435808997, min opp score: 223.97018029785517, corner divisor: 3.1453760796352537, corner exponent: 2.883588699711776, id: 63649, score: 6
gen alive: 7, params: danger divisor: 3.4130132497369856, min opp score: 213.73779744841642, corner divisor: 2.566939015775496, corner exponent: 1.0283359492003035, id: 63661, score: 6
gen alive: 7, params: danger divisor: 7.9569096159445305, min opp score: 612.5307823050571, corner divisor: 5.161894852645707, corner exponent: 2.824501785411363, id: 63682, score: 6
gen alive: 7, params: danger divisor: 2.818722859621023, corner divisor: 4.546883294151536, corner exponent: 2.102034056221611, min opp score: 320.50684611354427, id: 63691, score: 6
gen alive: 7, params: danger divisor: 8.944483122685195, min opp score: 270.6325821783138, corner divisor: 2.077508953009672, corner exponent: 1.8308907467277356, id: 63732, score: 6
gen alive: 7, params: corner divisor: 6.621066748154699, corner exponent: 2.824501785411363, danger divisor: 19.62330395177153, min opp score: 297.37714649582017, id: 63745, score: 6
gen alive: 7, params: danger divisor: 5.624156148413094, min opp score: 717.3970583392938, corner divisor: 2.4701602950994683, corner exponent: 2.8944851832227254, id: 63772, score: 6
gen alive: 6, params: corner divisor: 1.4987651649139213, corner exponent: 1.8312733047166156, min opp score: 359.29892268616777, danger divisor: 5.664862248671922, id: 61843, score: 6
gen alive: 6, params: danger divisor: 19.37672131359833, min opp score: 118.15863457274381, corner divisor: 1.209099302486302, corner exponent: 2.9459983387417896, id: 62409, score: 6
gen alive: 6, params: danger divisor: 5.099494234679468, min opp score: 292.3977329101959, corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, id: 62571, score: 6
gen alive: 6, params: danger divisor: 6.367535190353319, min opp score: 128.98831810019226, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 62573, score: 6
gen alive: 6, params: min opp score: 793.1737842334759, corner divisor: 2.4336365290585107, corner exponent: 2.931940679261547, danger divisor: 13.116095385764414, id: 62706, score: 6
gen alive: 6, params: danger divisor: 6.944663277632651, min opp score: 276.9328679922823, corner divisor: 2.638316470814125, corner exponent: 2.48011808137359, id: 62561, score: 6
gen alive: 6, params: danger divisor: 1.293345298284004, min opp score: 287.938640264888, corner divisor: 4.859882204081729, corner exponent: 2.8221839712707095, id: 62849, score: 6
gen alive: 6, params: danger divisor: 2.818722859621023, min opp score: 321.9438730391629, corner divisor: 4.546883294151536, corner exponent: 2.102034056221611, id: 63037, score: 6
gen alive: 6, params: corner divisor: 1.4987651649139213, corner exponent: 1.8312733047166156, min opp score: 359.29892268616777, danger divisor: 12.800510816176647, id: 63049, score: 6
gen alive: 6, params: danger divisor: 11.625759205809242, min opp score: 712.1139625785765, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 63051, score: 6
gen alive: 6, params: danger divisor: 2.1731007354256695, min opp score: 185.62426893816234, corner divisor: 9.999434703502178, corner exponent: 1.6235227401608632, id: 63128, score: 6
gen alive: 6, params: corner divisor: 2.566939015775496, corner exponent: 1.0283359492003035, min opp score: 308.9344273293316, danger divisor: 14.392674562502789, id: 63226, score: 6
gen alive: 6, params: corner divisor: 2.566939015775496, corner exponent: 2.689329259705896, min opp score: 408.6191519845239, danger divisor: 14.392674562502789, id: 63236, score: 6
gen alive: 6, params: danger divisor: 7.301117355670719, corner divisor: 15.90946689271321, corner exponent: 2.645396561953681, min opp score: 203.40485133172956, id: 63509, score: 6
gen alive: 6, params: danger divisor: 7.638335506860988, min opp score: 428.43930646239744, corner divisor: 2.4307579099567613, corner exponent: 1.4102489679590064, id: 63537, score: 6
gen alive: 6, params: danger divisor: 3.9920521705516565, min opp score: 120.72158126605794, corner divisor: 3.1453760796352537, corner exponent: 2.883588699711776, id: 63555, score: 6
gen alive: 6, params: danger divisor: 13.782774526952423, min opp score: 173.14641439026718, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 63557, score: 6
gen alive: 6, params: danger divisor: 1.5574406895406747, min opp score: 428.43930646239744, corner divisor: 4.416149200046078, corner exponent: 2.1511264275086694, id: 63575, score: 6
gen alive: 6, params: corner divisor: 6.822186406432596, corner exponent: 2.3836709973454173, min opp score: 308.9344273293316, danger divisor: 14.392674562502789, id: 63645, score: 6
gen alive: 6, params: corner divisor: 17.53130617335416, corner exponent: 1.8312733047166156, min opp score: 359.29892268616777, chip divisor: 16.37659311436437, danger divisor: 14.852681203332526, id: 63658, score: 6
gen alive: 6, params: danger divisor: 6.367535190353319, min opp score: 276.9328679922823, corner divisor: 2.0971930306885422, corner exponent: 2.48011808137359, id: 63683, score: 6
gen alive: 6, params: danger divisor: 6.367535190353319, min opp score: 200.9038166264831, corner divisor: 2.0971930306885422, corner exponent: 1.1420357483603059, id: 63690, score: 6
gen alive: 6, params: danger divisor: 13.116095385764414, min opp score: 231.86894754764094, corner divisor: 7.6008229289065845, corner exponent: 2.931940679261547, id: 63696, score: 6
gen alive: 6, params: danger divisor: 8.433843107514289, min opp score: 680.260815140188, corner divisor: 2.4336365290585107, corner exponent: 2.9684012842858327, id: 63734, score: 6
gen alive: 6, params: danger divisor: 2.9128061215847008, min opp score: 132.4591257823052, corner divisor: 5.311353079304133, corner exponent: 2.453195136145755, chip divisor: 3.5089797739415727, id: 63749, score: 6
gen alive: 6, params: danger divisor: 6.398559119938601, min opp score: 154.47936466021892, corner divisor: 4.394959375151853, corner exponent: 2.7983198296815703, id: 63760, score: 6
gen alive: 5, params: danger divisor: 1.9783902222229983, min opp score: 185.62426893816234, corner divisor: 9.999434703502178, corner exponent: 2.107693585794485, id: 62347, score: 6
gen alive: 5, params: danger divisor: 7.340158388645882, min opp score: 213.73779744841642, corner divisor: 9.122626948956025, corner exponent: 2.828985071233443, id: 62575, score: 6
gen alive: 5, params: danger divisor: 6.259092999406531, min opp score: 408.07742211488016, corner divisor: 1.4250631408404224, corner exponent: 1.8923793178759525, id: 62911, score: 6
gen alive: 5, params: danger divisor: 8.037228558560813, min opp score: 562.6736469939628, corner divisor: 5.60559147397458, corner exponent: 2.7983198296815703, id: 62923, score: 6
gen alive: 5, params: corner divisor: 6.491709488619854, corner exponent: 1.2123106136692887, min opp score: 408.6191519845239, danger divisor: 9.682090612414278, id: 63103, score: 6
gen alive: 5, params: min opp score: 991.4126310442325, danger divisor: 2.0452638675957546, corner divisor: 2.6286749640684217, corner exponent: 2.032506636002845, id: 63138, score: 6
gen alive: 5, params: corner divisor: 2.2843985770953052, corner exponent: 2.4938993506253793, min opp score: 364.67685258798, danger divisor: 6.496605571207762, id: 63183, score: 6
gen alive: 5, params: corner divisor: 1.039296695560591, corner exponent: 2.689329259705896, min opp score: 364.67685258798, danger divisor: 2.0452638675957546, id: 63257, score: 6
gen alive: 5, params: min opp score: 656.4131509423665, corner divisor: 5.48050825508292, corner exponent: 2.590225722446898, danger divisor: 14.852681203332526, id: 63207, score: 6
gen alive: 5, params: danger divisor: 8.433843107514289, min opp score: 765.6615437714935, corner divisor: 11.356559275407932, corner exponent: 2.9684012842858327, id: 61965, score: 6
gen alive: 5, params: danger divisor: 4.505552341784043, min opp score: 203.13475720370243, corner divisor: 8.448302256186539, corner exponent: 1.573648675766769, id: 62007, score: 6
gen alive: 5, params: min opp score: 776.4674453118389, danger divisor: 1.2998336263589882, id: 62043, score: 6
gen alive: 5, params: danger divisor: 5.1646769306050535, min opp score: 429.08895025635263, corner divisor: 4.414989388842304, corner exponent: 2.5498235302258094, id: 63341, score: 6
gen alive: 5, params: min opp score: 231.86894754764094, danger divisor: 15.684000751737583, corner divisor: 2.6286749640684217, corner exponent: 1.2302634429142136, id: 63345, score: 6
gen alive: 5, params: danger divisor: 2.9128061215847008, corner divisor: 12.87192134816803, corner exponent: 1.2177374059654233, min opp score: 553.5835801976359, id: 63351, score: 6
gen alive: 5, params: danger divisor: 13.116095385764414, min opp score: 406.7494622607493, corner divisor: 1.4987651649139213, corner exponent: 2.931940679261547, id: 63427, score: 6
gen alive: 5, params: danger divisor: 7.855987357984846, min opp score: 206.68646716513717, corner divisor: 2.2111998301497744, corner exponent: 2.7983198296815703, id: 63485, score: 6
gen alive: 5, params: danger divisor: 3.1901341871903144, min opp score: 398.80775087193325, corner divisor: 12.891916575480902, corner exponent: 1.3665716138689388, id: 63587, score: 6
gen alive: 5, params: danger divisor: 13.898573548339712, min opp score: 313.3192013173309, corner divisor: 13.268743560934496, corner exponent: 1.5667532729206057, id: 63633, score: 6
gen alive: 5, params: danger divisor: 5.624156148413094, min opp score: 208.20795504282302, corner divisor: 12.123391846175284, corner exponent: 1.5006906413416117, id: 63638, score: 6
gen alive: 5, params: danger divisor: 2.1731007354256695, min opp score: 665.3062400342487, corner divisor: 13.564580121367143, corner exponent: 2.6014284225245516, id: 63648, score: 6
gen alive: 5, params: corner divisor: 2.566939015775496, corner exponent: 2.689329259705896, min opp score: 308.9344273293316, danger divisor: 6.496605571207762, id: 63675, score: 6
gen alive: 5, params: corner divisor: 1.4250631408404224, corner exponent: 2.689329259705896, min opp score: 408.6191519845239, danger divisor: 6.259092999406531, id: 63688, score: 6
gen alive: 5, params: danger divisor: 12.551115834127327, min opp score: 120.72158126605794, corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, id: 63705, score: 6
gen alive: 5, params: danger divisor: 1.9783902222229983, corner divisor: 5.311353079304133, corner exponent: 2.2226426209304995, min opp score: 896.9070865367132, id: 63713, score: 6
gen alive: 5, params: min opp score: 260.21576187111594, danger divisor: 5.184922336002935, corner divisor: 10.704928297674124, corner exponent: 1.9663425693183807, id: 63727, score: 6
gen alive: 5, params: chip divisor: 9.42068696957795, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, min opp score: 320.50684611354427, id: 63729, score: 6
gen alive: 5, params: danger divisor: 6.259092999406531, min opp score: 747.8779041154072, corner divisor: 1.4250631408404224, corner exponent: 1.8308907467277356, id: 63750, score: 6
gen alive: 5, params: danger divisor: 14.527104119243862, min opp score: 724.9884522165046, corner divisor: 11.356559275407932, corner exponent: 2.931940679261547, id: 63751, score: 6
gen alive: 5, params: danger divisor: 7.900779671738023, corner divisor: 5.189210909060243, corner exponent: 1.890120623302458, min opp score: 371.0953513781621, id: 63758, score: 6
