gen alive: 19, params: danger divisor: 2.240246354967982, min opp score: 326.1143293703325, corner divisor: 2.092101951016075, corner exponent: 2.1849593987197276, id: 73311, score: 6
gen alive: 18, params: danger divisor: 1.8535218465047614, min opp score: 132.4591257823052, corner divisor: 3.216401598861369, corner exponent: 2.9104437091036166, id: 75998, score: 6
gen alive: 16, params: danger divisor: 4.851312343924107, min opp score: 128.01966135927995, corner divisor: 1.4250631408404224, corner exponent: 2.8221839712707095, id: 80571, score: 6
gen alive: 16, params: danger divisor: 5.428895321632173, min opp score: 705.5458466237584, corner divisor: 1.3378646119575635, corner exponent: 1.281497145823908, id: 76939, score: 6
gen alive: 15, params: danger divisor: 1.7721408789033868, min opp score: 203.1958417702363, corner divisor: 2.5063871683490553, corner exponent: 2.9253280264754373, id: 79992, score: 6
gen alive: 15, params: danger divisor: 2.3543183518642916, min opp score: 203.1958417702363, corner divisor: 2.566939015775496, corner exponent: 2.8714458683466386, id: 78500, score: 6
gen alive: 15, params: danger divisor: 2.240246354967982, min opp score: 132.4591257823052, corner divisor: 2.092101951016075, corner exponent: 2.1849593987197276, id: 81527, score: 6
gen alive: 15, params: danger divisor: 2.3543183518642916, min opp score: 252.75259091637542, corner divisor: 3.216401598861369, corner exponent: 2.9104437091036166, id: 81574, score: 6
gen alive: 14, params: danger divisor: 2.7918312981718194, min opp score: 421.1283300619053, corner divisor: 3.6356380744336825, corner exponent: 2.406250255449162, id: 78540, score: 6
gen alive: 14, params: danger divisor: 2.0379918766708087, min opp score: 477.03185636208855, corner divisor: 1.3378646119575635, corner exponent: 1.281497145823908, id: 79984, score: 6
gen alive: 14, params: danger divisor: 19.481490486699105, min opp score: 771.4371953660589, corner divisor: 2.3092405921581616, corner exponent: 2.7983198296815703, id: 79359, score: 6
gen alive: 13, params: danger divisor: 2.3543183518642916, min opp score: 252.75259091637542, corner divisor: 2.566939015775496, corner exponent: 2.8714458683466386, id: 80579, score: 6
gen alive: 12, params: danger divisor: 1.7721408789033868, min opp score: 203.1958417702363, corner divisor: 4.712846066558216, corner exponent: 2.8390857661081563, id: 81058, score: 6
gen alive: 12, params: danger divisor: 1.7721408789033868, min opp score: 929.4097183063692, corner divisor: 3.154979904323124, corner exponent: 2.233187815702163, id: 81480, score: 6
gen alive: 12, params: danger divisor: 2.150294127135928, min opp score: 757.8049928733521, corner divisor: 1.4250631408404224, corner exponent: 2.8221839712707095, id: 81514, score: 6
gen alive: 11, params: danger divisor: 1.7721408789033868, min opp score: 104.23589995496081, corner divisor: 2.5063871683490553, corner exponent: 2.9253280264754373, id: 80526, score: 6
gen alive: 11, params: danger divisor: 2.0369672995864296, min opp score: 554.6253163800918, corner divisor: 2.2654087676256687, corner exponent: 2.150062507821989, id: 78549, score: 6
gen alive: 11, params: danger divisor: 19.481490486699105, min opp score: 207.3244478070278, corner divisor: 2.3092405921581616, corner exponent: 2.7983198296815703, id: 80985, score: 6
gen alive: 11, params: danger divisor: 7.4336041572856395, min opp score: 301.4135747395671, corner divisor: 3.2998686371085943, corner exponent: 2.0977895008111416, id: 81498, score: 6
gen alive: 11, params: danger divisor: 4.371269085527556, min opp score: 252.75259091637542, corner divisor: 2.566939015775496, corner exponent: 2.8714458683466386, id: 81501, score: 6
