gen alive: 20, params: danger divisor: 2.240246354967982, min opp score: 132.4591257823052, corner divisor: 2.092101951016075, corner exponent: 2.1849593987197276, id: 81527, score: 6
gen alive: 20, params: danger divisor: 2.3543183518642916, min opp score: 252.75259091637542, corner divisor: 3.216401598861369, corner exponent: 2.9104437091036166, id: 81574, score: 6
gen alive: 15, params: danger divisor: 3.9472586890991668, min opp score: 132.4591257823052, corner divisor: 3.216401598861369, corner exponent: 2.9104437091036166, id: 80181, score: 6
gen alive: 15, params: danger divisor: 13.321910597762383, min opp score: 132.4591257823052, corner divisor: 3.2998686371085943, corner exponent: 1.281497145823908, id: 81080, score: 6
gen alive: 14, params: danger divisor: 7.151042825837932, min opp score: 118.89992114479705, corner divisor: 1.4116233256713029, corner exponent: 2.1849593987197276, id: 83091, score: 6
gen alive: 14, params: danger divisor: 2.591905992316521, min opp score: 120.72158126605794, corner divisor: 6.236000401425387, corner exponent: 2.530157913134702, id: 83536, score: 6
gen alive: 14, params: danger divisor: 2.240246354967982, min opp score: 291.0133956469953, corner divisor: 3.5332559879909344, corner exponent: 2.8673082002439445, id: 83665, score: 6
gen alive: 14, params: danger divisor: 8.69464894781114, min opp score: 132.4591257823052, corner divisor: 4.349089901837019, corner exponent: 2.740746597186317, id: 80992, score: 6
gen alive: 13, params: corner divisor: 3.9526796282161345, corner exponent: 2.779240116732894, min opp score: 197.22727580028743, danger divisor: 1.7721408789033868, id: 82617, score: 6
gen alive: 13, params: danger divisor: 2.3327951786251724, min opp score: 128.01966135927995, corner divisor: 2.0971930306885422, corner exponent: 1.9366005077163884, id: 83042, score: 6
gen alive: 13, params: danger divisor: 5.383512988964958, min opp score: 252.75259091637542, corner divisor: 3.216401598861369, corner exponent: 2.233187815702163, id: 83542, score: 6
gen alive: 13, params: danger divisor: 13.321910597762383, min opp score: 133.48577458140426, corner divisor: 3.2998686371085943, corner exponent: 1.281497145823908, id: 83602, score: 6
gen alive: 13, params: danger divisor: 3.1220597022216614, min opp score: 486.0866650941346, corner divisor: 3.2998686371085943, corner exponent: 2.107693585794485, id: 83609, score: 6
gen alive: 13, params: danger divisor: 13.321910597762383, min opp score: 132.4591257823052, corner divisor: 1.4250631408404224, corner exponent: 2.8221839712707095, id: 84039, score: 6
gen alive: 13, params: danger divisor: 1.8535218465047614, min opp score: 197.22727580028743, corner divisor: 3.216401598861369, corner exponent: 1.8328099303813117, id: 84127, score: 6
gen alive: 13, params: danger divisor: 2.240246354967982, min opp score: 132.4591257823052, corner divisor: 3.154979904323124, corner exponent: 2.233187815702163, id: 84170, score: 6
gen alive: 12, params: danger divisor: 5.383512988964958, min opp score: 120.72158126605794, corner divisor: 2.566939015775496, corner exponent: 2.165511165555508, id: 83070, score: 6
gen alive: 12, params: danger divisor: 13.608542517059112, min opp score: 133.48577458140426, corner divisor: 3.157171108802559, corner exponent: 2.9370926842611436, id: 81331, score: 6
gen alive: 12, params: danger divisor: 13.171947662460996, min opp score: 132.4591257823052, corner divisor: 3.216401598861369, corner exponent: 2.9104437091036166, id: 83359, score: 6
gen alive: 12, params: danger divisor: 2.240246354967982, min opp score: 715.3161723499254, corner divisor: 4.712846066558216, corner exponent: 2.8390857661081563, id: 83560, score: 6
gen alive: 12, params: danger divisor: 16.340912483045337, min opp score: 132.4591257823052, corner divisor: 3.216401598861369, corner exponent: 2.9104437091036166, id: 83917, score: 6
gen alive: 12, params: danger divisor: 2.3327951786251724, min opp score: 128.01966135927995, corner divisor: 2.566939015775496, corner exponent: 2.887671925048931, id: 84097, score: 6
gen alive: 12, params: danger divisor: 13.321910597762383, min opp score: 120.72158126605794, corner divisor: 2.6102534026646502, corner exponent: 1.839247133731203, id: 84141, score: 6
gen alive: 11, params: danger divisor: 11.351777545482133, corner divisor: 2.2654087676256687, corner exponent: 2.1766409470425403, min opp score: 120.72158126605794, id: 83543, score: 6
gen alive: 11, params: danger divisor: 8.69464894781114, min opp score: 486.0866650941346, corner divisor: 3.2998686371085943, corner exponent: 2.107693585794485, id: 82623, score: 6
gen alive: 11, params: danger divisor: 3.9472586890991668, min opp score: 959.0969200080638, corner divisor: 3.216401598861369, corner exponent: 2.9104437091036166, id: 84112, score: 6
gen alive: 11, params: danger divisor: 3.1220597022216614, min opp score: 132.4591257823052, corner divisor: 2.0971930306885422, corner exponent: 2.8221839712707095, id: 84146, score: 6
gen alive: 10, params: corner divisor: 3.9526796282161345, corner exponent: 2.779240116732894, min opp score: 892.2192309917768, danger divisor: 1.7721408789033868, id: 83597, score: 6
gen alive: 10, params: danger divisor: 12.029563442942928, corner divisor: 7.255973721941719, corner exponent: 2.160424551171017, min opp score: 120.72158126605794, id: 83080, score: 6
gen alive: 10, params: danger divisor: 8.559028858720119, min opp score: 132.4591257823052, corner divisor: 1.3471914756278949, corner exponent: 2.9104437091036166, id: 84047, score: 6
gen alive: 10, params: danger divisor: 2.240246354967982, min opp score: 338.205055271451, corner divisor: 14.22235185415042, corner exponent: 1.098908170024934, id: 84063, score: 6
gen alive: 10, params: danger divisor: 2.3327951786251724, min opp score: 128.01966135927995, corner divisor: 2.566939015775496, corner exponent: 2.165511165555508, id: 84072, score: 6
gen alive: 10, params: corner divisor: 3.9526796282161345, corner exponent: 2.661447367105932, min opp score: 197.22727580028743, danger divisor: 3.9706923903239897, id: 84075, score: 6
gen alive: 9, params: danger divisor: 12.029563442942928, corner divisor: 2.566939015775496, corner exponent: 2.887671925048931, min opp score: 120.72158126605794, id: 82638, score: 6
gen alive: 9, params: danger divisor: 15.42385514691998, min opp score: 132.4591257823052, corner divisor: 8.101343630881361, corner exponent: 2.8221839712707095, id: 82729, score: 6
