gen alive: 19, params: danger divisor: 2.7918312981718194, corner divisor: 2.566939015775496, corner exponent: 2.689329259705896, min opp score: 278.18833689148, id: 72940, score: 6
gen alive: 18, params: danger divisor: 2.0379918766708087, min opp score: 120.72158126605794, corner divisor: 2.5063871683490553, corner exponent: 2.9253280264754373, id: 76890, score: 6
gen alive: 18, params: danger divisor: 4.851312343924107, min opp score: 132.4591257823052, corner divisor: 2.3092405921581616, corner exponent: 2.7983198296815703, id: 74959, score: 6
gen alive: 16, params: danger divisor: 2.0379918766708087, min opp score: 132.4591257823052, corner divisor: 2.3092405921581616, corner exponent: 2.8714458683466386, id: 76426, score: 6
gen alive: 16, params: danger divisor: 1.8535218465047614, min opp score: 218.12066781001045, corner divisor: 3.970842364347671, corner exponent: 2.8390857661081563, id: 77926, score: 6
gen alive: 15, params: danger divisor: 6.726344977327834, min opp score: 242.31214135151376, corner divisor: 4.465786036298703, corner exponent: 2.7983198296815703, id: 76521, score: 6
gen alive: 14, params: danger divisor: 2.240246354967982, min opp score: 326.1143293703325, corner divisor: 2.092101951016075, corner exponent: 2.1849593987197276, id: 73311, score: 6
gen alive: 14, params: danger divisor: 6.726344977327834, min opp score: 737.7827602624284, corner divisor: 1.3378646119575635, corner exponent: 1.281497145823908, id: 76437, score: 6
gen alive: 13, params: danger divisor: 14.48170245557949, min opp score: 128.01966135927995, corner divisor: 2.566939015775496, corner exponent: 1.9366005077163884, id: 76937, score: 6
gen alive: 13, params: danger divisor: 4.97858009091739, min opp score: 501.90850108439525, corner divisor: 2.566939015775496, corner exponent: 2.8714458683466386, id: 77528, score: 6
gen alive: 13, params: corner divisor: 1.3378646119575635, corner exponent: 2.9370926842611436, min opp score: 423.3411671187457, danger divisor: 2.012401357911611, chip divisor: 15.20606402557957, id: 77963, score: 6
gen alive: 13, params: danger divisor: 6.726344977327834, min opp score: 737.7827602624284, corner divisor: 1.3378646119575635, corner exponent: 2.2158711484463103, id: 78059, score: 6
gen alive: 13, params: danger divisor: 7.70220335380769, min opp score: 968.81191247189, corner divisor: 1.4116233256713029, corner exponent: 1.492952560414813, id: 78436, score: 6
gen alive: 12, params: danger divisor: 1.7721408789033868, min opp score: 428.43930646239744, corner divisor: 2.0971930306885422, corner exponent: 2.661447367105932, chip divisor: 14.599550229044683, id: 75223, score: 6
gen alive: 12, params: danger divisor: 4.97858009091739, min opp score: 799.6036569006569, corner divisor: 4.712846066558216, corner exponent: 2.8390857661081563, id: 78547, score: 6
gen alive: 12, params: danger divisor: 9.686686947065272, min opp score: 278.18833689148, corner divisor: 2.566939015775496, corner exponent: 2.689329259705896, id: 78951, score: 6
gen alive: 12, params: danger divisor: 6.726344977327834, min opp score: 128.01966135927995, corner divisor: 1.3378646119575635, corner exponent: 1.281497145823908, id: 78967, score: 6
gen alive: 12, params: danger divisor: 1.7721408789033868, min opp score: 203.1958417702363, corner divisor: 1.3378646119575635, corner exponent: 2.8714458683466386, id: 79042, score: 6
gen alive: 11, params: danger divisor: 1.7721408789033868, min opp score: 203.1958417702363, corner divisor: 2.2654087676256687, corner exponent: 2.8714458683466386, id: 75823, score: 6
