gen alive: 17, params: danger divisor: 1.5532019031843534, min opp score: 296.9777974556441, corner divisor: 4.478211133910642, corner exponent: 2.2618233987069827, id: 26035, score: 6
gen alive: 15, params: danger divisor: 1.6126914132934451, min opp score: 414.2111525745843, corner divisor: 1.4089005421982965, corner exponent: 2.622636808147271, id: 22553, score: 6
gen alive: 15, params: danger divisor: 1.5532019031843534, min opp score: 296.9777974556441, corner divisor: 4.478211133910642, corner exponent: 2.2618233987069827, id: 27486, score: 6
gen alive: 15, params: danger divisor: 3.156614181957038, min opp score: 121.40820942440828, corner divisor: 2.3477375441299824, corner exponent: 2.776988698932179, id: 25415, score: 6
gen alive: 14, params: danger divisor: 3.343644887181707, min opp score: 160.69882088047345, corner divisor: 10.131938219466676, corner exponent: 2.903913427099865, id: 26939, score: 6
gen alive: 14, params: danger divisor: 6.1362768662955745, min opp score: 440.7801198629319, corner divisor: 1.4089005421982965, corner exponent: 2.622636808147271, id: 27008, score: 6
gen alive: 14, params: danger divisor: 1.6126914132934451, corner divisor: 1.9289292819859556, corner exponent: 2.3818507989640825, min opp score: 113.81053620997896, id: 24372, score: 6
gen alive: 14, params: danger divisor: 8.523112668298138, min opp score: 729.5805612280636, corner divisor: 2.639692344596096, corner exponent: 2.943954746761152, id: 27466, score: 6
gen alive: 14, params: danger divisor: 6.1362768662955745, min opp score: 393.5210139733892, corner divisor: 2.2111998301497744, corner exponent: 2.2305230801656104, id: 27953, score: 6
gen alive: 13, params: corner divisor: 2.1076205799165257, corner exponent: 2.2618233987069827, danger divisor: 8.523112668298138, min opp score: 440.7801198629319, id: 26433, score: 6
gen alive: 13, params: danger divisor: 1.5532019031843534, min opp score: 393.5210139733892, corner divisor: 2.2111998301497744, corner exponent: 2.2305230801656104, id: 24360, score: 6
gen alive: 13, params: danger divisor: 9.419869656958593, min opp score: 113.81053620997896, corner divisor: 2.2111998301497744, corner exponent: 2.3818507989640825, id: 27490, score: 6
gen alive: 13, params: min opp score: 440.7801198629319, danger divisor: 4.76748896609293, corner divisor: 2.7141354827311677, corner exponent: 1.632334402081464, id: 27965, score: 6
gen alive: 13, params: danger divisor: 3.343644887181707, min opp score: 553.1364124786105, corner divisor: 4.478211133910642, corner exponent: 2.2618233987069827, id: 28045, score: 6
gen alive: 12, params: danger divisor: 9.419869656958593, min opp score: 440.7801198629319, corner divisor: 8.594450596319303, corner exponent: 2.8520885995530065, id: 25494, score: 6
gen alive: 12, params: danger divisor: 5.828433788810799, min opp score: 169.77397069612465, corner divisor: 2.2111998301497744, corner exponent: 2.2305230801656104, id: 27470, score: 6
gen alive: 12, params: danger divisor: 10.186899810294502, min opp score: 440.7801198629319, corner divisor: 2.1076205799165257, corner exponent: 2.303500781415188, id: 27025, score: 6
gen alive: 12, params: danger divisor: 1.5532019031843534, min opp score: 658.442181173749, corner divisor: 10.131938219466676, corner exponent: 1.9854459219960638, id: 27971, score: 6
gen alive: 12, params: danger divisor: 1.6126914132934451, corner divisor: 2.7141354827311677, corner exponent: 1.9854459219960638, min opp score: 435.4444326112003, id: 27998, score: 6
gen alive: 12, params: corner divisor: 2.1076205799165257, corner exponent: 2.020595855082444, min opp score: 121.40820942440828, danger divisor: 3.156614181957038, id: 28004, score: 6
gen alive: 11, params: danger divisor: 11.940353106621155, min opp score: 966.7812470521427, corner divisor: 1.4089005421982965, corner exponent: 2.622636808147271, id: 26251, score: 6
gen alive: 11, params: corner divisor: 2.1076205799165257, corner exponent: 2.2618233987069827, danger divisor: 1.468241869436561, min opp score: 440.7801198629319, id: 26930, score: 6
gen alive: 11, params: danger divisor: 12.281377043968318, min opp score: 242.24566538723883, corner divisor: 2.639692344596096, corner exponent: 2.943954746761152, id: 26967, score: 6
gen alive: 11, params: danger divisor: 6.722131461456855, min opp score: 231.05942290897733, corner divisor: 1.5294256555882746, corner exponent: 1.3552356861958377, id: 27040, score: 6
gen alive: 11, params: danger divisor: 5.828433788810799, min opp score: 175.22482323627816, corner divisor: 10.372630703803525, corner exponent: 2.1748021968817746, id: 27472, score: 6
gen alive: 11, params: danger divisor: 14.668214585544376, min opp score: 729.5805612280636, corner divisor: 2.639692344596096, corner exponent: 2.943954746761152, id: 27951, score: 6
gen alive: 11, params: danger divisor: 1.1899427399310665, min opp score: 113.81053620997896, corner divisor: 1.9289292819859556, corner exponent: 2.3818507989640825, id: 28042, score: 6
gen alive: 11, params: danger divisor: 1.468241869436561, min opp score: 121.40820942440828, corner divisor: 2.3477375441299824, corner exponent: 2.835887114059025, id: 28076, score: 6
gen alive: 10, params: danger divisor: 3.592180247885244, min opp score: 395.3844349270357, corner divisor: 2.3477375441299824, corner exponent: 2.776988698932179, id: 27432, score: 6
