gen alive: 17, params: corner divisor: 4.465786036298703, corner exponent: 2.8632772617059343, min opp score: 132.4591257823052, danger divisor: 14.852681203332526, id: 66691, score: 6
gen alive: 16, params: danger divisor: 2.7918312981718194, min opp score: 213.73779744841642, corner divisor: 1.9829048516469048, corner exponent: 2.8221839712707095, id: 68221, score: 6
gen alive: 15, params: danger divisor: 2.0452638675957546, min opp score: 213.73779744841642, corner divisor: 2.638316470814125, corner exponent: 2.7983198296815703, id: 67726, score: 6
gen alive: 15, params: danger divisor: 3.398111663548365, min opp score: 302.6723620518924, corner divisor: 2.2111998301497744, corner exponent: 2.7983198296815703, id: 67815, score: 6
gen alive: 15, params: danger divisor: 13.36140077965115, min opp score: 128.98831810019226, corner divisor: 2.638316470814125, corner exponent: 2.7983198296815703, id: 68291, score: 6
gen alive: 14, params: danger divisor: 6.944663277632651, min opp score: 276.9328679922823, corner divisor: 2.4307579099567613, corner exponent: 2.7983198296815703, id: 67710, score: 6
gen alive: 14, params: danger divisor: 2.0452638675957546, min opp score: 348.778673378085, corner divisor: 2.0971930306885422, corner exponent: 2.498837934281374, id: 68836, score: 6
gen alive: 13, params: corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, min opp score: 207.14459078236402, danger divisor: 7.377146476844247, id: 67307, score: 6
gen alive: 13, params: danger divisor: 1.8535218465047614, min opp score: 340.91012519557955, corner divisor: 1.3378646119575635, corner exponent: 2.498837934281374, id: 67765, score: 6
gen alive: 13, params: danger divisor: 4.987744396182736, min opp score: 364.67685258798, corner divisor: 1.4250631408404224, corner exponent: 1.8308907467277356, id: 65192, score: 6
gen alive: 12, params: corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, min opp score: 213.73779744841642, danger divisor: 5.330513846748351, id: 68290, score: 6
gen alive: 12, params: danger divisor: 1.293345298284004, min opp score: 271.1843448511837, corner divisor: 1.4250631408404224, corner exponent: 2.8221839712707095, id: 68296, score: 6
gen alive: 12, params: danger divisor: 1.293345298284004, min opp score: 120.72158126605794, corner divisor: 1.4250631408404224, corner exponent: 2.5498235302258094, id: 68754, score: 6
gen alive: 12, params: danger divisor: 6.398559119938601, corner divisor: 6.822186406432596, corner exponent: 2.5761233407149957, min opp score: 295.43498947386047, id: 68791, score: 6
gen alive: 11, params: corner divisor: 1.4987651649139213, corner exponent: 1.8312733047166156, min opp score: 206.68646716513717, danger divisor: 6.592163788414061, id: 66955, score: 6
gen alive: 11, params: danger divisor: 14.852681203332526, min opp score: 273.9978185953781, corner divisor: 4.465786036298703, corner exponent: 2.0977895008111416, id: 68293, score: 6
gen alive: 11, params: danger divisor: 11.633202281839722, min opp score: 346.4126685008731, corner divisor: 1.4250631408404224, corner exponent: 1.8923793178759525, id: 68328, score: 6
gen alive: 11, params: danger divisor: 1.7721408789033868, min opp score: 132.4591257823052, corner divisor: 1.3378646119575635, corner exponent: 2.453195136145755, id: 68740, score: 6
gen alive: 11, params: danger divisor: 5.705530380144583, min opp score: 132.4591257823052, corner divisor: 5.161894852645707, corner exponent: 2.453195136145755, id: 68749, score: 6
gen alive: 11, params: danger divisor: 5.289338633366377, min opp score: 235.06166496326446, corner divisor: 5.161894852645707, corner exponent: 2.7983198296815703, id: 68788, score: 6
gen alive: 11, params: danger divisor: 5.184922336002935, min opp score: 316.8554663165308, corner divisor: 1.3378646119575635, corner exponent: 2.8085765078788376, id: 68802, score: 6
gen alive: 10, params: danger divisor: 17.36623398843239, min opp score: 227.007288415132, corner divisor: 6.274969994430976, corner exponent: 2.8012004491620806, id: 67289, score: 6
gen alive: 10, params: danger divisor: 1.7721408789033868, min opp score: 310.7135270502174, corner divisor: 1.3378646119575635, corner exponent: 2.8085765078788376, id: 67503, score: 6
gen alive: 10, params: danger divisor: 5.184922336002935, min opp score: 270.6325821783138, corner divisor: 14.940822532873526, corner exponent: 1.1709266749607459, id: 67687, score: 6
gen alive: 10, params: danger divisor: 8.965216797270655, min opp score: 132.4591257823052, corner divisor: 6.822186406432596, corner exponent: 2.48011808137359, id: 67832, score: 6
gen alive: 10, params: danger divisor: 4.987744396182736, min opp score: 273.9978185953781, corner divisor: 1.4250631408404224, corner exponent: 1.8308907467277356, id: 68273, score: 6
gen alive: 10, params: danger divisor: 6.364780459932849, min opp score: 391.3747118649464, corner divisor: 6.402195985710644, corner exponent: 2.0414163242906787, id: 68768, score: 6
gen alive: 10, params: danger divisor: 6.364780459932849, min opp score: 213.73779744841642, corner divisor: 2.19844102349584, corner exponent: 1.8923793178759525, id: 68873, score: 6
gen alive: 10, params: corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, min opp score: 206.68646716513717, danger divisor: 1.416495379211327, id: 68876, score: 6
gen alive: 9, params: danger divisor: 3.398111663548365, min opp score: 263.1110795922176, corner divisor: 4.256293339554383, corner exponent: 1.5667532729206057, id: 67740, score: 6
gen alive: 9, params: danger divisor: 1.8535218465047614, min opp score: 308.9344273293316, corner divisor: 1.3378646119575635, corner exponent: 2.9009853375150296, id: 68228, score: 6
gen alive: 9, params: corner divisor: 1.4250631408404224, corner exponent: 2.689329259705896, min opp score: 271.1843448511837, danger divisor: 9.959617267613273, id: 68331, score: 6
gen alive: 9, params: corner divisor: 2.566939015775496, corner exponent: 2.689329259705896, min opp score: 117.55767720904295, danger divisor: 14.852681203332526, id: 67259, score: 6
gen alive: 9, params: danger divisor: 13.34734472858815, min opp score: 428.43930646239744, corner divisor: 4.256293339554383, corner exponent: 1.5667532729206057, id: 68629, score: 6
gen alive: 9, params: danger divisor: 2.7918312981718194, corner divisor: 1.9829048516469048, corner exponent: 2.689329259705896, min opp score: 697.3170766764053, id: 68744, score: 6
gen alive: 9, params: danger divisor: 3.902233972626019, min opp score: 710.8322064441577, corner divisor: 4.349089901837019, corner exponent: 2.107693585794485, id: 68762, score: 6
gen alive: 9, params: danger divisor: 2.7918312981718194, min opp score: 213.73779744841642, corner divisor: 6.577044046594648, corner exponent: 1.9691365481002345, id: 68851, score: 6
gen alive: 8, params: danger divisor: 4.432226922435602, min opp score: 177.6274923465375, corner divisor: 1.4250631408404224, corner exponent: 1.8923793178759525, id: 67163, score: 6
gen alive: 8, params: corner divisor: 5.195927270084228, corner exponent: 2.9278687981684426, danger divisor: 6.271228274943471, min opp score: 206.68646716513717, id: 67203, score: 6
gen alive: 8, params: danger divisor: 2.690371722650835, min opp score: 278.35031651870656, corner divisor: 2.0971930306885422, corner exponent: 2.9886789566559337, id: 67983, score: 6
gen alive: 8, params: danger divisor: 1.7721408789033868, min opp score: 310.3725975284217, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 68015, score: 6
gen alive: 8, params: danger divisor: 2.690371722650835, min opp score: 428.43930646239744, corner divisor: 9.08905332167799, corner exponent: 1.8308907467277356, id: 68201, score: 6
gen alive: 8, params: danger divisor: 3.398111663548365, min opp score: 740.8304859407062, corner divisor: 4.256293339554383, corner exponent: 2.9069076950388197, id: 68237, score: 6
gen alive: 8, params: danger divisor: 1.7721408789033868, min opp score: 206.68646716513717, corner divisor: 2.0971930306885422, corner exponent: 1.2827416716624758, id: 68342, score: 6
gen alive: 8, params: danger divisor: 2.7918312981718194, min opp score: 578.1498668601698, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, id: 68348, score: 6
gen alive: 8, params: danger divisor: 9.860141018308875, min opp score: 120.72158126605794, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 68503, score: 6
gen alive: 8, params: corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, min opp score: 117.55767720904295, danger divisor: 1.416495379211327, id: 68741, score: 6
gen alive: 8, params: danger divisor: 1.8535218465047614, min opp score: 513.8905054495845, corner divisor: 2.638316470814125, corner exponent: 2.7983198296815703, id: 68757, score: 6
gen alive: 8, params: danger divisor: 3.398111663548365, min opp score: 621.7428876311758, corner divisor: 2.2111998301497744, corner exponent: 1.1037134909150217, id: 68771, score: 6
gen alive: 8, params: danger divisor: 8.588655944402898, min opp score: 793.0041799464585, corner divisor: 1.3378646119575635, corner exponent: 2.8632772617059343, id: 68772, score: 6
gen alive: 8, params: corner divisor: 5.195927270084228, corner exponent: 2.9278687981684426, danger divisor: 1.416495379211327, min opp score: 207.14459078236402, id: 68789, score: 6
gen alive: 8, params: danger divisor: 6.271228274943471, min opp score: 206.68646716513717, corner divisor: 2.0971930306885422, corner exponent: 1.2827416716624758, id: 68800, score: 6
gen alive: 8, params: danger divisor: 1.7721408789033868, min opp score: 310.3725975284217, corner divisor: 2.2654087676256687, corner exponent: 1.7999660408649756, id: 68812, score: 6
gen alive: 8, params: danger divisor: 4.432226922435602, min opp score: 177.6274923465375, corner divisor: 6.402195985710644, corner exponent: 1.8923793178759525, id: 68826, score: 6
gen alive: 8, params: corner divisor: 2.566939015775496, corner exponent: 2.4205764238907763, min opp score: 120.21159925198126, danger divisor: 14.852681203332526, id: 68832, score: 6
gen alive: 8, params: danger divisor: 1.293345298284004, min opp score: 826.49102544665, corner divisor: 2.2654087676256687, corner exponent: 2.5498235302258094, id: 68834, score: 6
gen alive: 8, params: danger divisor: 3.398111663548365, min opp score: 740.8304859407062, corner divisor: 1.4250631408404224, corner exponent: 2.5498235302258094, id: 68843, score: 6
gen alive: 8, params: danger divisor: 15.902774494118308, min opp score: 273.9978185953781, corner divisor: 6.402195985710644, corner exponent: 1.8308907467277356, id: 68852, score: 6
gen alive: 8, params: danger divisor: 2.7060158439117834, min opp score: 117.55767720904295, corner divisor: 2.0971930306885422, corner exponent: 2.7716609759360358, id: 68857, score: 6
gen alive: 8, params: danger divisor: 2.7060158439117834, min opp score: 235.06166496326446, corner divisor: 2.566939015775496, corner exponent: 2.7716609759360358, id: 68874, score: 6
gen alive: 7, params: danger divisor: 2.0452638675957546, min opp score: 819.9817190555086, corner divisor: 2.638316470814125, corner exponent: 2.7983198296815703, id: 67521, score: 6
gen alive: 7, params: danger divisor: 2.7060158439117834, min opp score: 343.53643291493603, corner divisor: 2.0971930306885422, corner exponent: 2.7716609759360358, id: 67822, score: 6
