gen alive: 61, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3837, score: 66
gen alive: 63, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3832, score: 65
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3840, score: 65
gen alive: 63, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3838, score: 65
gen alive: 1, params: (2.679461079700225, 1.317050491294018, 2.836397450921523, 3.5295027422540897), id: 3805, score: 64
gen alive: 63, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3851, score: 63
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3857, score: 62
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3858, score: 62
gen alive: 61, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3842, score: 60
gen alive: 1, params: (17.006025645096393, 1.1201736436453844, 1.0886316687887738, 18.554900654129952), id: 3775, score: 60
gen alive: 1, params: (18.788726136317834, 1.9136789004593586, 2.927078306057231, 17.546253794714783), id: 3800, score: 57
gen alive: 1, params: (3.277169424783949, 2.3332597256743224, 1.1156399519777827, 2.473200840274862), id: 3810, score: 48
gen alive: 1, params: (5.729440844832355, 3.9412775991600553, 2.8955578119754852, 18.53831293432844), id: 3754, score: 43
gen alive: 1, params: (2.787852531109941, 4.196897403416292, 2.760354506540701, 17.3190973498132), id: 3839, score: 28
gen alive: 1, params: (17.884373109887047, 18.33256494738924, 1.1147315429281792, 3.120217393254714), id: 3745, score: 27
gen alive: 1, params: (19.39282258991108, 18.64075501326837, 2.601067881440925, 1.7874859028637151), id: 3826, score: 27
gen alive: 1, params: (18.786841763339943, 5.722575220098759, 1.119541725487065, 1.6287799998824113), id: 3815, score: 25
gen alive: 1, params: (17.59074002319078, 19.881883684964507, 1.0123884081208732, 2.9113286140796384), id: 3835, score: 25
gen alive: 1, params: (1.7547649490360548, 19.487304040825844, 2.9705111430983604, 3.2162187181894066), id: 3696, score: 22
gen alive: 1, params: (17.1213979187517, 17.102985484315937, 2.9676811991606264, 19.54232370823586), id: 3783, score: 21
gen alive: 1, params: (17.631310946645794, 19.999737115843715, 2.827473571573993, 2.6961957509903263), id: 3766, score: 21
gen alive: 1, params: (3.392900881839644, 4.270640452384706, 1.0915882667990737, 19.480792629048484), id: 3853, score: 10
