gen alive: 10, params: (14.110659370384004, 2.532279255470155, 2.166564721762068, 2.459405877206005, 491.069431601361), id: 791, score: 42
gen alive: 9, params: (14.110659370384004, 1.1099373159890797, 2.7262102930984993, 2.459405877206005, 491.069431601361), id: 1221, score: 42
gen alive: 7, params: (18.533281151538464, 1.1099373159890797, 2.166564721762068, 2.459405877206005, 491.069431601361), id: 1345, score: 42
gen alive: 11, params: (14.110659370384004, 1.1912180421419818, 2.6853330631870023, 2.459405877206005, 491.069431601361), id: 885, score: 39
gen alive: 10, params: (14.110659370384004, 2.3879414603432876, 1.521663344270151, 2.459405877206005, 491.069431601361), id: 1238, score: 39
gen alive: 9, params: (14.110659370384004, 1.1099373159890797, 2.7262102930984993, 2.459405877206005, 491.069431601361), id: 1005, score: 39
gen alive: 8, params: (15.135609701323514, 2.3879414603432876, 2.0300906756608534, 2.1646280445054944, 245.89666468139987), id: 865, score: 39
gen alive: 7, params: (19.128615881600215, 1.1099373159890797, 2.166564721762068, 2.459405877206005, 457.6960672331445), id: 1336, score: 39
gen alive: 4, params: (18.533281151538464, 1.1099373159890797, 2.166564721762068, 1.0988509935146311, 880.5733982760472), id: 1353, score: 39
gen alive: 9, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 3.6439039383033798, 275.0891620730656), id: 1340, score: 37
gen alive: 9, params: (19.128615881600215, 1.3880015785100528, 2.6853330631870023, 4.592439965088104, 245.89666468139987), id: 1242, score: 36
gen alive: 8, params: (14.110659370384004, 2.3879414603432876, 2.0300906756608534, 2.1646280445054944, 406.1780702006772), id: 1236, score: 36
gen alive: 8, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 2.459405877206005, 443.7498249998374), id: 1347, score: 36
gen alive: 5, params: (14.110659370384004, 1.3880015785100528, 2.7262102930984993, 1.0747342124475308, 493.1957134555108), id: 1352, score: 36
gen alive: 6, params: (14.110659370384004, 1.3880015785100528, 2.7262102930984993, 1.0747342124475308, 491.069431601361), id: 1332, score: 34
gen alive: 5, params: (18.533281151538464, 1.1099373159890797, 2.166564721762068, 2.459405877206005, 487.8758623487293), id: 1187, score: 34
gen alive: 11, params: (19.128615881600215, 1.3880015785100528, 2.6853330631870023, 4.592439965088104, 491.069431601361), id: 1106, score: 33
gen alive: 10, params: (11.789172844800083, 1.1099373159890797, 2.166564721762068, 2.459405877206005, 487.8758623487293), id: 1001, score: 33
gen alive: 10, params: (11.789172844800083, 2.929802733489619, 2.868673728395387, 2.2563666429207143, 487.8758623487293), id: 1019, score: 33
gen alive: 10, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 3.6439039383033798, 275.0891620730656), id: 1113, score: 33
gen alive: 9, params: (15.135609701323514, 2.3879414603432876, 2.166564721762068, 2.1646280445054944, 245.89666468139987), id: 1243, score: 33
gen alive: 9, params: (14.110659370384004, 3.07548972104426, 2.868673728395387, 1.559627025310442, 491.069431601361), id: 1337, score: 33
gen alive: 8, params: (19.128615881600215, 1.3880015785100528, 2.6853330631870023, 2.459405877206005, 487.8758623487293), id: 1344, score: 33
gen alive: 7, params: (15.135609701323514, 2.3879414603432876, 2.312129614639565, 5.647854151196075, 443.7498249998374), id: 1099, score: 33
gen alive: 6, params: (7.384886131249956, 1.6725387766365891, 2.8093679424292284, 3.1679460947393534, 491.069431601361), id: 1224, score: 33
gen alive: 6, params: (11.789172844800083, 1.5471443823215134, 2.1120862179333555, 2.459405877206005, 487.8758623487293), id: 1159, score: 33
gen alive: 4, params: (18.107106303575033, 2.3852557505528393, 1.8719378905470527, 3.1457241722714597, 211.91248701752767), id: 1329, score: 33
gen alive: 1, params: (18.24211165918858, 1.019437380772477, 2.514790061174083, 2.459405877206005, 491.069431601361), id: 556, score: 33
gen alive: 11, params: (14.110659370384004, 1.1912180421419818, 2.166564721762068, 2.459405877206005, 491.069431601361), id: 561, score: 30
gen alive: 10, params: (14.110659370384004, 3.585471056835665, 2.7262102930984993, 2.459405877206005, 491.069431601361), id: 1232, score: 30
