gen alive: 54, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 6712, score: 42
gen alive: 53, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7611, score: 42
gen alive: 52, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7379, score: 42
gen alive: 52, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7603, score: 42
gen alive: 51, params: (17.412989344154628, 1.6725387766365891, 2.9730511511582653, 1.0988509935146311, 975.1551830278196), id: 7492, score: 42
gen alive: 45, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7272, score: 42
gen alive: 52, params: (14.110659370384004, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 6707, score: 39
gen alive: 52, params: (18.76079565831959, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 7268, score: 39
gen alive: 52, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7735, score: 39
gen alive: 50, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 7731, score: 39
gen alive: 49, params: (19.673797346238473, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7615, score: 39
gen alive: 48, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7501, score: 39
gen alive: 48, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7617, score: 39
gen alive: 27, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0189873773785487, 808.7808997704716), id: 7602, score: 39
gen alive: 24, params: (19.673797346238473, 1.1099373159890797, 2.630831315202971, 1.0988509935146311, 975.1551830278196), id: 7491, score: 39
gen alive: 51, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 6932, score: 37
gen alive: 36, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0189873773785487, 975.1551830278196), id: 7721, score: 37
gen alive: 21, params: (19.673797346238473, 1.1099373159890797, 2.9730511511582653, 1.0189873773785487, 808.7808997704716), id: 6929, score: 37
gen alive: 53, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7382, score: 36
gen alive: 52, params: (18.533281151538464, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7496, score: 36
gen alive: 52, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7497, score: 36
gen alive: 52, params: (18.76079565831959, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 7384, score: 36
gen alive: 40, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7723, score: 36
gen alive: 52, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7164, score: 34
gen alive: 52, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 7612, score: 34
gen alive: 43, params: (19.673797346238473, 1.6725387766365891, 2.9730511511582653, 1.0988509935146311, 946.9075924700552), id: 6826, score: 34
gen alive: 54, params: (17.412989344154628, 1.1099373159890797, 2.166564721762068, 1.0988509935146311, 975.1551830278196), id: 7166, score: 33
gen alive: 53, params: (15.135609701323514, 1.6725387766365891, 2.166564721762068, 1.0988509935146311, 975.1551830278196), id: 7281, score: 33
gen alive: 52, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 6821, score: 33
gen alive: 51, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7720, score: 33
gen alive: 50, params: (19.673797346238473, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7724, score: 33
gen alive: 47, params: (15.135609701323514, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 7740, score: 33
gen alive: 4, params: (18.76079565831959, 1.1099373159890797, 1.369619997663818, 1.0988509935146311, 975.1551830278196), id: 7597, score: 33
gen alive: 1, params: (18.76079565831959, 3.685557905783182, 2.7256770125715732, 17.368637474050058, 160.13159196875608), id: 7628, score: 33
gen alive: 53, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7279, score: 31
gen alive: 52, params: (18.76079565831959, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 7613, score: 31
gen alive: 53, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 6608, score: 30
gen alive: 49, params: (18.76079565831959, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7725, score: 30
gen alive: 48, params: (18.76079565831959, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7719, score: 30
gen alive: 47, params: (18.76079565831959, 1.6725387766365891, 2.9730511511582653, 1.0988509935146311, 975.1551830278196), id: 7280, score: 30
gen alive: 40, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7727, score: 30
gen alive: 33, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 808.7808997704716), id: 7395, score: 30
gen alive: 28, params: (18.72005520766472, 1.1099373159890797, 2.668094505363603, 1.0747342124475308, 975.1551830278196), id: 7733, score: 30
gen alive: 27, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 7734, score: 30
gen alive: 4, params: (18.72005520766472, 1.1099373159890797, 2.668094505363603, 19.935069047118223, 975.1551830278196), id: 7292, score: 30
gen alive: 52, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 7726, score: 28
gen alive: 50, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 7714, score: 28
gen alive: 54, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7159, score: 27
gen alive: 53, params: (18.76079565831959, 1.1099373159890797, 2.166564721762068, 1.0747342124475308, 975.1551830278196), id: 7284, score: 27
gen alive: 53, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7513, score: 27
gen alive: 53, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7739, score: 27
