gen alive: 5, params: (14.110659370384004, 1.1099373159890797, 2.166564721762068, 2.459405877206005, 491.069431601361), id: 553, score: 39
gen alive: 4, params: (11.789172844800083, 4.103049532942917, 2.868673728395387, 1.559627025310442, 487.8758623487293), id: 673, score: 39
gen alive: 5, params: (5.154765207820115, 2.929802733489619, 2.2786733548970926, 19.684249867490625, 964.5916900866463), id: 447, score: 37
gen alive: 2, params: (18.107106303575033, 3.07548972104426, 1.8719378905470527, 3.1457241722714597, 211.91248701752767), id: 596, score: 37
gen alive: 5, params: (15.135609701323514, 2.3879414603432876, 2.6344662914489074, 5.647854151196075, 245.89666468139987), id: 677, score: 36
gen alive: 4, params: (11.818535327048926, 1.1099373159890797, 2.166564721762068, 2.459405877206005, 491.069431601361), id: 401, score: 36
gen alive: 4, params: (17.412989344154628, 3.0388168979529455, 2.5906989934548292, 5.911782321691782, 734.1837321522258), id: 299, score: 36
gen alive: 2, params: (14.110659370384004, 2.3879414603432876, 1.8716163596088211, 10.34132289034008, 449.648515762955), id: 627, score: 36
gen alive: 6, params: (11.789172844800083, 1.3880015785100528, 2.1120862179333555, 4.592439965088104, 487.8758623487293), id: 340, score: 33
gen alive: 6, params: (9.418982895927378, 1.6725387766365891, 2.7426167288955954, 1.9792070294331943, 522.6471814185873), id: 348, score: 33
gen alive: 5, params: (14.110659370384004, 1.1912180421419818, 2.166564721762068, 2.459405877206005, 491.069431601361), id: 561, score: 33
gen alive: 5, params: (19.128615881600215, 1.3722973355659032, 2.6853330631870023, 2.459405877206005, 491.069431601361), id: 556, score: 33
gen alive: 5, params: (11.681587235099503, 2.929802733489619, 2.6267300308231754, 2.2563666429207143, 982.9091341760485), id: 664, score: 33
gen alive: 5, params: (11.789172844800083, 1.3880015785100528, 2.1120862179333555, 15.589840326126875, 487.8758623487293), id: 671, score: 33
gen alive: 3, params: (18.430665472202453, 3.0388168979529455, 2.868673728395387, 7.539769825101374, 234.7142491796004), id: 267, score: 33
gen alive: 3, params: (18.430665472202453, 2.7661849337302957, 1.521663344270151, 3.7688334813960145, 234.7142491796004), id: 672, score: 33
gen alive: 2, params: (11.818535327048926, 1.1099373159890797, 2.166564721762068, 3.937040522817516, 456.4102569061312), id: 647, score: 33
gen alive: 5, params: (15.135609701323514, 7.807896292528749, 1.8716163596088211, 5.647854151196075, 327.82421876438605), id: 667, score: 31
gen alive: 6, params: (19.128615881600215, 1.3880015785100528, 2.6267300308231754, 4.592439965088104, 522.6471814185873), id: 684, score: 30
gen alive: 5, params: (15.135609701323514, 7.807896292528749, 2.6344662914489074, 5.647854151196075, 327.82421876438605), id: 181, score: 30
gen alive: 5, params: (14.110659370384004, 3.004499672051188, 1.8716163596088211, 10.226121140684906, 245.89666468139987), id: 559, score: 30
gen alive: 5, params: (14.110659370384004, 2.3879414603432876, 1.8716163596088211, 19.84301769523399, 406.1780702006772), id: 557, score: 30
gen alive: 4, params: (14.110659370384004, 1.1912180421419818, 2.026499083777641, 14.670014507225163, 489.1503296748638), id: 393, score: 30
gen alive: 3, params: (14.280494353545606, 2.7661849337302957, 1.521663344270151, 3.7688334813960145, 986.2767158286154), id: 465, score: 30
gen alive: 2, params: (11.681587235099503, 1.9840318249942561, 2.6093858770569094, 8.790451621079566, 293.54158964571025), id: 452, score: 30
gen alive: 1, params: (11.457012393749478, 1.6725387766365891, 2.7262102930984993, 14.07288226179917, 432.5379571755336), id: 458, score: 30
gen alive: 1, params: (17.53338958681267, 3.004499672051188, 2.6489057104332696, 5.35047899360126, 807.7886857382565), id: 233, score: 30
gen alive: 6, params: (5.154765207820115, 2.929802733489619, 2.6267300308231754, 2.2563666429207143, 982.9091341760485), id: 459, score: 28
gen alive: 5, params: (13.441818788811641, 2.532279255470155, 2.491072712809918, 16.49337494491259, 406.1780702006772), id: 187, score: 28
gen alive: 4, params: (12.034821521730285, 2.532279255470155, 2.491072712809918, 16.49337494491259, 406.1780702006772), id: 685, score: 28
gen alive: 6, params: (6.784137550375059, 3.585471056835665, 2.4027489489852667, 3.6439039383033798, 987.6544109328113), id: 84, score: 27
gen alive: 6, params: (17.984101019968136, 1.42019690112073, 2.0004961439644378, 8.631594955305598, 993.0121649796006), id: 70, score: 27
gen alive: 6, params: (14.110659370384004, 2.3879414603432876, 1.8716163596088211, 10.34132289034008, 245.89666468139987), id: 115, score: 27
gen alive: 5, params: (11.681587235099503, 3.342731873951361, 2.6267300308231754, 7.183085566690781, 341.16260311070675), id: 183, score: 27
gen alive: 5, params: (11.681587235099503, 3.342731873951361, 2.6267300308231754, 14.07288226179917, 341.16260311070675), id: 562, score: 27
gen alive: 5, params: (12.034821521730285, 1.3880015785100528, 1.2181259394303139, 19.684249867490625, 301.57502567263), id: 165, score: 27
gen alive: 5, params: (19.70427171797726, 1.9840318249942561, 2.793444702109113, 11.211999839259509, 363.8022838253373), id: 451, score: 27
gen alive: 5, params: (11.23552698929044, 4.1547248554069425, 1.6561800626556926, 15.589840326126875, 794.0632936789249), id: 546, score: 27
gen alive: 5, params: (19.70427171797726, 3.004499672051188, 2.793444702109113, 9.983497803523582, 756.4236681778273), id: 573, score: 27
gen alive: 5, params: (17.412989344154628, 3.0388168979529455, 2.5906989934548292, 7.539769825101374, 275.0891620730656), id: 185, score: 27
gen alive: 5, params: (19.70427171797726, 3.004499672051188, 2.793444702109113, 3.6439039383033798, 807.7886857382565), id: 550, score: 27
gen alive: 5, params: (11.23552698929044, 4.1547248554069425, 1.6561800626556926, 15.589840326126875, 982.9091341760485), id: 658, score: 27
gen alive: 5, params: (16.746497685591894, 3.004499672051188, 2.026499083777641, 16.750796035670945, 489.1503296748638), id: 662, score: 27
gen alive: 5, params: (19.70427171797726, 4.1547248554069425, 1.6561800626556926, 15.589840326126875, 594.9062452192659), id: 663, score: 27
gen alive: 5, params: (11.23552698929044, 4.1547248554069425, 1.6561800626556926, 3.6439039383033798, 594.9062452192659), id: 679, score: 27
gen alive: 5, params: (17.412989344154628, 3.585471056835665, 2.5906989934548292, 3.6439039383033798, 734.1837321522258), id: 686, score: 27
gen alive: 4, params: (14.110659370384004, 2.3879414603432876, 1.8716163596088211, 10.34132289034008, 946.9075924700552), id: 497, score: 27
gen alive: 4, params: (19.70427171797726, 1.1912180421419818, 2.026499083777641, 19.84301769523399, 406.1780702006772), id: 660, score: 27
gen alive: 4, params: (14.280494353545606, 1.3880015785100528, 1.521663344270151, 3.7688334813960145, 594.9062452192659), id: 682, score: 27
gen alive: 1, params: (5.154765207820115, 4.664144004340528, 2.2786733548970926, 17.95846031385347, 756.4236681778273), id: 434, score: 27
gen alive: 6, params: (6.784137550375059, 3.585471056835665, 2.4027489489852667, 3.6439039383033798, 487.8758623487293), id: 659, score: 24
gen alive: 5, params: (11.681587235099503, 1.3880015785100528, 2.793444702109113, 7.183085566690781, 807.7886857382565), id: 441, score: 24
gen alive: 5, params: (19.70427171797726, 3.004499672051188, 2.491072712809918, 19.84301769523399, 406.1780702006772), id: 455, score: 24
gen alive: 5, params: (14.338122842875988, 1.9840318249942561, 2.6093858770569094, 11.211999839259509, 363.8022838253373), id: 258, score: 24
gen alive: 5, params: (11.23552698929044, 4.1547248554069425, 1.6561800626556926, 15.589840326126875, 594.9062452192659), id: 173, score: 24
gen alive: 5, params: (3.45498713593707, 3.004499672051188, 1.6561800626556926, 10.226121140684906, 807.7886857382565), id: 571, score: 24
gen alive: 5, params: (14.338122842875988, 1.9840318249942561, 2.166564721762068, 11.211999839259509, 491.069431601361), id: 661, score: 24
gen alive: 5, params: (5.154765207820115, 2.929802733489619, 2.166564721762068, 2.2563666429207143, 982.9091341760485), id: 665, score: 24
gen alive: 5, params: (17.412989344154628, 3.0388168979529455, 2.5906989934548292, 7.539769825101374, 406.1780702006772), id: 668, score: 24
gen alive: 5, params: (13.441818788811641, 2.532279255470155, 1.8716163596088211, 16.49337494491259, 406.1780702006772), id: 674, score: 24
gen alive: 5, params: (11.681587235099503, 3.342731873951361, 2.6267300308231754, 10.34132289034008, 341.16260311070675), id: 676, score: 24
gen alive: 4, params: (6.784137550375059, 3.0930292535910917, 2.4027489489852667, 3.6439039383033798, 987.6544109328113), id: 419, score: 24
gen alive: 4, params: (12.034821521730285, 1.3880015785100528, 2.868673728395387, 19.684249867490625, 301.57502567263), id: 569, score: 24
gen alive: 3, params: (7.865577892133367, 10.845840189711224, 2.976170418352063, 5.647854151196075, 942.7250379924471), id: 599, score: 24
gen alive: 3, params: (16.746497685591894, 11.946300688508023, 1.404252921319923, 14.18114160068752, 560.5984190723929), id: 625, score: 24
gen alive: 3, params: (7.033538956357377, 3.004499672051188, 1.8013969713738929, 4.036463149469535, 551.2598237865898), id: 637, score: 24
gen alive: 2, params: (18.430665472202453, 3.0388168979529455, 2.868673728395387, 10.869062401477171, 234.7142491796004), id: 615, score: 24
gen alive: 2, params: (16.260599378551227, 1.1912180421419818, 2.026499083777641, 7.939089555077684, 922.2562126945577), id: 657, score: 24
gen alive: 1, params: (17.860047334867037, 3.2045642851634146, 2.366122277012586, 6.028672789644523, 487.95296301755167), id: 709, score: 24
gen alive: 1, params: (10.228847697178514, 2.993789685377217, 2.8774156945687483, 10.958704673422192, 530.6362980780375), id: 250, score: 24
gen alive: 6, params: (19.128615881600215, 1.3722973355659032, 2.6853330631870023, 13.66849631657292, 982.9091341760485), id: 67, score: 22
gen alive: 6, params: (19.70427171797726, 3.004499672051188, 2.793444702109113, 19.84301769523399, 807.7886857382565), id: 332, score: 22
gen alive: 6, params: (19.128615881600215, 1.3880015785100528, 2.6267300308231754, 4.592439965088104, 982.9091341760485), id: 453, score: 21
gen alive: 5, params: (5.154765207820115, 2.3879414603432876, 2.2786733548970926, 10.34132289034008, 964.5916900866463), id: 666, score: 21
gen alive: 5, params: (19.128615881600215, 1.3722973355659032, 2.166564721762068, 2.459405877206005, 982.9091341760485), id: 681, score: 21
gen alive: 4, params: (11.789172844800083, 4.103049532942917, 2.8751570897180008, 1.559627025310442, 487.8758623487293), id: 535, score: 21
gen alive: 3, params: (18.015775667269992, 19.767666021969397, 1.7285133724089403, 19.84301769523399, 258.33146918013824), id: 617, score: 21
gen alive: 3, params: (11.681587235099503, 9.291109446231493, 2.6267300308231754, 17.037469370651507, 494.9344184752421), id: 653, score: 21
gen alive: 3, params: (17.928551423385326, 16.242848772163754, 2.848137031321259, 17.93200487563383, 363.8022838253373), id: 655, score: 21
gen alive: 1, params: (16.663003105847842, 3.555177422836374, 2.1863360815113593, 10.554080395238497, 773.3904271520994), id: 693, score: 21
gen alive: 1, params: (10.859552549631118, 2.2963026166395615, 1.8498840540687451, 2.5569479633459467, 261.0039196490549), id: 694, score: 21
gen alive: 1, params: (7.351018304147478, 1.2665077057608025, 2.723456928399873, 17.06833540577746, 915.988177029853), id: 695, score: 21
gen alive: 1, params: (15.644188428828837, 1.96801742995911, 2.429747502579578, 17.396852026554164, 714.0520578720261), id: 702, score: 21
gen alive: 1, params: (8.019742643811904, 1.6725387766365891, 2.7426167288955954, 14.07288226179917, 866.6425106278249), id: 325, score: 21
gen alive: 1, params: (12.1432872810458, 7.624609541299455, 2.3742570937606344, 3.7879852730478736, 534.1308303768386), id: 543, score: 21
gen alive: 5, params: (17.984101019968136, 2.532279255470155, 2.0004961439644378, 8.631594955305598, 993.0121649796006), id: 687, score: 19
gen alive: 3, params: (14.110659370384004, 1.1912180421419818, 2.166564721762068, 19.857474127924224, 491.069431601361), id: 621, score: 19
gen alive: 2, params: (9.177863424104386, 2.7661849337302957, 1.521663344270151, 3.7688334813960145, 986.2767158286154), id: 639, score: 19
gen alive: 5, params: (11.789172844800083, 1.3880015785100528, 2.1120862179333555, 4.592439965088104, 594.9062452192659), id: 448, score: 18
gen alive: 5, params: (19.70427171797726, 1.9840318249942561, 2.793444702109113, 11.211999839259509, 327.82421876438605), id: 678, score: 18
gen alive: 4, params: (13.686014101273939, 3.572268209275349, 2.962270988469322, 6.180504114981738, 832.9558798763013), id: 39, score: 18
gen alive: 4, params: (14.280494353545606, 2.7661849337302957, 1.521663344270151, 19.84301769523399, 986.2767158286154), id: 680, score: 18
gen alive: 3, params: (5.248162641639034, 1.3880015785100528, 1.2770226908847706, 17.447068936897377, 798.302325624378), id: 601, score: 18
gen alive: 3, params: (11.789172844800083, 1.3880015785100528, 2.1120862179333555, 4.592439965088104, 436.32090535036485), id: 613, score: 18
gen alive: 3, params: (12.034821521730285, 1.3880015785100528, 1.2181259394303139, 1.4161067961834117, 301.57502567263), id: 633, score: 18
gen alive: 3, params: (13.925061100904149, 11.57721150767979, 2.6093858770569094, 9.500392947472957, 931.311775332465), id: 641, score: 18
gen alive: 3, params: (18.430665472202453, 3.0930292535910917, 2.868673728395387, 3.6439039383033798, 987.6544109328113), id: 675, score: 18
gen alive: 2, params: (14.110659370384004, 2.3879414603432876, 2.5377090934297644, 14.650553343648387, 857.9409373031049), id: 605, score: 18
gen alive: 2, params: (13.686014101273939, 5.886120244785199, 2.962270988469322, 6.180504114981738, 832.9558798763013), id: 643, score: 18
gen alive: 1, params: (9.815183626723533, 2.891505193613044, 1.930409225937039, 7.222802366933598, 707.530681759596), id: 703, score: 18
gen alive: 1, params: (9.103758011436272, 1.3880015785100528, 1.2181259394303139, 8.994196671496384, 388.3375937667977), id: 349, score: 18
gen alive: 1, params: (11.789172844800083, 1.3880015785100528, 2.5192886499938685, 14.07288226179917, 487.8758623487293), id: 565, score: 18
gen alive: 1, params: (14.591697096529288, 1.6965509704256236, 2.102380614489154, 9.983497803523582, 756.4236681778273), id: 8, score: 18
gen alive: 1, params: (14.460265902000978, 6.6157229048844926, 1.6561800626556926, 14.580026101492278, 608.3883125945114), id: 563, score: 18
gen alive: 5, params: (19.70427171797726, 1.3880015785100528, 2.793444702109113, 4.592439965088104, 363.8022838253373), id: 670, score: 16
gen alive: 5, params: (13.441818788811641, 3.004499672051188, 1.6561800626556926, 10.226121140684906, 807.7886857382565), id: 669, score: 15
gen alive: 4, params: (14.280494353545606, 3.342731873951361, 1.521663344270151, 3.7688334813960145, 341.16260311070675), id: 548, score: 15
gen alive: 3, params: (4.106921865459791, 15.597610806083921, 1.6940670040304457, 15.543957091267615, 794.0632936789249), id: 607, score: 15
gen alive: 3, params: (15.135609701323514, 3.849502213813522, 1.5389389294823566, 5.647854151196075, 231.0718037506372), id: 631, score: 15
gen alive: 3, params: (4.547782011211742, 3.0388168979529455, 2.5906989934548292, 7.539769825101374, 275.0891620730656), id: 651, score: 15
gen alive: 1, params: (15.953796610989448, 18.458933588584664, 1.0281399775565674, 5.436823542227458, 907.536011489669), id: 688, score: 15
gen alive: 1, params: (5.606262330118644, 4.80277212085856, 1.822006411869078, 10.25972877538041, 944.072494335883), id: 690, score: 15
gen alive: 1, params: (11.384647587036854, 2.183609310744689, 1.4283806283346563, 9.10613256953365, 132.27341139602146), id: 696, score: 15
gen alive: 1, params: (9.356782457475376, 9.951557407133322, 1.9264569095352242, 9.947633092112975, 719.7028610930765), id: 509, score: 15
