gen alive: 16, params: (17.412989344154628, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2468, score: 42
gen alive: 13, params: (18.533281151538464, 1.6725387766365891, 2.832136672348768, 1.0988509935146311, 880.5733982760472), id: 2454, score: 42
gen alive: 13, params: (18.533281151538464, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 880.5733982760472), id: 2465, score: 42
gen alive: 19, params: (18.24211165918858, 1.1099373159890797, 2.7262102930984993, 2.459405877206005, 491.069431601361), id: 2127, score: 39
gen alive: 18, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 880.5733982760472), id: 1783, score: 39
gen alive: 18, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2355, score: 39
gen alive: 18, params: (15.135609701323514, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2255, score: 39
gen alive: 18, params: (14.110659370384004, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 946.9075924700552), id: 2676, score: 39
gen alive: 17, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2585, score: 39
gen alive: 16, params: (14.110659370384004, 1.1099373159890797, 2.166564721762068, 1.0747342124475308, 946.9075924700552), id: 2238, score: 39
gen alive: 14, params: (18.533281151538464, 1.6725387766365891, 2.653403812370607, 1.0988509935146311, 880.5733982760472), id: 2566, score: 39
gen alive: 14, params: (18.533281151538464, 1.1099373159890797, 2.273923463399335, 1.0988509935146311, 880.5733982760472), id: 2679, score: 39
gen alive: 8, params: (18.533281151538464, 1.1099373159890797, 2.832136672348768, 1.0988509935146311, 880.5733982760472), id: 2285, score: 39
gen alive: 18, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2229, score: 37
gen alive: 17, params: (15.135609701323514, 1.6725387766365891, 2.514790061174083, 2.459405877206005, 491.069431601361), id: 2567, score: 37
gen alive: 18, params: (15.135609701323514, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 880.5733982760472), id: 2367, score: 36
gen alive: 18, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 1569, score: 36
gen alive: 17, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 946.9075924700552), id: 2463, score: 36
gen alive: 17, params: (19.128615881600215, 1.6725387766365891, 2.166564721762068, 2.459405877206005, 491.069431601361), id: 2564, score: 36
gen alive: 17, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2143, score: 36
gen alive: 15, params: (15.135609701323514, 1.1099373159890797, 2.166564721762068, 1.0747342124475308, 880.5733982760472), id: 2451, score: 36
gen alive: 15, params: (15.135609701323514, 1.6725387766365891, 2.166564721762068, 1.0747342124475308, 946.9075924700552), id: 2570, score: 36
gen alive: 13, params: (10.853976368512821, 1.3880015785100528, 2.514790061174083, 2.459405877206005, 491.069431601361), id: 2472, score: 36
gen alive: 16, params: (19.128615881600215, 1.3880015785100528, 2.420667742139616, 1.0747342124475308, 491.069431601361), id: 2123, score: 34
gen alive: 18, params: (15.135609701323514, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 880.5733982760472), id: 2563, score: 33
gen alive: 18, params: (14.110659370384004, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 946.9075924700552), id: 2138, score: 33
gen alive: 18, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2698, score: 33
gen alive: 17, params: (14.110659370384004, 1.1099373159890797, 2.653403812370607, 1.0988509935146311, 946.9075924700552), id: 2240, score: 33
gen alive: 17, params: (15.135609701323514, 1.3880015785100528, 2.514790061174083, 2.459405877206005, 491.069431601361), id: 2243, score: 33
gen alive: 17, params: (15.135609701323514, 1.3880015785100528, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2574, score: 33
gen alive: 17, params: (14.110659370384004, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 842.8728429478286), id: 2692, score: 33
gen alive: 16, params: (14.110659370384004, 1.1099373159890797, 2.653403812370607, 1.0988509935146311, 491.069431601361), id: 2129, score: 33
gen alive: 16, params: (15.135609701323514, 1.3880015785100528, 2.166564721762068, 1.0747342124475308, 842.8728429478286), id: 2456, score: 33
gen alive: 16, params: (15.135609701323514, 1.1099373159890797, 2.166564721762068, 1.0747342124475308, 880.5733982760472), id: 2695, score: 33
gen alive: 15, params: (14.110659370384004, 1.6725387766365891, 2.514790061174083, 1.0747342124475308, 946.9075924700552), id: 2687, score: 33
gen alive: 1, params: (18.76079565831959, 1.1099373159890797, 2.996122667258772, 1.0747342124475308, 616.5678351998511), id: 2511, score: 33
gen alive: 17, params: (14.110659370384004, 1.3218601748071215, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2460, score: 31
gen alive: 19, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2248, score: 30
gen alive: 18, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2450, score: 30
gen alive: 18, params: (15.135609701323514, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2682, score: 30
gen alive: 17, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 842.8728429478286), id: 2562, score: 30
gen alive: 17, params: (18.533281151538464, 1.1099373159890797, 2.166564721762068, 1.0747342124475308, 491.069431601361), id: 2689, score: 30
gen alive: 13, params: (18.533281151538464, 1.1099373159890797, 2.273923463399335, 1.0988509935146311, 491.069431601361), id: 2246, score: 30
gen alive: 13, params: (18.533281151538464, 1.1099373159890797, 2.273923463399335, 1.0988509935146311, 491.069431601361), id: 2684, score: 30
gen alive: 5, params: (18.533281151538464, 7.149218193663571, 2.832136672348768, 1.0988509935146311, 880.5733982760472), id: 2523, score: 30
gen alive: 15, params: (14.110659370384004, 1.019437380772477, 2.7262102930984993, 1.0747342124475308, 491.069431601361), id: 2122, score: 29
gen alive: 19, params: (19.128615881600215, 1.1099373159890797, 2.166564721762068, 2.459405877206005, 443.7498249998374), id: 2458, score: 27
gen alive: 18, params: (14.110659370384004, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2342, score: 27
gen alive: 18, params: (15.135609701323514, 1.6725387766365891, 2.166564721762068, 1.0747342124475308, 946.9075924700552), id: 2341, score: 27
gen alive: 18, params: (18.533281151538464, 1.1099373159890797, 2.166564721762068, 1.0747342124475308, 491.069431601361), id: 2140, score: 27
gen alive: 12, params: (15.775625144200303, 1.1099373159890797, 2.609222216242952, 1.0747342124475308, 880.5733982760472), id: 2681, score: 27
gen alive: 11, params: (18.533281151538464, 7.149218193663571, 2.832136672348768, 2.459405877206005, 491.069431601361), id: 2690, score: 27
gen alive: 9, params: (9.056170667355753, 1.6725387766365891, 1.314179623844714, 1.0747342124475308, 933.4138618328392), id: 2663, score: 27
gen alive: 1, params: (2.0256998108270636, 1.1099373159890797, 2.4926734153122423, 4.959176919077373, 880.5733982760472), id: 2582, score: 27
gen alive: 10, params: (16.570781607896684, 1.1099373159890797, 2.166564721762068, 2.459405877206005, 443.7498249998374), id: 2633, score: 25
gen alive: 6, params: (15.775625144200303, 1.1099373159890797, 2.609222216242952, 2.459405877206005, 491.069431601361), id: 2024, score: 25
gen alive: 18, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2365, score: 24
gen alive: 18, params: (19.128615881600215, 1.1099373159890797, 2.166564721762068, 2.459405877206005, 946.9075924700552), id: 2693, score: 24
gen alive: 17, params: (15.135609701323514, 1.3880015785100528, 2.166564721762068, 1.0747342124475308, 946.9075924700552), id: 2699, score: 24
gen alive: 16, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 2.459405877206005, 491.069431601361), id: 2677, score: 24
gen alive: 16, params: (14.110659370384004, 1.1099373159890797, 2.166564721762068, 1.0747342124475308, 491.069431601361), id: 2683, score: 24
gen alive: 16, params: (14.110659370384004, 1.1099373159890797, 2.653403812370607, 1.0747342124475308, 491.069431601361), id: 2688, score: 24
gen alive: 15, params: (15.135609701323514, 1.3880015785100528, 2.7262102930984993, 1.0988509935146311, 880.5733982760472), id: 2697, score: 24
gen alive: 15, params: (18.533281151538464, 1.6725387766365891, 2.273923463399335, 1.0988509935146311, 880.5733982760472), id: 2701, score: 24
gen alive: 12, params: (18.533281151538464, 1.1099373159890797, 2.273923463399335, 1.0988509935146311, 880.5733982760472), id: 1719, score: 24
gen alive: 9, params: (18.30746935856405, 1.6725387766365891, 2.091181525181172, 1.0747342124475308, 880.5733982760472), id: 2637, score: 24
gen alive: 9, params: (15.135609701323514, 1.6725387766365891, 2.7262102930984993, 3.1351815427388514, 880.5733982760472), id: 2649, score: 24
gen alive: 8, params: (15.135609701323514, 1.1099373159890797, 1.8292008898474343, 1.0747342124475308, 706.2871281492876), id: 2627, score: 24
gen alive: 8, params: (15.135609701323514, 12.840232920248747, 2.166564721762068, 1.0747342124475308, 855.3683928376015), id: 2653, score: 24
gen alive: 8, params: (15.135609701323514, 1.6725387766365891, 1.757611436954835, 5.722898959603135, 327.57035868588446), id: 2669, score: 24
gen alive: 7, params: (10.853976368512821, 1.3880015785100528, 2.514790061174083, 3.573879154158206, 491.069431601361), id: 2655, score: 24
gen alive: 6, params: (19.729885518063483, 14.218491639327373, 2.273923463399335, 1.0988509935146311, 456.3992587828093), id: 2667, score: 24
gen alive: 13, params: (18.533281151538464, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 946.9075924700552), id: 2685, score: 22
gen alive: 18, params: (18.533281151538464, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 491.069431601361), id: 2686, score: 21
gen alive: 18, params: (14.110659370384004, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 946.9075924700552), id: 2700, score: 21
gen alive: 16, params: (15.135609701323514, 1.019437380772477, 2.7262102930984993, 1.0747342124475308, 880.5733982760472), id: 2674, score: 21
gen alive: 16, params: (14.110659370384004, 1.6725387766365891, 2.166564721762068, 1.0747342124475308, 946.9075924700552), id: 2678, score: 21
gen alive: 16, params: (19.128615881600215, 1.6725387766365891, 2.166564721762068, 2.459405877206005, 880.5733982760472), id: 2680, score: 21
gen alive: 7, params: (10.853976368512821, 3.9402416464589916, 2.514790061174083, 2.459405877206005, 491.069431601361), id: 2631, score: 21
gen alive: 3, params: (18.533281151538464, 16.717279136724237, 1.723967478566677, 1.0988509935146311, 720.7060821269838), id: 2635, score: 21
gen alive: 3, params: (9.564688318306585, 7.149218193663571, 2.832136672348768, 1.0988509935146311, 606.2418077094051), id: 2665, score: 21
gen alive: 16, params: (18.24211165918858, 1.1099373159890797, 2.653403812370607, 1.0988509935146311, 491.069431601361), id: 2235, score: 19
gen alive: 1, params: (9.328805371728002, 1.540258480255923, 2.5189952956502975, 3.3538527468333044, 946.9075924700552), id: 2527, score: 19
gen alive: 18, params: (15.135609701323514, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 880.5733982760472), id: 2464, score: 18
gen alive: 14, params: (18.533281151538464, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 491.069431601361), id: 2696, score: 18
gen alive: 9, params: (14.110659370384004, 1.6725387766365891, 1.5940052538828926, 1.0747342124475308, 216.8813063469952), id: 2623, score: 18
gen alive: 9, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 5.510219298400788, 946.9075924700552), id: 2629, score: 18
gen alive: 9, params: (6.3784466650979965, 1.6725387766365891, 2.729256103636098, 1.0747342124475308, 560.2152706316606), id: 2673, score: 18
gen alive: 9, params: (15.775625144200303, 1.3880015785100528, 2.514790061174083, 2.459405877206005, 491.069431601361), id: 2675, score: 18
gen alive: 7, params: (7.210149221930489, 1.1099373159890797, 2.273923463399335, 19.572784144786947, 491.069431601361), id: 2615, score: 18
gen alive: 7, params: (18.533281151538464, 15.726555035272195, 2.3326082616817114, 1.0988509935146311, 880.5733982760472), id: 2617, score: 18
gen alive: 7, params: (18.533281151538464, 7.101906996062478, 2.289832294497673, 2.381273358035825, 880.5733982760472), id: 2671, score: 18
gen alive: 1, params: (17.62592741937699, 7.063875313269172, 2.2539838351678316, 7.616548708075385, 796.1392368565886), id: 2713, score: 18
gen alive: 1, params: (18.730576181918345, 2.732249881429781, 2.1741797797901534, 17.1554820104394, 232.23149944491539), id: 2724, score: 18
gen alive: 1, params: (14.131877989914155, 1.1099373159890797, 2.190796727687837, 2.459405877206005, 391.1066626931316), id: 2584, score: 18
gen alive: 1, params: (12.63264906184752, 17.489501449716766, 2.7262102930984993, 1.0747342124475308, 782.2879568629278), id: 2227, score: 18
gen alive: 1, params: (11.725618358167544, 4.547598240854663, 2.7262102930984993, 3.6210151755566313, 946.9075924700552), id: 2515, score: 18
gen alive: 1, params: (17.703715992151533, 10.709034330161682, 1.9133621806248904, 5.0195386749384, 660.5572648445805), id: 2612, score: 18
gen alive: 1, params: (11.190042586848158, 2.3688458250390716, 1.565703208791794, 19.9663134814066, 643.4707859134305), id: 2485, score: 18
