{'ppo_masked_385': ([1, 104], [2, 98]), 'ppo_masked_46': ([2, 89], [1, 99]), 'zeros': ([0, 7], [0, 3])}
{'ppo_masked_385': ([1, 100], [2, 110]), 'ppo_masked_47': ([2, 95], [1, 84]), 'zeros': ([0, 5], [0, 6])}
{'ppo_masked_385': ([1, 107], [2, 94]), 'ppo_masked_48': ([2, 87], [1, 96]), 'zeros': ([0, 6], [0, 10])}
{'ppo_masked_385': ([1, 109], [2, 112]), 'ppo_masked_49': ([2, 90], [1, 82]), 'zeros': ([0, 1], [0, 6])}
{'ppo_masked_385': ([1, 114], [2, 95]), 'ppo_masked_50': ([2, 84], [1, 99]), 'zeros': ([0, 2], [0, 6])}
{'ppo_masked_385': ([1, 110], [2, 92]), 'ppo_masked_51': ([2, 85], [1, 99]), 'zeros': ([0, 5], [0, 9])}
{'ppo_masked_385': ([1, 104], [2, 96]), 'ppo_masked_52': ([2, 90], [1, 97]), 'zeros': ([0, 6], [0, 7])}
{'ppo_masked_385': ([1, 89], [2, 107]), 'ppo_masked_53': ([2, 101], [1, 86]), 'zeros': ([0, 10], [0, 7])}
{'ppo_masked_385': ([1, 96], [2, 85]), 'ppo_masked_54': ([2, 97], [1, 110]), 'zeros': ([0, 7], [0, 5])}
{'ppo_masked_385': ([1, 98], [2, 110]), 'ppo_masked_55': ([2, 99], [1, 87]), 'zeros': ([0, 3], [0, 3])}
{'ppo_masked_385': ([1, 96], [2, 91]), 'ppo_masked_56': ([2, 98], [1, 105]), 'zeros': ([0, 6], [0, 4])}
{'ppo_masked_385': ([1, 123], [2, 94]), 'ppo_masked_57': ([2, 71], [1, 100]), 'zeros': ([0, 6], [0, 6])}
{'ppo_masked_385': ([1, 100], [2, 97]), 'ppo_masked_58': ([2, 94], [1, 96]), 'zeros': ([0, 6], [0, 7])}
{'ppo_masked_385': ([1, 99], [2, 90]), 'ppo_masked_59': ([2, 97], [1, 107]), 'zeros': ([0, 4], [0, 3])}
{'ppo_masked_385': ([1, 117], [2, 103]), 'ppo_masked_60': ([2, 78], [1, 94]), 'zeros': ([0, 5], [0, 3])}
