gen alive: 4, params: min opp score: 262.31533354459214, corner divisor: 1.1676389748210614, corner exponent: 2.3408568067973343, danger divisor: 8.046889147464693, id: 5193, score: 27
gen alive: 3, params: min opp score: 845.9451978270854, danger divisor: 5.1203181262998445, corner divisor: 2.3506686010898745, corner exponent: 2.192998573419733, id: 5350, score: 27
gen alive: 1, params: min opp score: 137.54844088199494, corner divisor: 3.380166145382798, corner exponent: 2.3408568067973343, danger divisor: 1.5537486913611744, id: 5253, score: 27
gen alive: 4, params: corner divisor: 2.3506686010898745, corner exponent: 2.3408568067973343, danger divisor: 6.254814406196316, min opp score: 252.2756832149433, id: 5338, score: 25
gen alive: 1, params: corner divisor: 5.571098265394678, corner exponent: 1.5917552234781398, danger divisor: 9.594020057734317, min opp score: 237.88584191535557, id: 5268, score: 25
gen alive: 13, params: corner divisor: 1.1676389748210614, corner exponent: 1.6278222462949008, danger divisor: 3.796516732917544, min opp score: 272.14483671774246, id: 5368, score: 24
gen alive: 10, params: min opp score: 162.08532306495255, danger divisor: 3.796516732917544, corner divisor: 3.546408867703937, corner exponent: 1.5474369499067955, id: 5015, score: 24
gen alive: 10, params: corner divisor: 2.929206847728001, corner exponent: 1.4375481092223572, danger divisor: 9.594020057734317, min opp score: 107.92417199617526, id: 5362, score: 24
gen alive: 10, params: corner divisor: 10.412138896373664, corner exponent: 2.8935209404083704, danger divisor: 4.470641007813695, min opp score: 100.10656952341613, id: 5365, score: 24
gen alive: 7, params: min opp score: 262.31533354459214, corner divisor: 1.1676389748210614, corner exponent: 2.3408568067973343, danger divisor: 1.5537486913611744, id: 5118, score: 24
gen alive: 7, params: corner divisor: 2.929206847728001, corner exponent: 1.4375481092223572, danger divisor: 3.0933316306374476, min opp score: 185.2354430386653, id: 5310, score: 24
gen alive: 7, params: min opp score: 100.10656952341613, danger divisor: 5.1203181262998445, corner divisor: 2.01367601221817, corner exponent: 2.192998573419733, id: 5374, score: 24
gen alive: 5, params: corner divisor: 8.60394536695646, corner exponent: 1.4745448500853149, danger divisor: 4.470641007813695, min opp score: 987.3848080155441, id: 5334, score: 24
gen alive: 4, params: corner divisor: 1.1676389748210614, corner exponent: 2.1814574775291447, danger divisor: 3.254433096014946, min opp score: 620.3355814824321, id: 5366, score: 24
gen alive: 3, params: min opp score: 289.6768517192754, danger divisor: 5.1203181262998445, corner divisor: 5.12066085625662, corner exponent: 2.192998573419733, id: 5364, score: 24
gen alive: 2, params: min opp score: 289.6768517192754, danger divisor: 6.360703707163745, corner divisor: 5.12066085625662, corner exponent: 1.7349343381957252, id: 4952, score: 24
gen alive: 1, params: min opp score: 330.3199706260674, danger divisor: 5.375198568482854, corner divisor: 2.3506686010898745, corner exponent: 1.132320754801298, id: 5278, score: 24
gen alive: 1, params: min opp score: 305.0677099897664, corner divisor: 1.5310219545644048, corner exponent: 2.109657562459311, danger divisor: 1.2415632799727985, id: 5191, score: 24
gen alive: 14, params: corner divisor: 1.068310695988945, corner exponent: 2.37835809088062, danger divisor: 10.14748265659769, min opp score: 101.9816520688636, id: 5042, score: 22
gen alive: 14, params: corner divisor: 2.929206847728001, corner exponent: 1.4375481092223572, danger divisor: 9.594020057734317, min opp score: 185.2354430386653, id: 5047, score: 22
gen alive: 11, params: corner divisor: 1.1676389748210614, corner exponent: 1.6278222462949008, danger divisor: 1.6248151615545998, min opp score: 221.91677063698575, id: 5007, score: 22
gen alive: 11, params: min opp score: 298.34684655678325, corner divisor: 1.5310219545644048, corner exponent: 1.7458815348936094, danger divisor: 1.2373134973252098, id: 4851, score: 22
gen alive: 10, params: min opp score: 101.9816520688636, corner divisor: 4.00303783829891, corner exponent: 1.7458815348936094, danger divisor: 1.2795400119771339, id: 5171, score: 22
gen alive: 9, params: min opp score: 237.88584191535557, corner divisor: 1.5310219545644048, corner exponent: 2.3408568067973343, danger divisor: 1.5537486913611744, id: 5380, score: 22
gen alive: 8, params: min opp score: 466.95872275068115, danger divisor: 9.718503359736275, corner divisor: 4.00303783829891, corner exponent: 2.6739638587794916, id: 5312, score: 22
gen alive: 7, params: min opp score: 298.34684655678325, corner divisor: 1.5310219545644048, corner exponent: 2.1814574775291447, danger divisor: 3.796516732917544, id: 4579, score: 22
gen alive: 13, params: corner divisor: 2.3506686010898745, corner exponent: 2.3408568067973343, danger divisor: 3.796516732917544, min opp score: 308.21909297121204, id: 4589, score: 21
gen alive: 12, params: corner divisor: 1.1676389748210614, corner exponent: 1.3267402573516933, danger divisor: 6.911933456274359, min opp score: 300.88909982519965, id: 4836, score: 21
gen alive: 12, params: min opp score: 100.10656952341613, corner divisor: 1.1676389748210614, corner exponent: 2.975698261678251, danger divisor: 13.901175922884406, id: 5276, score: 21
gen alive: 12, params: min opp score: 512.8786803071204, corner divisor: 1.3142491369445581, corner exponent: 1.9792074778561448, danger divisor: 1.2373134973252098, id: 4613, score: 21
gen alive: 10, params: corner divisor: 8.614627729817538, corner exponent: 2.5140031266091194, danger divisor: 9.594020057734317, min opp score: 237.88584191535557, id: 4496, score: 21
gen alive: 9, params: corner divisor: 8.05612570331765, corner exponent: 2.9722604916804825, danger divisor: 3.796516732917544, min opp score: 261.63230708554204, id: 5300, score: 21
gen alive: 9, params: min opp score: 215.6534055459672, corner divisor: 1.5310219545644048, corner exponent: 1.7458815348936094, danger divisor: 4.759897664271012, id: 5359, score: 21
gen alive: 8, params: min opp score: 183.50490828916523, danger divisor: 6.830361569984919, corner divisor: 3.2068710167321988, corner exponent: 2.9343520898640585, id: 4427, score: 21
gen alive: 5, params: min opp score: 335.6190432629545, danger divisor: 16.355399224434624, corner divisor: 1.5310219545644048, corner exponent: 1.727524045341805, id: 5304, score: 21
gen alive: 5, params: corner divisor: 11.868685247816362, corner exponent: 2.4412658107330483, danger divisor: 9.594020057734317, min opp score: 237.88584191535557, id: 5314, score: 21
gen alive: 3, params: min opp score: 620.3355814824321, corner divisor: 8.197066801432582, corner exponent: 1.8889820824521142, danger divisor: 3.254433096014946, id: 5229, score: 21
gen alive: 3, params: min opp score: 237.88584191535557, corner divisor: 1.5310219545644048, corner exponent: 1.727524045341805, danger divisor: 19.33283882798409, id: 5308, score: 21
gen alive: 2, params: min opp score: 656.7387087544683, corner divisor: 2.493002072149725, corner exponent: 2.021750632638299, danger divisor: 1.2373134973252098, id: 5056, score: 21
gen alive: 1, params: min opp score: 254.41605003503065, corner divisor: 4.699145851466404, corner exponent: 1.4928037507302507, danger divisor: 5.082961015645711, id: 5241, score: 21
gen alive: 1, params: corner divisor: 8.614627729817538, corner exponent: 2.800015796383087, danger divisor: 9.594020057734317, min opp score: 475.9121810191732, id: 4934, score: 21
gen alive: 1, params: corner divisor: 1.1676389748210614, corner exponent: 2.026769506427462, danger divisor: 1.5537486913611744, min opp score: 293.36459958190164, id: 4958, score: 21
gen alive: 10, params: min opp score: 107.92417199617526, danger divisor: 5.1203181262998445, corner divisor: 2.3506686010898745, corner exponent: 2.192998573419733, id: 4892, score: 19
gen alive: 6, params: min opp score: 586.0642433616324, danger divisor: 6.273854324647272, corner divisor: 5.12066085625662, corner exponent: 1.9881182514942035, id: 5332, score: 19
gen alive: 11, params: corner divisor: 1.1676389748210614, corner exponent: 1.6278222462949008, danger divisor: 6.273854324647272, min opp score: 272.14483671774246, id: 5013, score: 18
gen alive: 10, params: corner divisor: 2.3506686010898745, corner exponent: 2.3408568067973343, danger divisor: 6.830361569984919, min opp score: 308.21909297121204, id: 4732, score: 18
gen alive: 10, params: corner divisor: 2.3506686010898745, corner exponent: 2.975698261678251, danger divisor: 12.090310707206116, min opp score: 445.57619162682863, id: 5255, score: 18
gen alive: 9, params: min opp score: 107.92417199617526, danger divisor: 6.830361569984919, corner divisor: 3.2068710167321988, corner exponent: 2.9343520898640585, id: 5375, score: 18
gen alive: 9, params: corner divisor: 1.1676389748210614, corner exponent: 1.3267402573516933, danger divisor: 6.911933456274359, min opp score: 207.98604733108857, id: 5381, score: 18
gen alive: 7, params: corner divisor: 2.3506686010898745, corner exponent: 2.3408568067973343, danger divisor: 3.796516732917544, min opp score: 252.2756832149433, id: 5205, score: 18
gen alive: 7, params: corner divisor: 13.983903410601473, corner exponent: 1.1365308872285595, danger divisor: 9.594020057734317, min opp score: 185.2354430386653, id: 5324, score: 18
gen alive: 7, params: corner divisor: 16.17312202793564, corner exponent: 2.3408568067973343, danger divisor: 3.796516732917544, min opp score: 132.24814861209677, id: 5348, score: 18
