gen alive: 13, params: min opp score: 300.88909982519965, danger divisor: 5.1203181262998445, corner divisor: 5.12066085625662, corner exponent: 1.9881182514942035, id: 3933, score: 42
gen alive: 6, params: corner divisor: 5.230753469485125, corner exponent: 2.9343520898640585, danger divisor: 4.101554265298679, min opp score: 596.6020331301586, id: 4482, score: 39
gen alive: 16, params: min opp score: 153.6749362246881, danger divisor: 2.624583429034368, corner divisor: 2.929206847728001, corner exponent: 2.9343520898640585, id: 3834, score: 36
gen alive: 10, params: min opp score: 658.9134331572074, corner divisor: 1.3142491369445581, corner exponent: 2.021810565452122, danger divisor: 1.2373134973252098, id: 4225, score: 36
gen alive: 9, params: min opp score: 900.9187887259625, danger divisor: 1.8337256035749454, corner divisor: 2.3506686010898745, corner exponent: 2.3449716464572457, id: 4492, score: 36
gen alive: 13, params: corner divisor: 2.929206847728001, corner exponent: 1.4375481092223572, danger divisor: 13.901175922884406, min opp score: 100.10656952341613, id: 4621, score: 33
gen alive: 11, params: min opp score: 162.08532306495255, danger divisor: 3.796516732917544, corner divisor: 1.068310695988945, corner exponent: 2.37835809088062, id: 4212, score: 33
gen alive: 10, params: corner divisor: 3.8092262486247543, corner exponent: 2.2606340015475865, danger divisor: 2.624583429034368, min opp score: 261.63230708554204, id: 4498, score: 33
gen alive: 7, params: min opp score: 185.2354430386653, corner divisor: 1.5310219545644048, corner exponent: 2.3408568067973343, danger divisor: 4.6600349144802005, id: 4254, score: 33
gen alive: 7, params: min opp score: 335.6190432629545, corner divisor: 1.5310219545644048, corner exponent: 2.3408568067973343, danger divisor: 1.5537486913611744, id: 4620, score: 33
gen alive: 4, params: corner divisor: 8.614627729817538, corner exponent: 2.5140031266091194, danger divisor: 9.594020057734317, min opp score: 237.88584191535557, id: 4496, score: 33
gen alive: 2, params: min opp score: 234.2454318992783, danger divisor: 6.360703707163745, corner divisor: 5.12066085625662, corner exponent: 1.784693499484792, id: 4516, score: 33
gen alive: 11, params: min opp score: 215.6534055459672, corner divisor: 5.12066085625662, corner exponent: 1.9881182514942035, danger divisor: 5.1203181262998445, id: 4639, score: 31
gen alive: 6, params: min opp score: 512.8786803071204, corner divisor: 1.3142491369445581, corner exponent: 1.9792074778561448, danger divisor: 1.2373134973252098, id: 4613, score: 31
gen alive: 20, params: min opp score: 158.0576242190403, danger divisor: 6.360703707163745, corner divisor: 2.929206847728001, corner exponent: 1.4375481092223572, id: 4097, score: 30
