gen alive: 22, params: (19.635336631583883, 1.1239482682808002, 2.5251400462995677, 1.6776001860722989), id: 470, score: 48
gen alive: 18, params: (17.747817357957473, 1.1239482682808002, 2.5251400462995677, 1.7412419496998313), id: 478, score: 48
gen alive: 19, params: (19.635336631583883, 1.1239482682808002, 2.3171994948914465, 2.767824731818598), id: 434, score: 46
gen alive: 16, params: (19.911294526734856, 1.1239482682808002, 2.5520509468217627, 1.6776001860722989), id: 500, score: 46
gen alive: 1, params: (16.369848738731292, 1.3660898798194876, 2.119914367888637, 3.729468884602076), id: 498, score: 43
gen alive: 20, params: (19.635336631583883, 1.1239482682808002, 2.561097532989532, 1.7412419496998313), id: 492, score: 42
gen alive: 14, params: (19.635336631583883, 1.028176323955317, 2.091662372219571, 1.6776001860722989), id: 514, score: 42
gen alive: 9, params: (18.962329191588807, 1.026437364479888, 2.3462902864817656, 2.767824731818598), id: 308, score: 42
gen alive: 26, params: (19.635336631583883, 1.1239482682808002, 2.5251400462995677, 1.6776001860722989), id: 464, score: 40
gen alive: 25, params: (17.747817357957473, 1.1239482682808002, 2.5251400462995677, 1.6776001860722989), id: 467, score: 40
gen alive: 23, params: (19.635336631583883, 1.1239482682808002, 2.3171994948914465, 1.6776001860722989), id: 497, score: 39
gen alive: 20, params: (19.635336631583883, 1.1239482682808002, 2.744287943899827, 2.767824731818598), id: 472, score: 39
gen alive: 20, params: (19.635336631583883, 1.1239482682808002, 2.5520509468217627, 1.6776001860722989), id: 506, score: 39
gen alive: 27, params: (19.635336631583883, 1.028176323955317, 2.5251400462995677, 1.6776001860722989), id: 418, score: 36
gen alive: 22, params: (19.635336631583883, 1.1239482682808002, 2.3171994948914465, 2.767824731818598), id: 503, score: 36
gen alive: 16, params: (15.796050327558328, 1.1239482682808002, 2.5251400462995677, 1.6776001860722989), id: 502, score: 36
gen alive: 3, params: (16.46330301951243, 2.436967622624212, 2.610946724914537, 2.9965171068053413), id: 516, score: 36
gen alive: 25, params: (19.635336631583883, 1.1239482682808002, 2.5251400462995677, 1.7412419496998313), id: 481, score: 33
gen alive: 19, params: (15.796050327558328, 1.1239482682808002, 2.5251400462995677, 1.6776001860722989), id: 517, score: 33
gen alive: 1, params: (15.73802577789391, 2.66723049322682, 2.135740257752429, 2.981656453755507), id: 499, score: 33
gen alive: 29, params: (19.635336631583883, 1.1239482682808002, 2.5251400462995677, 1.6776001860722989), id: 351, score: 31
gen alive: 19, params: (19.635336631583883, 1.1239482682808002, 2.744287943899827, 2.767824731818598), id: 505, score: 31
gen alive: 17, params: (17.729865125773195, 1.1239482682808002, 2.744287943899827, 2.767824731818598), id: 473, score: 31
gen alive: 2, params: (19.73138127240594, 2.436967622624212, 2.610946724914537, 4.391975421467202), id: 450, score: 31
gen alive: 2, params: (19.35878714607783, 3.9039399391919036, 2.7361785497324256, 2.0452835401644407), id: 483, score: 30
gen alive: 1, params: (13.530103979674998, 1.6216671627258274, 1.9163334988390215, 3.972676364535721), id: 465, score: 30
gen alive: 19, params: (17.747817357957473, 1.1239482682808002, 2.561097532989532, 1.7412419496998313), id: 501, score: 27
gen alive: 2, params: (17.681723031500322, 1.7852240431307322, 2.091662372219571, 12.711564921156722), id: 376, score: 27
gen alive: 1, params: (1.8812198281831485, 1.0583041442835355, 2.3549842099255756, 17.760366414726192), id: 480, score: 27
gen alive: 1, params: (1.1668410984675504, 2.686478879268254, 2.9012965391928516, 4.4160418572033375), id: 475, score: 27
gen alive: 1, params: (19.1467539645494, 4.67759316950621, 2.528377000659461, 3.0306389392490924), id: 493, score: 27
gen alive: 21, params: (17.729865125773195, 1.1239482682808002, 2.3171994948914465, 1.6776001860722989), id: 508, score: 26
gen alive: 10, params: (19.73138127240594, 2.436967622624212, 2.561097532989532, 1.7412419496998313), id: 511, score: 26
