gen alive: 36, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.7412419496998313), id: 787, score: 27
gen alive: 1, params: (1.1783927081952648, 1.1979843170272546, 2.1970774330460596, 1.1081068271744767), id: 782, score: 27
gen alive: 35, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.7412419496998313), id: 778, score: 24
gen alive: 34, params: (19.635336631583883, 1.1239482682808002, 2.4419696760105993, 1.6776001860722989), id: 794, score: 24
gen alive: 35, params: (19.635336631583883, 1.1239482682808002, 2.8804613825672094, 1.6776001860722989), id: 809, score: 18
gen alive: 1, params: (19.348875309568065, 4.468520746841379, 2.718130159811174, 18.545067462066342), id: 765, score: 18
gen alive: 1, params: (1.9930406292104834, 17.023792940270795, 2.3465855772402944, 19.80079940752422), id: 786, score: 18
gen alive: 1, params: (18.397553045746076, 18.053676557106566, 2.287436727126977, 18.360601775514674), id: 799, score: 13
gen alive: 3, params: (17.440557566179955, 2.8926450481603383, 2.7155533603402495, 19.519406421291386), id: 755, score: 12
gen alive: 1, params: (18.100771242391374, 17.288929686956823, 2.672606219845212, 19.12269249411881), id: 773, score: 12
gen alive: 1, params: (18.936954458663873, 19.322820709008614, 2.891992986764352, 6.238288218101597), id: 713, score: 12
gen alive: 2, params: (12.852690755697703, 1.4385806620405326, 2.3910768775219946, 16.34050895309469), id: 730, score: 10
gen alive: 1, params: (4.80217380456991, 16.302649513523942, 2.423432636987753, 6.867896406999321), id: 742, score: 3
gen alive: 1, params: (5.078949306196991, 18.823653182422213, 1.9819351744286005, 3.5427513726602387), id: 492, score: 0
