gen alive: 7, params: corner divisor: 3.078182325896413, corner exponent: 1.484619831545927, danger divisor: 4.504404780661965, min opp score: 189.06154507642202, id: 29901, score: 48
gen alive: 20, params: corner divisor: 1.9130252648200337, corner exponent: 2.887936018192521, danger divisor: 2.305755204698305, min opp score: 201.6735042815908, id: 30485, score: 47
gen alive: 28, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.305755204698305, min opp score: 161.39171022896363, id: 24946, score: 46
gen alive: 21, params: corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, min opp score: 131.46084577506105, danger divisor: 1.286596863030676, id: 29463, score: 46
gen alive: 17, params: corner divisor: 1.924872582001383, corner exponent: 2.4888656492239223, min opp score: 201.6735042815908, danger divisor: 14.96839285386515, id: 29508, score: 46
gen alive: 10, params: corner divisor: 5.072178240936983, corner exponent: 2.5580553710702327, min opp score: 139.1762947009676, danger divisor: 2.7610173220029974, id: 28775, score: 46
gen alive: 25, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 161.39171022896363, danger divisor: 2.55846266216978, id: 27945, score: 45
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 201.6735042815908, danger divisor: 2.7610173220029974, id: 25916, score: 45
gen alive: 20, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 303.1434976617453, danger divisor: 1.867775139352426, id: 30028, score: 45
gen alive: 20, params: corner divisor: 1.8908946854051345, corner exponent: 2.6666326185896345, danger divisor: 2.272649183166843, min opp score: 170.58405237342106, id: 24187, score: 45
gen alive: 19, params: danger divisor: 2.914264166191812, min opp score: 381.41114653327935, corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, id: 27974, score: 45
gen alive: 19, params: corner divisor: 1.8908946854051345, corner exponent: 2.2759086394161656, danger divisor: 2.7610173220029974, min opp score: 284.6640336040204, id: 28387, score: 45
gen alive: 18, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 201.6735042815908, danger divisor: 7.895517251511161, id: 30613, score: 45
gen alive: 17, params: corner divisor: 1.9130252648200337, corner exponent: 2.887936018192521, danger divisor: 2.305755204698305, min opp score: 833.4542248785829, id: 28389, score: 45
gen alive: 17, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 316.239352851628, id: 30520, score: 45
gen alive: 16, params: corner divisor: 3.065113543977146, corner exponent: 2.370181036339367, min opp score: 104.61670016608777, danger divisor: 2.7610173220029974, id: 30592, score: 45
gen alive: 15, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 140.64327332353807, danger divisor: 2.55846266216978, id: 27903, score: 45
gen alive: 15, params: corner divisor: 1.924872582001383, corner exponent: 2.65964097961648, min opp score: 210.97974675215204, danger divisor: 1.286596863030676, id: 30003, score: 45
gen alive: 15, params: min opp score: 161.39171022896363, danger divisor: 2.4247321629597076, corner divisor: 2.862241644415418, corner exponent: 1.5891631646175073, id: 30510, score: 45
gen alive: 14, params: corner divisor: 1.4141726915481594, corner exponent: 2.538812764620567, danger divisor: 1.721555916548688, min opp score: 275.18253682233967, id: 29837, score: 45
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.4888656492239223, danger divisor: 1.286596863030676, min opp score: 316.239352851628, id: 27925, score: 45
gen alive: 13, params: min opp score: 422.7236679380361, danger divisor: 1.286596863030676, corner divisor: 2.862241644415418, corner exponent: 1.7007481374325488, id: 29488, score: 45
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.8664371522540826, min opp score: 753.1251817977602, danger divisor: 3.278240095371657, id: 28755, score: 45
gen alive: 13, params: corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, min opp score: 140.64327332353807, danger divisor: 12.942669569307466, id: 30489, score: 45
gen alive: 11, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 1.7276246310343661, min opp score: 986.2832627300544, id: 27823, score: 45
gen alive: 9, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 144.36856232262755, danger divisor: 10.066529224210518, id: 30431, score: 45
gen alive: 7, params: corner divisor: 1.8908946854051345, corner exponent: 2.6666326185896345, danger divisor: 5.055701253778883, min opp score: 147.48583327747826, id: 29221, score: 45
gen alive: 6, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 1.7276246310343661, min opp score: 373.7301933447207, id: 29943, score: 45
gen alive: 2, params: corner divisor: 3.57047875001158, corner exponent: 1.153240210094721, min opp score: 122.4941592700856, danger divisor: 19.33040325769892, id: 30335, score: 45
gen alive: 1, params: corner divisor: 12.32704840460999, corner exponent: 2.2759086394161656, min opp score: 712.2494398727792, danger divisor: 1.721555916548688, id: 29911, score: 45
gen alive: 23, params: danger divisor: 2.305755204698305, min opp score: 203.01289104883523, corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, id: 29971, score: 43
gen alive: 19, params: corner divisor: 1.8908946854051345, corner exponent: 2.297302771772983, min opp score: 303.1434976617453, danger divisor: 1.286596863030676, id: 30530, score: 43
gen alive: 17, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 598.4162455350288, danger divisor: 1.867775139352426, id: 28520, score: 43
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 987.9338194798365, danger divisor: 2.305755204698305, id: 29435, score: 43
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.4888656492239223, min opp score: 140.64327332353807, danger divisor: 14.73863548409936, id: 30558, score: 43
gen alive: 11, params: corner divisor: 2.0301067311757217, corner exponent: 2.7305056666446275, danger divisor: 7.918517597942124, min opp score: 181.24629162465823, id: 29289, score: 43
gen alive: 32, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.5333675855034437, min opp score: 170.58405237342106, id: 29598, score: 42
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 1.867775139352426, min opp score: 186.51853826082674, id: 27057, score: 42
gen alive: 22, params: corner divisor: 1.8908946854051345, corner exponent: 2.297302771772983, min opp score: 139.1762947009676, danger divisor: 1.5390558275077049, id: 29470, score: 42
gen alive: 18, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 144.36856232262755, danger divisor: 2.914264166191812, id: 27521, score: 42
gen alive: 18, params: min opp score: 532.6089108879305, corner divisor: 1.0306314959987315, corner exponent: 2.8371899607449214, danger divisor: 3.8928310447221497, id: 24157, score: 42
gen alive: 17, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 1.286596863030676, min opp score: 316.239352851628, id: 29535, score: 42
gen alive: 17, params: min opp score: 164.37054741828962, danger divisor: 1.867775139352426, corner divisor: 2.190810671313228, corner exponent: 2.4951963228436944, id: 30501, score: 42
gen alive: 16, params: corner divisor: 1.4141726915481594, corner exponent: 2.3348231010915717, min opp score: 986.2832627300544, danger divisor: 2.305755204698305, id: 28964, score: 42
gen alive: 16, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 170.58405237342106, id: 30516, score: 42
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, danger divisor: 9.35674072637808, min opp score: 118.82535495969316, id: 29522, score: 42
gen alive: 14, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 254.1837052406142, danger divisor: 2.55846266216978, id: 28695, score: 42
gen alive: 14, params: corner divisor: 1.4141726915481594, corner exponent: 2.8518345300175136, min opp score: 161.39171022896363, danger divisor: 8.641229629305972, id: 29269, score: 42
gen alive: 14, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.305755204698305, min opp score: 688.6094507310759, id: 30309, score: 42
gen alive: 14, params: corner divisor: 1.8908946854051345, corner exponent: 2.297302771772983, min opp score: 161.1164100915778, danger divisor: 1.286596863030676, id: 30561, score: 42
gen alive: 14, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, danger divisor: 4.499884455129706, min opp score: 140.64327332353807, id: 30621, score: 42
gen alive: 13, params: corner divisor: 2.862241644415418, corner exponent: 2.4199075958525986, danger divisor: 2.7610173220029974, min opp score: 249.3133425945214, id: 30064, score: 42
gen alive: 13, params: corner divisor: 1.5674031545418696, corner exponent: 2.2759086394161656, min opp score: 234.33919364169415, danger divisor: 1.721555916548688, id: 28943, score: 42
gen alive: 13, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, danger divisor: 2.305755204698305, min opp score: 338.055245433894, id: 30219, score: 42
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 139.1762947009676, danger divisor: 1.0824483397993152, id: 30500, score: 42
gen alive: 13, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 139.1762947009676, danger divisor: 3.278240095371657, id: 30531, score: 42
gen alive: 13, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 132.8136760948767, danger divisor: 2.305755204698305, id: 30552, score: 42
gen alive: 13, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, min opp score: 195.01361189096625, danger divisor: 1.286596863030676, id: 30567, score: 42
gen alive: 12, params: corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, min opp score: 295.3084001432975, danger divisor: 12.942669569307466, id: 29743, score: 42
gen alive: 12, params: corner divisor: 1.924872582001383, corner exponent: 2.4888656492239223, min opp score: 201.6735042815908, danger divisor: 10.824270633956464, id: 30373, score: 42
gen alive: 11, params: corner divisor: 2.862241644415418, corner exponent: 2.297302771772983, min opp score: 139.1762947009676, danger divisor: 2.7610173220029974, id: 29992, score: 42
gen alive: 10, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 181.24629162465823, danger divisor: 17.896565654214676, id: 29775, score: 42
gen alive: 8, params: corner divisor: 3.065113543977146, corner exponent: 2.370181036339367, danger divisor: 3.39466621381355, min opp score: 104.61670016608777, id: 26505, score: 42
gen alive: 8, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 837.7522221495087, id: 30285, score: 42
gen alive: 8, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 11.153501002719615, min opp score: 497.38606613034364, id: 30381, score: 42
gen alive: 7, params: corner divisor: 9.094733707567105, corner exponent: 2.8518345300175136, min opp score: 161.39171022896363, danger divisor: 8.641229629305972, id: 30367, score: 42
gen alive: 7, params: corner divisor: 1.5674031545418696, corner exponent: 2.2759086394161656, min opp score: 532.6089108879305, danger divisor: 2.4247321629597076, id: 30563, score: 42
gen alive: 5, params: corner divisor: 1.5674031545418696, corner exponent: 2.9821137318753097, min opp score: 209.6381328125266, danger divisor: 1.721555916548688, id: 30433, score: 42
gen alive: 3, params: corner divisor: 4.766853585522215, corner exponent: 2.592441284884862, min opp score: 122.4941592700856, danger divisor: 19.33040325769892, id: 29443, score: 42
gen alive: 3, params: corner divisor: 6.889697425429039, corner exponent: 2.8518345300175136, danger divisor: 2.58150461926746, min opp score: 226.91561964223854, id: 30419, score: 42
gen alive: 1, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.0235372836161165, min opp score: 771.0367276121476, id: 29685, score: 42
gen alive: 1, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 211.92104959336584, danger divisor: 8.320946891712289, id: 30052, score: 42
gen alive: 24, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 228.97772037434942, danger divisor: 1.5333675855034437, id: 26472, score: 40
gen alive: 23, params: corner divisor: 1.924872582001383, corner exponent: 2.3348231010915717, danger divisor: 2.305755204698305, min opp score: 422.7236679380361, id: 30024, score: 40
gen alive: 8, params: corner divisor: 3.4113836340847588, corner exponent: 1.6121779399775082, danger divisor: 2.696831795404166, min opp score: 161.39171022896363, id: 30465, score: 40
gen alive: 7, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 687.6220159599648, danger divisor: 2.272649183166843, id: 30189, score: 40
gen alive: 6, params: corner divisor: 12.457755938435053, corner exponent: 2.370206725771255, danger divisor: 11.761940274209348, min opp score: 161.1164100915778, id: 30405, score: 40
gen alive: 5, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 1.286596863030676, min opp score: 924.8694377182653, id: 30193, score: 40
gen alive: 5, params: corner divisor: 7.383678733442831, corner exponent: 2.534346157210713, min opp score: 438.2557386646341, danger divisor: 17.986764574170227, id: 30337, score: 40
gen alive: 33, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, danger divisor: 2.305755204698305, min opp score: 170.58405237342106, id: 27445, score: 39
gen alive: 32, params: danger divisor: 1.7502101156723189, min opp score: 188.76724814415502, corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, id: 22942, score: 39
gen alive: 26, params: corner divisor: 1.924872582001383, corner exponent: 2.440867028945015, danger divisor: 2.7610173220029974, min opp score: 139.1762947009676, id: 30585, score: 39
gen alive: 25, params: corner divisor: 1.8908946854051345, corner exponent: 2.65964097961648, min opp score: 210.97974675215204, danger divisor: 9.007108825635243, id: 27444, score: 39
gen alive: 23, params: corner divisor: 1.924872582001383, corner exponent: 2.8664371522540826, min opp score: 188.76724814415502, danger divisor: 14.73863548409936, id: 30562, score: 39
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 1.7502101156723189, min opp score: 797.3777425598896, id: 30581, score: 39
gen alive: 22, params: corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, min opp score: 131.46084577506105, danger divisor: 4.242858425581072, id: 27018, score: 39
gen alive: 21, params: corner divisor: 1.8908946854051345, corner exponent: 2.6666326185896345, danger divisor: 1.286596863030676, min opp score: 139.1762947009676, id: 29083, score: 39
gen alive: 18, params: corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, min opp score: 131.46084577506105, danger divisor: 1.286596863030676, id: 29098, score: 39
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 303.1434976617453, id: 26918, score: 39
gen alive: 16, params: corner divisor: 1.8908946854051345, corner exponent: 2.76942665031648, danger divisor: 2.305755204698305, min opp score: 170.58405237342106, id: 30265, score: 39
gen alive: 16, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 422.7236679380361, danger divisor: 2.7610173220029974, id: 30493, score: 39
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, min opp score: 185.33565225575438, danger divisor: 1.5390558275077049, id: 30512, score: 39
gen alive: 14, params: corner divisor: 1.924872582001383, corner exponent: 2.4888656492239223, min opp score: 210.97974675215204, danger divisor: 14.73863548409936, id: 29851, score: 39
