gen alive: 4, params: danger divisor: 10.175936635899173, corner divisor: 2.141928880395114, corner exponent: 2.684677668342771, min opp score: 188.76724814415502, id: 6887, score: 57
gen alive: 2, params: corner divisor: 1.8908946854051345, corner exponent: 2.9770651890895348, min opp score: 110.26949729794006, danger divisor: 2.9353999173281675, id: 5547, score: 57
gen alive: 9, params: corner divisor: 1.4141726915481594, corner exponent: 1.4469847114225045, min opp score: 401.476165810424, danger divisor: 1.3421995770966353, id: 6037, score: 54
gen alive: 7, params: corner divisor: 1.1645357852296998, corner exponent: 1.5630166598776734, danger divisor: 2.305755204698305, min opp score: 699.299046428265, id: 5801, score: 54
gen alive: 6, params: corner divisor: 1.4141726915481594, corner exponent: 2.65964097961648, min opp score: 551.2336480949734, danger divisor: 2.8710771052242645, id: 6977, score: 54
gen alive: 10, params: corner divisor: 3.605261203207647, corner exponent: 2.0575566003384176, danger divisor: 2.9353999173281675, min opp score: 290.9065259061384, id: 5024, score: 52
gen alive: 6, params: danger divisor: 1.4876654696251377, min opp score: 387.305814462688, corner divisor: 1.4141726915481594, corner exponent: 2.65964097961648, id: 6561, score: 52
gen alive: 5, params: corner divisor: 3.6361477014602683, corner exponent: 2.65964097961648, min opp score: 526.4105422581486, danger divisor: 2.9353999173281675, id: 6899, score: 52
gen alive: 11, params: corner divisor: 1.4141726915481594, corner exponent: 2.65964097961648, danger divisor: 1.4523697158042013, min opp score: 702.8322495898888, id: 7057, score: 51
gen alive: 11, params: corner divisor: 1.924872582001383, corner exponent: 2.65964097961648, min opp score: 118.82535495969316, danger divisor: 8.627496632555115, id: 7595, score: 51
gen alive: 10, params: corner divisor: 1.8328395768565837, corner exponent: 2.971271345743081, danger divisor: 2.305755204698305, min opp score: 133.37945211075558, id: 5585, score: 51
gen alive: 8, params: danger divisor: 8.884130687280017, min opp score: 187.71864196377658, corner divisor: 1.4141726915481594, corner exponent: 1.6176327818639855, id: 5201, score: 51
gen alive: 6, params: corner divisor: 1.5188053321482715, corner exponent: 1.6358780673092435, danger divisor: 2.305755204698305, min opp score: 694.5630052321817, id: 7133, score: 51
gen alive: 5, params: corner divisor: 5.092746653007081, corner exponent: 2.0685664861968025, min opp score: 112.90179534452892, danger divisor: 3.4672627220017898, id: 6875, score: 51
gen alive: 5, params: danger divisor: 2.82112216911433, min opp score: 181.52438470557382, corner divisor: 6.050513766915902, corner exponent: 2.3650494012961287, id: 5235, score: 51
gen alive: 4, params: corner divisor: 3.332228280783085, corner exponent: 2.2594906114191615, danger divisor: 2.305755204698305, min opp score: 743.7707965138276, id: 6937, score: 51
gen alive: 3, params: corner divisor: 2.1651980380022193, corner exponent: 1.6806256863628544, min opp score: 140.27693994682193, danger divisor: 2.7610173220029974, id: 6000, score: 51
gen alive: 11, params: corner divisor: 2.0501073428957484, corner exponent: 2.1449003400399147, danger divisor: 4.979407490715863, min opp score: 418.0804559294519, id: 6044, score: 49
gen alive: 10, params: corner divisor: 5.940756489142167, corner exponent: 2.926535870789451, min opp score: 188.76724814415502, danger divisor: 4.8698033577526845, id: 6628, score: 49
gen alive: 8, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, min opp score: 427.0859225730423, danger divisor: 3.094864775564959, id: 7565, score: 49
gen alive: 6, params: corner divisor: 3.6361477014602683, corner exponent: 2.65964097961648, min opp score: 599.1919441389359, danger divisor: 2.9353999173281675, id: 5967, score: 49
gen alive: 4, params: danger divisor: 4.511643499010048, min opp score: 327.7347068039122, corner divisor: 5.561214645208453, corner exponent: 1.9881882916975182, id: 6497, score: 49
gen alive: 3, params: corner divisor: 1.924872582001383, corner exponent: 2.65964097961648, min opp score: 946.7844809660054, danger divisor: 1.9126165247825182, id: 6107, score: 49
gen alive: 15, params: corner divisor: 5.940756489142167, corner exponent: 2.0575566003384176, min opp score: 115.36442148251422, danger divisor: 2.9353999173281675, id: 1513, score: 48
gen alive: 12, params: corner divisor: 1.7666874415487401, corner exponent: 2.971271345743081, min opp score: 900.100371644618, danger divisor: 2.1473306808466477, id: 6012, score: 48
gen alive: 12, params: min opp score: 181.52438470557382, danger divisor: 2.8710771052242645, corner divisor: 5.754587682024459, corner exponent: 2.971271345743081, id: 6540, score: 48
gen alive: 12, params: corner divisor: 1.8328395768565837, corner exponent: 2.971271345743081, danger divisor: 2.305755204698305, min opp score: 242.46841935483764, id: 3965, score: 48
gen alive: 12, params: danger divisor: 1.4876654696251377, min opp score: 330.9570482246286, corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, id: 3531, score: 48
gen alive: 9, params: corner divisor: 1.4141726915481594, corner exponent: 1.4469847114225045, min opp score: 173.56776141704546, danger divisor: 1.4523697158042013, id: 7077, score: 48
gen alive: 9, params: danger divisor: 4.979407490715863, min opp score: 188.76724814415502, corner divisor: 3.1266772986076927, corner exponent: 1.759134138539779, id: 5275, score: 48
gen alive: 9, params: corner divisor: 3.6361477014602683, corner exponent: 2.65964097961648, min opp score: 276.2734653774482, danger divisor: 2.9353999173281675, id: 5128, score: 48
gen alive: 9, params: corner divisor: 1.4141726915481594, corner exponent: 2.0070061528246352, danger divisor: 2.305755204698305, min opp score: 721.4973556079059, id: 6018, score: 48
gen alive: 8, params: corner divisor: 1.4141726915481594, corner exponent: 1.4469847114225045, min opp score: 204.28046639047025, danger divisor: 1.4812188442407366, id: 7033, score: 48
gen alive: 5, params: corner divisor: 1.8328395768565837, corner exponent: 1.7520585311117283, danger divisor: 4.640518724530195, min opp score: 133.37945211075558, id: 6279, score: 48
gen alive: 4, params: corner divisor: 5.696392759131076, corner exponent: 2.971271345743081, danger divisor: 11.021927800735396, min opp score: 242.46841935483764, id: 7395, score: 48
gen alive: 14, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, min opp score: 861.5414731909581, danger divisor: 1.3421995770966353, chip divisor: 16.802203648470712, id: 1953, score: 46
gen alive: 10, params: danger divisor: 2.6257075190872188, min opp score: 421.2299088797521, corner divisor: 3.605261203207647, corner exponent: 2.971271345743081, id: 7160, score: 46
gen alive: 7, params: danger divisor: 6.600414960993502, min opp score: 115.36442148251422, corner divisor: 3.605261203207647, corner exponent: 1.7438382053118622, id: 7443, score: 46
gen alive: 6, params: corner divisor: 3.6361477014602683, corner exponent: 2.36692691537658, min opp score: 330.9570482246286, danger divisor: 2.9353999173281675, id: 6831, score: 46
gen alive: 14, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, min opp score: 228.97772037434942, danger divisor: 2.9353999173281675, id: 2483, score: 45
gen alive: 14, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, min opp score: 861.5414731909581, danger divisor: 1.3421995770966353, chip divisor: 16.802203648470712, id: 3979, score: 45
gen alive: 13, params: corner divisor: 5.940756489142167, corner exponent: 2.971271345743081, min opp score: 188.76724814415502, danger divisor: 2.9353999173281675, id: 4013, score: 45
gen alive: 12, params: corner divisor: 1.924872582001383, corner exponent: 2.0575566003384176, min opp score: 115.36442148251422, danger divisor: 2.9353999173281675, id: 6136, score: 45
gen alive: 11, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, min opp score: 170.58405237342106, danger divisor: 1.0824483397993152, id: 6578, score: 45
gen alive: 11, params: corner divisor: 5.940756489142167, corner exponent: 2.971271345743081, min opp score: 276.2734653774482, danger divisor: 1.843711847445561, id: 7095, score: 45
gen alive: 10, params: corner divisor: 2.6477332285331223, corner exponent: 2.0685664861968025, min opp score: 608.4219604430378, danger divisor: 3.4672627220017898, id: 3895, score: 45
gen alive: 9, params: corner divisor: 1.8908946854051345, corner exponent: 1.555169023504641, min opp score: 115.36442148251422, danger divisor: 5.184092569385042, id: 7079, score: 45
gen alive: 9, params: corner divisor: 3.605261203207647, corner exponent: 2.0575566003384176, danger divisor: 2.305755204698305, min opp score: 273.78127407531684, id: 5548, score: 45
gen alive: 8, params: corner divisor: 3.605261203207647, corner exponent: 2.0575566003384176, danger divisor: 1.4523697158042013, min opp score: 423.83247221602505, id: 6651, score: 45
gen alive: 8, params: corner divisor: 1.8908946854051345, corner exponent: 1.555169023504641, min opp score: 861.5414731909581, danger divisor: 1.3421995770966353, chip divisor: 16.802203648470712, id: 7564, score: 45
gen alive: 7, params: corner divisor: 5.696392759131076, corner exponent: 2.971271345743081, danger divisor: 6.709238626578021, min opp score: 242.46841935483764, id: 7081, score: 45
gen alive: 6, params: danger divisor: 19.12090666484156, min opp score: 109.94784050610691, corner divisor: 1.4141726915481594, corner exponent: 1.6176327818639855, id: 6516, score: 45
gen alive: 6, params: corner divisor: 1.1645357852296998, corner exponent: 1.5630166598776734, danger divisor: 4.295207225377153, min opp score: 499.77724644018997, id: 6883, score: 45
gen alive: 6, params: corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, min opp score: 163.7480399503214, danger divisor: 8.826049996857382, id: 6219, score: 45
gen alive: 5, params: corner divisor: 1.8908946854051345, corner exponent: 1.9881882916975182, min opp score: 190.5827277907039, danger divisor: 4.511643499010048, id: 7599, score: 45
gen alive: 4, params: corner divisor: 3.605261203207647, corner exponent: 1.7438382053118622, danger divisor: 7.1694974612809315, min opp score: 147.96287880823664, id: 7463, score: 45
gen alive: 4, params: corner divisor: 1.4141726915481594, corner exponent: 1.396645110211363, danger divisor: 2.305755204698305, min opp score: 273.78127407531684, id: 7547, score: 45
gen alive: 3, params: corner divisor: 3.6361477014602683, corner exponent: 2.65964097961648, min opp score: 526.4105422581486, danger divisor: 2.305755204698305, id: 7563, score: 45
gen alive: 1, params: corner divisor: 3.3882884070588193, corner exponent: 2.2736765941280996, min opp score: 854.9063218953144, danger divisor: 3.5443368638859036, id: 7159, score: 45
gen alive: 1, params: min opp score: 839.3121745939354, corner divisor: 3.2574392916038675, corner exponent: 2.8664371522540826, danger divisor: 1.91786310345601, id: 5891, score: 45
gen alive: 12, params: min opp score: 279.83659789538046, danger divisor: 6.800833261636721, corner divisor: 6.26247110607991, corner exponent: 2.9450387219091265, id: 5040, score: 43
gen alive: 11, params: corner divisor: 1.8908946854051345, corner exponent: 1.7508021763341102, min opp score: 133.99889490265758, danger divisor: 2.9353999173281675, id: 3257, score: 43
gen alive: 9, params: corner divisor: 2.178877825136006, corner exponent: 1.5380781591390562, min opp score: 296.1915968869754, danger divisor: 1.3421995770966353, id: 6513, score: 43
gen alive: 7, params: danger divisor: 1.79737428791017, min opp score: 188.76724814415502, corner divisor: 7.735420595157933, corner exponent: 2.0575566003384176, id: 7521, score: 43
gen alive: 6, params: corner divisor: 3.6361477014602683, corner exponent: 2.65964097961648, min opp score: 412.1852162532537, danger divisor: 5.250634017180757, id: 6283, score: 43
gen alive: 6, params: corner divisor: 3.605261203207647, corner exponent: 2.023037693727115, danger divisor: 2.305755204698305, min opp score: 273.78127407531684, id: 6425, score: 43
gen alive: 3, params: corner divisor: 1.8328395768565837, corner exponent: 2.971271345743081, danger divisor: 2.305755204698305, min opp score: 626.3553072099305, id: 7281, score: 43
gen alive: 2, params: corner divisor: 3.605261203207647, corner exponent: 2.0575566003384176, danger divisor: 3.792554888167458, min opp score: 277.9943490691438, id: 7307, score: 43
gen alive: 13, params: danger divisor: 1.3421995770966353, min opp score: 861.5414731909581, chip divisor: 16.802203648470712, corner divisor: 3.06684760192962, corner exponent: 2.7410029995960197, id: 4517, score: 42
gen alive: 12, params: corner divisor: 3.3765977466104724, corner exponent: 1.5630166598776734, danger divisor: 5.800479778703943, min opp score: 279.83659789538046, id: 4032, score: 42
gen alive: 12, params: corner divisor: 5.696392759131076, corner exponent: 2.926535870789451, min opp score: 228.97772037434942, danger divisor: 2.9353999173281675, id: 7534, score: 42
gen alive: 11, params: corner divisor: 1.4141726915481594, corner exponent: 2.65964097961648, min opp score: 739.7779933029835, danger divisor: 2.8710771052242645, id: 3970, score: 42
gen alive: 11, params: danger divisor: 6.800833261636721, min opp score: 188.76724814415502, corner divisor: 1.4141726915481594, corner exponent: 1.7508021763341102, id: 7140, score: 42
gen alive: 11, params: danger divisor: 2.9353999173281675, min opp score: 170.58405237342106, corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, id: 6523, score: 42
gen alive: 10, params: danger divisor: 2.1473306808466477, min opp score: 701.3418957267759, corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, id: 6032, score: 42
gen alive: 10, params: danger divisor: 2.9353999173281675, corner divisor: 3.605261203207647, corner exponent: 2.0575566003384176, min opp score: 423.83247221602505, id: 7596, score: 42
gen alive: 9, params: corner divisor: 3.3882884070588193, corner exponent: 2.4038845858218187, min opp score: 228.97772037434942, danger divisor: 10.08897433044362, id: 5070, score: 42
gen alive: 9, params: corner divisor: 1.4141726915481594, corner exponent: 1.4469847114225045, min opp score: 701.3418957267759, danger divisor: 1.4523697158042013, id: 5593, score: 42
gen alive: 9, params: corner divisor: 1.4141726915481594, corner exponent: 2.0575566003384176, min opp score: 721.4973556079059, danger divisor: 1.4812188442407366, id: 4709, score: 42
gen alive: 9, params: corner divisor: 1.8908946854051345, corner exponent: 2.219515939529323, danger divisor: 2.0496314792114636, min opp score: 908.8485521736673, id: 7552, score: 42
gen alive: 8, params: danger divisor: 9.80939657358376, min opp score: 242.46841935483764, corner divisor: 3.1266772986076927, corner exponent: 2.2736765941280996, id: 5297, score: 42
gen alive: 8, params: corner divisor: 1.8908946854051345, corner exponent: 2.219515939529323, min opp score: 356.7318474055312, danger divisor: 5.9526904045369715, id: 6053, score: 42
gen alive: 7, params: danger divisor: 1.6998414553909156, min opp score: 378.0428378100761, corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, id: 6849, score: 42
