gen alive: 8, params: corner divisor: 3.281653711056847, corner exponent: 2.8518345300175136, min opp score: 147.27842759328072, danger divisor: 6.563309938317922, id: 42776, score: 58
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 112.88912744156491, danger divisor: 2.1363654620757626, id: 42830, score: 57
gen alive: 13, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, danger divisor: 3.559543592842209, min opp score: 407.2107664778055, id: 42826, score: 57
gen alive: 13, params: corner divisor: 3.0233095856734087, corner exponent: 1.457200886899673, danger divisor: 4.99543212518088, min opp score: 139.1762947009676, id: 42251, score: 54
gen alive: 11, params: corner divisor: 2.862241644415418, corner exponent: 2.9811918777902457, danger divisor: 1.286596863030676, min opp score: 912.4291497322151, id: 42738, score: 54
gen alive: 4, params: corner divisor: 1.4141726915481594, corner exponent: 2.422847806418605, danger divisor: 2.1363654620757626, min opp score: 212.75495741371265, id: 41221, score: 54
gen alive: 21, params: corner divisor: 4.570091971540577, corner exponent: 2.6666326185896345, danger divisor: 8.497148044118942, min opp score: 129.45426664334602, id: 40733, score: 52
gen alive: 17, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 139.1762947009676, danger divisor: 6.563309938317922, id: 42823, score: 52
gen alive: 33, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 1.286596863030676, min opp score: 195.01361189096625, id: 36164, score: 51
gen alive: 28, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 1.0824483397993152, id: 42760, score: 51
gen alive: 27, params: corner divisor: 2.862241644415418, corner exponent: 1.9600207001808965, danger divisor: 2.914264166191812, min opp score: 195.01361189096625, id: 38697, score: 51
gen alive: 21, params: corner divisor: 5.317865990250918, corner exponent: 2.086966289687699, min opp score: 159.49531753453243, danger divisor: 2.305755204698305, id: 35921, score: 51
gen alive: 21, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.1412717744043266, min opp score: 144.36856232262755, id: 41663, score: 51
gen alive: 14, params: min opp score: 270.2358105906869, danger divisor: 2.914264166191812, corner divisor: 2.862241644415418, corner exponent: 2.7665089074245897, id: 42769, score: 51
gen alive: 13, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 2.305755204698305, min opp score: 144.36856232262755, id: 43274, score: 51
gen alive: 11, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 1.6965623029397623, min opp score: 683.9994745882955, id: 42681, score: 51
gen alive: 11, params: corner divisor: 2.862241644415418, corner exponent: 1.9600207001808965, danger divisor: 8.62187440054989, min opp score: 228.25175018115996, id: 42731, score: 51
gen alive: 11, params: min opp score: 195.01361189096625, danger divisor: 15.458182121161723, corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, id: 41609, score: 51
gen alive: 29, params: corner divisor: 2.862241644415418, corner exponent: 2.65964097961648, min opp score: 122.4941592700856, danger divisor: 2.914264166191812, id: 35093, score: 49
gen alive: 26, params: corner divisor: 1.8908946854051345, corner exponent: 2.8664371522540826, danger divisor: 1.286596863030676, min opp score: 139.1762947009676, id: 41761, score: 49
gen alive: 23, params: corner divisor: 1.924872582001383, corner exponent: 2.8518345300175136, min opp score: 140.64327332353807, danger divisor: 1.0824483397993152, id: 40190, score: 49
gen alive: 3, params: corner divisor: 2.862241644415418, corner exponent: 1.7788001254977168, danger divisor: 8.917529797402459, min opp score: 168.08586908378783, id: 41842, score: 49
gen alive: 36, params: corner divisor: 1.924872582001383, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 181.24629162465823, id: 32528, score: 48
gen alive: 33, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 148.5830980749371, danger divisor: 1.0824483397993152, id: 40181, score: 48
gen alive: 28, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 181.24629162465823, danger divisor: 9.154363815628427, id: 42781, score: 48
gen alive: 28, params: corner divisor: 1.4141726915481594, corner exponent: 2.4558780495786436, danger divisor: 2.272649183166843, min opp score: 655.9652603309145, id: 40195, score: 48
gen alive: 28, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 144.36856232262755, danger divisor: 2.305755204698305, id: 42726, score: 48
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 9.299998166885015, min opp score: 210.97974675215204, id: 38581, score: 48
gen alive: 23, params: danger divisor: 2.305755204698305, min opp score: 285.4215005718262, corner divisor: 2.438497591931453, corner exponent: 2.8518345300175136, id: 38244, score: 48
gen alive: 22, params: corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 228.25175018115996, id: 41196, score: 48
gen alive: 21, params: corner divisor: 1.4446526150119707, corner exponent: 2.5580553710702327, min opp score: 148.5830980749371, danger divisor: 1.0824483397993152, id: 42336, score: 48
gen alive: 21, params: danger divisor: 4.757401389740438, min opp score: 140.64327332353807, corner divisor: 1.5674031545418696, corner exponent: 2.8518345300175136, id: 38473, score: 48
gen alive: 17, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, danger divisor: 7.29633975522297, min opp score: 212.75495741371265, id: 41777, score: 48
gen alive: 16, params: danger divisor: 7.29633975522297, min opp score: 202.5749573151316, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 41071, score: 48
gen alive: 15, params: corner divisor: 2.862241644415418, corner exponent: 2.9391271810517945, min opp score: 139.1762947009676, danger divisor: 2.550749837089523, id: 41591, score: 48
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.5580553710702327, danger divisor: 2.1363654620757626, min opp score: 202.5749573151316, id: 43261, score: 48
gen alive: 11, params: min opp score: 195.01361189096625, danger divisor: 15.458182121161723, corner divisor: 1.5867073576676085, corner exponent: 2.2736765941280996, id: 42290, score: 48
gen alive: 7, params: corner divisor: 4.570091971540577, corner exponent: 2.85751961023404, min opp score: 181.7485407405625, danger divisor: 8.354218680011936, id: 42605, score: 48
gen alive: 6, params: corner divisor: 1.4141726915481594, corner exponent: 2.422847806418605, danger divisor: 2.1363654620757626, min opp score: 147.27842759328072, id: 42221, score: 48
gen alive: 6, params: min opp score: 270.2358105906869, danger divisor: 1.3608522065063957, corner divisor: 2.862241644415418, corner exponent: 2.032930607312575, id: 42733, score: 48
gen alive: 5, params: corner divisor: 2.154397719811632, corner exponent: 2.9613009179748353, danger divisor: 1.3608522065063957, min opp score: 290.43359062424986, id: 42497, score: 48
gen alive: 3, params: corner divisor: 1.9971085211338027, corner exponent: 1.6072913088197553, danger divisor: 5.153973872924103, min opp score: 240.45642560714433, id: 42705, score: 48
gen alive: 14, params: corner divisor: 1.8908946854051345, corner exponent: 2.8664371522540826, danger divisor: 1.286596863030676, min opp score: 513.035326797828, id: 42641, score: 46
gen alive: 11, params: corner divisor: 1.4446526150119707, corner exponent: 2.5580553710702327, min opp score: 586.7562071872565, danger divisor: 1.0824483397993152, id: 42471, score: 46
gen alive: 33, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, min opp score: 333.68306023634824, danger divisor: 1.286596863030676, id: 34698, score: 45
gen alive: 31, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 316.239352851628, danger divisor: 1.7808221836541742, id: 43246, score: 45
gen alive: 28, params: corner divisor: 4.570091971540577, corner exponent: 2.6666326185896345, danger divisor: 1.4941192249339745, min opp score: 129.45426664334602, id: 40213, score: 45
gen alive: 20, params: corner divisor: 1.924872582001383, corner exponent: 2.5580553710702327, danger divisor: 2.7610173220029974, min opp score: 273.07473081803323, id: 41829, score: 45
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.8518345300175136, min opp score: 336.55539216224423, danger divisor: 2.7610173220029974, id: 42833, score: 45
gen alive: 16, params: corner divisor: 1.5674031545418696, corner exponent: 2.4558780495786436, danger divisor: 8.060712943973925, min opp score: 148.5830980749371, id: 42085, score: 45
gen alive: 15, params: danger divisor: 4.757401389740438, min opp score: 396.9802891049965, corner divisor: 1.5674031545418696, corner exponent: 2.032930607312575, id: 42821, score: 45
gen alive: 14, params: corner divisor: 2.862241644415418, corner exponent: 2.440867028945015, min opp score: 112.88912744156491, danger divisor: 15.982424568864612, id: 43215, score: 45
gen alive: 7, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, danger divisor: 3.559543592842209, min opp score: 792.0360443535185, id: 43153, score: 45
gen alive: 4, params: corner divisor: 4.314737088956841, corner exponent: 2.722913675018148, danger divisor: 1.3608522065063957, min opp score: 422.62866005435524, id: 43223, score: 45
