gen alive: 19, params: corner divisor: 1.924872582001383, corner exponent: 2.538812764620567, min opp score: 186.51853826082674, danger divisor: 1.721555916548688, id: 21441, score: 54
gen alive: 15, params: danger divisor: 3.375085378510618, min opp score: 178.10988402447282, corner divisor: 3.149134481608694, corner exponent: 1.5910308737783185, id: 24360, score: 54
gen alive: 14, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 127.7811319544603, danger divisor: 6.3758249843278705, id: 24870, score: 54
gen alive: 8, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 8.530060803550171, min opp score: 282.89976305037976, id: 21101, score: 54
gen alive: 3, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, danger divisor: 1.286596863030676, min opp score: 977.1026726337576, id: 23903, score: 54
gen alive: 2, params: danger divisor: 6.04958190502524, min opp score: 954.907369956961, corner divisor: 2.6992011959275666, corner exponent: 2.9400121540143846, id: 24534, score: 54
gen alive: 17, params: corner divisor: 1.8908946854051345, corner exponent: 2.887936018192521, danger divisor: 2.272649183166843, min opp score: 170.58405237342106, id: 23403, score: 52
gen alive: 8, params: min opp score: 532.6089108879305, corner divisor: 1.0306314959987315, corner exponent: 2.8371899607449214, danger divisor: 3.8928310447221497, id: 24157, score: 52
gen alive: 28, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 583.3730276075883, danger divisor: 1.5333675855034437, id: 20809, score: 51
gen alive: 22, params: danger divisor: 1.7502101156723189, min opp score: 188.76724814415502, corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, id: 22942, score: 51
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.9635476445850855, min opp score: 611.9833642388385, danger divisor: 2.9353999173281675, id: 23366, score: 51
gen alive: 14, params: corner divisor: 1.924872582001383, corner exponent: 2.733500325472988, min opp score: 203.01289104883523, danger divisor: 1.229258509662097, id: 23945, score: 51
gen alive: 21, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.305755204698305, min opp score: 378.0428378100761, id: 23917, score: 49
gen alive: 19, params: corner divisor: 1.5674031545418696, corner exponent: 2.2736765941280996, min opp score: 945.3784671338885, danger divisor: 2.305755204698305, id: 24426, score: 49
gen alive: 19, params: corner divisor: 1.9130252648200337, corner exponent: 2.887936018192521, danger divisor: 2.305755204698305, min opp score: 620.6928025373121, id: 22833, score: 49
gen alive: 16, params: corner divisor: 1.8908946854051345, corner exponent: 1.56177334638523, danger divisor: 1.8230532977862182, min opp score: 163.7480399503214, id: 22859, score: 49
gen alive: 16, params: danger divisor: 1.5333675855034437, min opp score: 611.9833642388385, corner divisor: 1.4141726915481594, corner exponent: 2.440867028945015, id: 23946, score: 49
gen alive: 3, params: corner divisor: 1.8908946854051345, corner exponent: 2.9635476445850855, min opp score: 611.9833642388385, danger divisor: 5.692296239972355, id: 23965, score: 49
gen alive: 32, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 2.305755204698305, min opp score: 228.97772037434942, id: 15691, score: 48
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 2.2759086394161656, danger divisor: 2.7610173220029974, min opp score: 118.82535495969316, id: 23387, score: 48
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, danger divisor: 2.305755204698305, min opp score: 316.36886835003236, id: 20619, score: 48
gen alive: 23, params: corner divisor: 1.5674031545418696, corner exponent: 2.2759086394161656, min opp score: 203.01289104883523, danger divisor: 1.721555916548688, id: 24931, score: 48
gen alive: 23, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 583.3730276075883, danger divisor: 1.5333675855034437, id: 25389, score: 48
gen alive: 22, params: corner divisor: 1.924872582001383, corner exponent: 2.4888656492239223, danger divisor: 2.7610173220029974, min opp score: 201.6735042815908, id: 22439, score: 48
gen alive: 22, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, danger divisor: 1.721555916548688, min opp score: 203.01289104883523, id: 22452, score: 48
gen alive: 21, params: min opp score: 104.61670016608777, danger divisor: 1.7502101156723189, corner divisor: 1.4141726915481594, corner exponent: 2.65964097961648, id: 24477, score: 48
gen alive: 19, params: corner divisor: 1.924872582001383, corner exponent: 2.440867028945015, danger divisor: 2.305755204698305, min opp score: 195.01361189096625, id: 23892, score: 48
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.046044670772549, min opp score: 210.97974675215204, danger divisor: 2.55846266216978, id: 23461, score: 48
gen alive: 15, params: corner divisor: 1.924872582001383, corner exponent: 1.6586832080974816, min opp score: 161.39171022896363, danger divisor: 2.55846266216978, id: 23375, score: 48
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.297302771772983, min opp score: 127.7811319544603, danger divisor: 2.55846266216978, id: 22846, score: 48
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.297302771772983, min opp score: 601.2533484698786, danger divisor: 1.5333675855034437, id: 24901, score: 48
gen alive: 14, params: min opp score: 106.6161655922357, danger divisor: 1.8741957435641958, corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, id: 25353, score: 48
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.4888656492239223, danger divisor: 1.286596863030676, min opp score: 422.7236679380361, id: 24494, score: 48
