gen alive: 16, params: danger divisor: 8.036951310522213, min opp score: 144.36856232262755, corner divisor: 1.4141726915481594, corner exponent: 1.7788001254977168, id: 40473, score: 48
gen alive: 13, params: corner divisor: 4.806371254170825, corner exponent: 2.6609143509273148, min opp score: 219.7464763414365, danger divisor: 2.914264166191812, id: 40253, score: 48
gen alive: 12, params: corner divisor: 1.4446526150119707, corner exponent: 1.9600207001808965, danger divisor: 2.7610173220029974, min opp score: 733.4944804987057, id: 40199, score: 48
gen alive: 7, params: corner divisor: 2.020955430110657, corner exponent: 1.4327695652634294, min opp score: 139.1762947009676, danger divisor: 9.084943679380014, id: 39657, score: 48
gen alive: 6, params: corner divisor: 1.4446526150119707, corner exponent: 1.9600207001808965, danger divisor: 2.7610173220029974, min opp score: 216.5287543910003, id: 39535, score: 48
gen alive: 2, params: corner divisor: 3.4349626317523443, corner exponent: 2.6666326185896345, danger divisor: 2.914264166191812, min opp score: 180.08846005231828, id: 39748, score: 48
gen alive: 2, params: corner divisor: 3.0233095856734087, corner exponent: 1.457200886899673, min opp score: 132.00895266401312, danger divisor: 12.38140453174871, id: 40499, score: 48
gen alive: 1, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 175.77001980824366, danger divisor: 1.4941192249339745, id: 39236, score: 48
gen alive: 20, params: corner divisor: 1.8908946854051345, corner exponent: 2.4558780495786436, min opp score: 139.1762947009676, danger divisor: 3.2260691062100193, id: 39203, score: 46
gen alive: 16, params: corner divisor: 4.570091971540577, corner exponent: 2.6666326185896345, danger divisor: 8.497148044118942, min opp score: 129.45426664334602, id: 40733, score: 46
gen alive: 3, params: corner divisor: 1.4446526150119707, corner exponent: 1.9600207001808965, danger divisor: 2.7610173220029974, min opp score: 469.6381037487306, id: 40407, score: 46
gen alive: 33, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 144.36856232262755, id: 34075, score: 45
gen alive: 31, params: corner divisor: 1.924872582001383, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 181.24629162465823, id: 32528, score: 45
gen alive: 28, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 148.5830980749371, danger divisor: 1.0824483397993152, id: 40181, score: 45
gen alive: 28, params: corner divisor: 2.438497591931453, corner exponent: 2.998997981500411, danger divisor: 2.55846266216978, min opp score: 181.24629162465823, id: 37186, score: 45
gen alive: 24, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 209.6381328125266, danger divisor: 2.305755204698305, id: 38752, score: 45
gen alive: 24, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 140.64327332353807, danger divisor: 1.0824483397993152, id: 39687, score: 45
gen alive: 23, params: corner divisor: 1.924872582001383, corner exponent: 2.3348231010915717, danger divisor: 2.305755204698305, min opp score: 872.3638929852237, id: 38256, score: 45
gen alive: 20, params: danger divisor: 2.7610173220029974, min opp score: 548.7089468974793, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 35644, score: 45
gen alive: 18, params: danger divisor: 2.305755204698305, min opp score: 285.4215005718262, corner divisor: 2.438497591931453, corner exponent: 2.8518345300175136, id: 38244, score: 45
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.8518345300175136, min opp score: 140.64327332353807, danger divisor: 1.0824483397993152, id: 40190, score: 45
gen alive: 18, params: min opp score: 139.1762947009676, danger divisor: 2.550749837089523, corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, id: 40792, score: 45
gen alive: 17, params: corner divisor: 2.438497591931453, corner exponent: 2.5870274954414665, danger divisor: 1.0824483397993152, min opp score: 101.91333084099588, id: 40686, score: 45
gen alive: 16, params: danger divisor: 4.757401389740438, min opp score: 140.64327332353807, corner divisor: 1.5674031545418696, corner exponent: 2.8518345300175136, id: 38473, score: 45
gen alive: 15, params: corner divisor: 2.862241644415418, corner exponent: 2.3674174438922453, min opp score: 140.64327332353807, danger divisor: 7.597901098502863, id: 37233, score: 45
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 8.128240280392609, min opp score: 212.75495741371265, id: 40559, score: 45
gen alive: 14, params: corner divisor: 4.587119825636736, corner exponent: 2.8518345300175136, danger divisor: 7.379015044942179, min opp score: 144.36856232262755, id: 39143, score: 45
gen alive: 11, params: corner divisor: 3.0233095856734087, corner exponent: 2.8318409891791387, min opp score: 148.5830980749371, danger divisor: 9.154363815628427, id: 40801, score: 45
