gen alive: 22, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, danger divisor: 1.3608522065063957, min opp score: 159.49531753453243, id: 58650, score: 55
gen alive: 25, params: danger divisor: 3.113721459776067, min opp score: 121.28933370194736, corner divisor: 2.286479560309278, corner exponent: 2.2092253401801756, id: 53493, score: 54
gen alive: 24, params: corner divisor: 2.6577319412927625, corner exponent: 2.7305056666446275, danger divisor: 1.3608522065063957, min opp score: 359.66792885231195, id: 58123, score: 54
gen alive: 20, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 3.214631474519019, min opp score: 155.50380270918882, id: 51623, score: 54
gen alive: 14, params: corner divisor: 4.467908151252123, corner exponent: 2.8518345300175136, danger divisor: 1.867775139352426, min opp score: 139.1762947009676, id: 58073, score: 54
gen alive: 20, params: corner divisor: 1.5867073576676085, corner exponent: 2.6183337165614438, danger divisor: 2.1363654620757626, min opp score: 141.34469833936106, id: 57047, score: 52
gen alive: 12, params: corner divisor: 2.6577319412927625, corner exponent: 2.7305056666446275, danger divisor: 4.3610142919812676, min opp score: 359.66792885231195, id: 58473, score: 52
gen alive: 30, params: corner divisor: 2.286479560309278, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 2.305755204698305, id: 52456, score: 51
gen alive: 30, params: corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, min opp score: 363.8764382642173, danger divisor: 1.3608522065063957, id: 57548, score: 51
gen alive: 23, params: corner divisor: 3.3543983211808075, corner exponent: 2.592441284884862, min opp score: 152.42264594012372, danger divisor: 2.418516032870584, id: 56115, score: 51
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 1.7520585311117283, danger divisor: 1.0824483397993152, min opp score: 359.66792885231195, id: 57542, score: 51
gen alive: 18, params: corner divisor: 2.862241644415418, corner exponent: 2.5866959707676767, danger divisor: 1.3608522065063957, min opp score: 162.5985027201757, id: 55492, score: 51
gen alive: 17, params: corner divisor: 1.5867073576676085, corner exponent: 2.5573696960189816, min opp score: 144.36856232262755, danger divisor: 1.31974678349461, id: 57052, score: 51
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 1.9563898692376067, min opp score: 241.54486850040072, danger divisor: 1.0824483397993152, id: 55495, score: 51
gen alive: 16, params: corner divisor: 2.4621994026289817, corner exponent: 1.7575784823070608, min opp score: 172.16830970627808, danger divisor: 11.813023059314881, id: 57560, score: 51
gen alive: 16, params: corner divisor: 7.884525254954346, corner exponent: 2.8664371522540826, danger divisor: 4.90383218916067, min opp score: 113.04675385150676, id: 57221, score: 51
