gen alive: 9, params: corner divisor: 3.8523697987222603, corner exponent: 2.5636362941316277, min opp score: 553.8492933597231, danger divisor: 1.421095569401736, id: 14039, score: 58
gen alive: 17, params: corner divisor: 3.6361477014602683, corner exponent: 2.2736765941280996, min opp score: 128.32835903629973, danger divisor: 2.9353999173281675, id: 13666, score: 57
gen alive: 10, params: min opp score: 178.10988402447282, corner divisor: 1.089128370758384, corner exponent: 2.9155839153814016, danger divisor: 1.91786310345601, id: 14807, score: 57
gen alive: 12, params: corner divisor: 1.8908946854051345, corner exponent: 1.7508021763341102, danger divisor: 2.305755204698305, min opp score: 970.2133650020123, id: 14198, score: 54
gen alive: 7, params: corner divisor: 2.178877825136006, corner exponent: 2.2736765941280996, min opp score: 178.10988402447282, danger divisor: 3.089986759800318, id: 13117, score: 54
gen alive: 17, params: corner divisor: 1.924872582001383, corner exponent: 2.65964097961648, min opp score: 118.82535495969316, danger divisor: 5.250634017180757, id: 12656, score: 52
gen alive: 20, params: corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, min opp score: 378.0428378100761, danger divisor: 1.6998414553909156, id: 9619, score: 51
gen alive: 17, params: corner divisor: 1.8908946854051345, corner exponent: 2.073588259556087, min opp score: 188.76724814415502, danger divisor: 1.0824483397993152, id: 14202, score: 51
gen alive: 17, params: danger divisor: 3.2023999394635947, min opp score: 115.36442148251422, corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, id: 13701, score: 51
gen alive: 16, params: corner divisor: 1.4141726915481594, corner exponent: 2.65964097961648, min opp score: 466.4384706361096, danger divisor: 2.8710771052242645, id: 12467, score: 51
gen alive: 15, params: min opp score: 273.78127407531684, corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, danger divisor: 1.91786310345601, id: 12198, score: 51
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.36692691537658, min opp score: 188.76724814415502, danger divisor: 1.1886142119037688, id: 12704, score: 51
gen alive: 14, params: corner divisor: 1.924872582001383, corner exponent: 1.4469847114225045, min opp score: 279.83659789538046, danger divisor: 2.1153921461442295, id: 14739, score: 51
gen alive: 13, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 118.82535495969316, danger divisor: 5.250634017180757, id: 14755, score: 51
gen alive: 12, params: danger divisor: 1.91786310345601, min opp score: 500.2389513283857, corner divisor: 1.4141726915481594, corner exponent: 2.0967147039299308, id: 11132, score: 51
gen alive: 11, params: corner divisor: 1.924872582001383, corner exponent: 2.65964097961648, min opp score: 371.15735992556506, danger divisor: 2.7610173220029974, id: 14726, score: 51
