gen alive: 25, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 303.1434976617453, danger divisor: 1.867775139352426, id: 30028, score: 57
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.4888656492239223, min opp score: 140.64327332353807, danger divisor: 14.73863548409936, id: 30558, score: 57
gen alive: 15, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 269.78539155913063, id: 28407, score: 55
gen alive: 37, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.5333675855034437, min opp score: 170.58405237342106, id: 29598, score: 54
gen alive: 28, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 170.58405237342106, danger divisor: 2.272649183166843, id: 25407, score: 54
gen alive: 20, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 140.64327332353807, danger divisor: 2.55846266216978, id: 27903, score: 54
gen alive: 19, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.0824483397993152, min opp score: 139.1762947009676, id: 31097, score: 54
gen alive: 19, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 2.305755204698305, min opp score: 316.239352851628, id: 32612, score: 54
gen alive: 18, params: min opp score: 422.7236679380361, danger divisor: 1.286596863030676, corner divisor: 2.862241644415418, corner exponent: 1.7007481374325488, id: 29488, score: 54
gen alive: 14, params: danger divisor: 2.914264166191812, min opp score: 202.5749573151316, corner divisor: 2.862241644415418, corner exponent: 2.5580553710702327, id: 32572, score: 54
gen alive: 11, params: corner divisor: 1.38057181318413, corner exponent: 1.761426196647152, min opp score: 422.7236679380361, danger divisor: 1.286596863030676, id: 31405, score: 54
gen alive: 7, params: danger divisor: 1.9870869242210905, min opp score: 126.32130206031114, corner divisor: 2.862241644415418, corner exponent: 2.7305056666446275, id: 32624, score: 54
gen alive: 6, params: corner divisor: 1.38057181318413, corner exponent: 1.761426196647152, min opp score: 811.4688736186648, danger divisor: 1.286596863030676, id: 32479, score: 54
gen alive: 30, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 161.39171022896363, danger divisor: 3.094864775564959, id: 28951, score: 51
gen alive: 23, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 201.6735042815908, danger divisor: 7.895517251511161, id: 30613, score: 51
gen alive: 22, params: corner divisor: 1.924872582001383, corner exponent: 2.8664371522540826, min opp score: 210.97974675215204, danger divisor: 2.914264166191812, id: 31514, score: 51
gen alive: 20, params: min opp score: 161.39171022896363, danger divisor: 2.4247321629597076, corner divisor: 2.862241644415418, corner exponent: 1.5891631646175073, id: 30510, score: 51
gen alive: 19, params: corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, danger divisor: 2.305755204698305, min opp score: 497.38606613034364, id: 31610, score: 51
gen alive: 14, params: corner divisor: 1.924872582001383, corner exponent: 2.65964097961648, min opp score: 181.24629162465823, danger divisor: 1.286596863030676, id: 32079, score: 51
gen alive: 8, params: corner divisor: 5.366354452102778, corner exponent: 2.4888656492239223, min opp score: 210.97974675215204, danger divisor: 4.7227352219785, id: 32345, score: 51
gen alive: 22, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 316.239352851628, id: 30520, score: 49
gen alive: 18, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 139.1762947009676, danger divisor: 3.278240095371657, id: 30531, score: 49
gen alive: 14, params: corner divisor: 1.3825478848461685, corner exponent: 2.8495411704260833, danger divisor: 2.305755204698305, min opp score: 181.24629162465823, id: 32027, score: 49
gen alive: 2, params: corner divisor: 2.862241644415418, corner exponent: 2.297302771772983, min opp score: 474.83295135546706, danger divisor: 5.688392257607322, id: 32971, score: 49
gen alive: 25, params: corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, min opp score: 170.58405237342106, danger divisor: 1.7502101156723189, id: 31054, score: 48
gen alive: 21, params: min opp score: 422.7236679380361, danger divisor: 1.5333675855034437, corner divisor: 2.865263203361331, corner exponent: 2.65964097961648, id: 32062, score: 48
gen alive: 21, params: min opp score: 139.1762947009676, danger divisor: 1.867775139352426, corner divisor: 2.190810671313228, corner exponent: 2.4558780495786436, id: 31560, score: 48
gen alive: 19, params: corner divisor: 1.4141726915481594, corner exponent: 2.538812764620567, danger divisor: 1.721555916548688, min opp score: 275.18253682233967, id: 29837, score: 48
gen alive: 19, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 148.5830980749371, danger divisor: 2.272649183166843, id: 32560, score: 48
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 1.5390558275077049, id: 31627, score: 48
gen alive: 16, params: corner divisor: 2.0301067311757217, corner exponent: 2.7305056666446275, danger divisor: 7.918517597942124, min opp score: 181.24629162465823, id: 29289, score: 48
gen alive: 13, params: corner divisor: 1.38057181318413, corner exponent: 1.9505563790377844, min opp score: 122.4941592700856, danger divisor: 1.286596863030676, id: 32551, score: 48
gen alive: 11, params: corner divisor: 1.924872582001383, corner exponent: 1.7383821831468935, danger divisor: 2.305755204698305, min opp score: 181.24629162465823, id: 31385, score: 48
gen alive: 9, params: corner divisor: 5.072178240936983, corner exponent: 2.2598701791750018, min opp score: 139.1762947009676, danger divisor: 3.2260691062100193, id: 31393, score: 48
gen alive: 8, params: corner divisor: 3.065113543977146, corner exponent: 2.370181036339367, min opp score: 104.61670016608777, danger divisor: 13.202810961670762, id: 32813, score: 48
gen alive: 4, params: danger divisor: 1.9870869242210905, min opp score: 274.95160711939195, corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, id: 31091, score: 48
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 1.7520585311117283, min opp score: 161.39171022896363, danger divisor: 2.272649183166843, id: 32076, score: 46
gen alive: 17, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 140.64327332353807, id: 29519, score: 46
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, danger divisor: 9.389876264341792, min opp score: 599.0345168720596, id: 31287, score: 46
gen alive: 10, params: corner divisor: 1.5674031545418696, corner exponent: 1.4175218159365535, min opp score: 209.6381328125266, danger divisor: 1.721555916548688, id: 30779, score: 46
gen alive: 10, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 172.14089408567247, danger divisor: 2.7610173220029974, id: 31359, score: 46
gen alive: 33, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, min opp score: 170.58405237342106, danger divisor: 1.5333675855034437, id: 31107, score: 45
gen alive: 29, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 1.867775139352426, min opp score: 186.51853826082674, id: 27057, score: 45
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 2.2759086394161656, danger divisor: 2.7610173220029974, min opp score: 284.6640336040204, id: 28387, score: 45
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 2.8518345300175136, min opp score: 161.39171022896363, danger divisor: 8.641229629305972, id: 31531, score: 45
gen alive: 24, params: danger divisor: 9.35674072637808, min opp score: 170.58405237342106, corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, id: 31051, score: 45
gen alive: 23, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 2.305755204698305, min opp score: 113.04675385150676, id: 31095, score: 45
gen alive: 22, params: corner divisor: 1.924872582001383, corner exponent: 1.700514620446684, danger divisor: 1.5333675855034437, min opp score: 765.4046365051223, id: 29500, score: 45
gen alive: 20, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 140.64327332353807, danger divisor: 1.286596863030676, id: 32018, score: 45
gen alive: 20, params: min opp score: 422.7236679380361, danger divisor: 2.550749837089523, corner divisor: 1.924872582001383, corner exponent: 2.3348231010915717, id: 30043, score: 45
gen alive: 20, params: corner divisor: 1.4141726915481594, corner exponent: 2.4888656492239223, min opp score: 201.6735042815908, danger divisor: 14.96839285386515, id: 33059, score: 45
gen alive: 19, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 113.04675385150676, id: 32061, score: 45
gen alive: 19, params: min opp score: 457.90872599160775, danger divisor: 1.8741957435641958, corner divisor: 1.4141726915481594, corner exponent: 1.7007481374325488, id: 33154, score: 45
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 2.305755204698305, min opp score: 181.24629162465823, id: 30511, score: 45
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.286596863030676, min opp score: 139.1762947009676, id: 32523, score: 45
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.5390558275077049, min opp score: 269.78539155913063, id: 32532, score: 45
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 139.1762947009676, danger divisor: 1.0824483397993152, id: 30500, score: 45
gen alive: 16, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 527.6573515977095, danger divisor: 2.55846266216978, id: 33162, score: 45
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.3348231010915717, min opp score: 201.6735042815908, danger divisor: 6.318596646943872, id: 32531, score: 45
gen alive: 15, params: corner divisor: 1.0290058383826213, corner exponent: 2.4888656492239223, min opp score: 210.97974675215204, danger divisor: 1.734726635741528, id: 32099, score: 45
gen alive: 13, params: corner divisor: 1.4446526150119707, corner exponent: 1.4955933007394728, danger divisor: 4.504404780661965, min opp score: 189.06154507642202, id: 31021, score: 45
gen alive: 12, params: corner divisor: 1.8908946854051345, corner exponent: 2.6666326185896345, danger divisor: 5.055701253778883, min opp score: 147.48583327747826, id: 29221, score: 45
gen alive: 11, params: corner divisor: 1.4141726915481594, corner exponent: 2.3348231010915717, min opp score: 262.5604800274798, danger divisor: 2.305755204698305, id: 32455, score: 45
gen alive: 9, params: corner divisor: 2.862241644415418, corner exponent: 2.4199075958525986, danger divisor: 2.7610173220029974, min opp score: 518.275664851488, id: 32967, score: 45
gen alive: 4, params: min opp score: 422.7236679380361, danger divisor: 3.915028182108931, corner divisor: 8.08832001029966, corner exponent: 2.65964097961648, id: 32249, score: 45
gen alive: 4, params: corner divisor: 1.8908946854051345, corner exponent: 1.9936025433504612, min opp score: 884.2807626994463, danger divisor: 1.286596863030676, id: 32903, score: 45
gen alive: 3, params: corner divisor: 4.147462679697116, corner exponent: 2.647676694429058, min opp score: 272.0247272189096, danger divisor: 1.907414930420253, id: 28695, score: 45
gen alive: 30, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, danger divisor: 2.305755204698305, min opp score: 139.1762947009676, id: 29573, score: 43
gen alive: 25, params: min opp score: 422.7236679380361, danger divisor: 1.5333675855034437, corner divisor: 2.862241644415418, corner exponent: 2.65964097961648, id: 33033, score: 43
gen alive: 14, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 144.36856232262755, danger divisor: 10.066529224210518, id: 30431, score: 43
gen alive: 10, params: corner divisor: 1.4141726915481594, corner exponent: 1.309903152027673, danger divisor: 1.286596863030676, min opp score: 113.04675385150676, id: 32837, score: 43
gen alive: 9, params: corner divisor: 18.942860845267802, corner exponent: 1.8049837790951773, min opp score: 161.39171022896363, danger divisor: 1.3107070662193667, id: 32973, score: 43
gen alive: 26, params: corner divisor: 1.924872582001383, corner exponent: 2.440867028945015, danger divisor: 2.7610173220029974, min opp score: 181.24629162465823, id: 33088, score: 42
gen alive: 25, params: corner divisor: 1.9130252648200337, corner exponent: 2.887936018192521, danger divisor: 2.305755204698305, min opp score: 201.6735042815908, id: 30485, score: 42
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 144.36856232262755, danger divisor: 2.914264166191812, id: 27521, score: 42
gen alive: 22, params: corner divisor: 1.924872582001383, corner exponent: 2.4888656492239223, min opp score: 201.6735042815908, danger divisor: 14.96839285386515, id: 29508, score: 42
gen alive: 22, params: min opp score: 164.37054741828962, danger divisor: 1.867775139352426, corner divisor: 2.190810671313228, corner exponent: 2.4951963228436944, id: 30501, score: 42
