gen alive: 27, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 139.1762947009676, danger divisor: 3.2260691062100193, id: 33633, score: 60
gen alive: 32, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 316.239352851628, id: 30520, score: 57
gen alive: 28, params: min opp score: 139.1762947009676, danger divisor: 2.550749837089523, corner divisor: 1.924872582001383, corner exponent: 2.3348231010915717, id: 35723, score: 57
gen alive: 27, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 1.0824483397993152, id: 37670, score: 57
gen alive: 26, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 2.7610173220029974, min opp score: 210.97974675215204, id: 37132, score: 57
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 181.24629162465823, danger divisor: 1.0824483397993152, id: 34052, score: 57
gen alive: 18, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.305755204698305, min opp score: 791.4041130968949, id: 34811, score: 57
gen alive: 16, params: corner divisor: 1.6605167116807906, corner exponent: 2.998997981500411, danger divisor: 1.2795981536117687, min opp score: 209.6381328125266, id: 36670, score: 57
gen alive: 5, params: corner divisor: 2.2245316205770544, corner exponent: 2.3899496837304257, min opp score: 101.91333084099588, danger divisor: 1.286596863030676, id: 37656, score: 57
gen alive: 22, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 784.7806318117356, id: 37111, score: 55
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.7610173220029974, min opp score: 212.75495741371265, id: 34603, score: 54
gen alive: 22, params: corner divisor: 3.8388720256400437, corner exponent: 2.998997981500411, min opp score: 201.6735042815908, danger divisor: 2.305755204698305, id: 37171, score: 54
gen alive: 21, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 201.6735042815908, danger divisor: 7.444128667746196, id: 37206, score: 54
gen alive: 18, params: danger divisor: 2.550749837089523, min opp score: 599.0345168720596, corner divisor: 2.862241644415418, corner exponent: 2.5580553710702327, id: 37146, score: 54
gen alive: 6, params: corner divisor: 2.438497591931453, corner exponent: 2.0969716871489106, danger divisor: 2.914264166191812, min opp score: 209.6381328125266, id: 37021, score: 54
gen alive: 27, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 2.7610173220029974, min opp score: 164.37054741828962, id: 37112, score: 52
gen alive: 27, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, min opp score: 144.36856232262755, danger divisor: 2.7610173220029974, id: 37140, score: 52
gen alive: 26, params: corner divisor: 1.924872582001383, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 181.24629162465823, id: 32528, score: 52
gen alive: 4, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, danger divisor: 2.633225183514069, min opp score: 209.6381328125266, id: 36222, score: 52
gen alive: 28, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 144.36856232262755, id: 34075, score: 51
gen alive: 26, params: corner divisor: 1.924872582001383, corner exponent: 2.5580553710702327, danger divisor: 2.550749837089523, min opp score: 202.5749573151316, id: 35599, score: 51
gen alive: 24, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 122.4941592700856, danger divisor: 1.286596863030676, id: 34575, score: 51
gen alive: 23, params: corner divisor: 2.438497591931453, corner exponent: 2.998997981500411, danger divisor: 2.55846266216978, min opp score: 181.24629162465823, id: 37186, score: 51
gen alive: 22, params: corner divisor: 4.570091971540577, corner exponent: 2.6666326185896345, min opp score: 209.6381328125266, danger divisor: 2.305755204698305, id: 36223, score: 51
gen alive: 21, params: min opp score: 126.32130206031114, danger divisor: 1.286596863030676, corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, id: 36182, score: 51
gen alive: 20, params: min opp score: 273.07473081803323, danger divisor: 1.0824483397993152, corner divisor: 2.862241644415418, corner exponent: 1.7007481374325488, id: 38245, score: 51
gen alive: 16, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 148.5830980749371, danger divisor: 9.154363815628427, id: 37638, score: 51
