gen alive: 14, params: corner divisor: 1.4141726915481594, corner exponent: 2.9635476445850855, min opp score: 207.41967890122334, danger divisor: 5.2921199125345995, id: 21372, score: 55
gen alive: 26, params: min opp score: 499.77724644018997, danger divisor: 1.7502101156723189, corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, id: 18864, score: 54
gen alive: 20, params: corner divisor: 1.7276851942377975, corner exponent: 2.5487206557187614, min opp score: 227.6981482805573, danger divisor: 4.055048026648271, id: 20860, score: 54
gen alive: 12, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 127.7811319544603, danger divisor: 2.55846266216978, id: 20501, score: 54
gen alive: 12, params: danger divisor: 7.190374491449648, corner divisor: 2.8818171379531785, corner exponent: 1.682512476345791, min opp score: 227.6981482805573, id: 21275, score: 54
gen alive: 11, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, danger divisor: 2.55846266216978, min opp score: 381.41114653327935, id: 21849, score: 54
gen alive: 22, params: min opp score: 378.0428378100761, danger divisor: 4.300232389446088, corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, id: 16834, score: 51
gen alive: 18, params: corner divisor: 1.4141726915481594, corner exponent: 1.4469847114225045, min opp score: 170.58405237342106, danger divisor: 2.6141393977303182, id: 21946, score: 51
gen alive: 18, params: danger divisor: 7.590043421922636, min opp score: 227.6981482805573, corner divisor: 1.8908946854051345, corner exponent: 2.887936018192521, id: 22423, score: 51
gen alive: 17, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, danger divisor: 1.219823213563864, min opp score: 120.0635040711146, id: 21880, score: 51
gen alive: 14, params: corner divisor: 1.924872582001383, corner exponent: 1.859001772395734, min opp score: 103.51514861168721, danger divisor: 1.5390558275077049, id: 21828, score: 51
gen alive: 13, params: danger divisor: 4.978387190622138, min opp score: 227.6981482805573, corner divisor: 1.7609935629072142, corner exponent: 2.801476373047816, id: 21886, score: 51
gen alive: 11, params: corner divisor: 1.924872582001383, corner exponent: 2.538812764620567, min opp score: 276.4057116219106, danger divisor: 4.922304304399342, id: 21346, score: 51
gen alive: 11, params: corner divisor: 1.7276851942377975, corner exponent: 2.5487206557187614, min opp score: 210.97974675215204, danger divisor: 9.007108825635243, id: 21643, score: 51
gen alive: 11, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.6141393977303182, min opp score: 195.01361189096625, id: 22277, score: 51
gen alive: 10, params: corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, min opp score: 189.06154507642202, danger divisor: 1.3646928464194925, id: 21443, score: 51
gen alive: 10, params: corner divisor: 1.7276851942377975, corner exponent: 2.5487206557187614, min opp score: 210.97974675215204, danger divisor: 7.156911249530474, id: 22239, score: 51
gen alive: 9, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 153.88304749693788, danger divisor: 8.569270322583154, id: 21689, score: 51
gen alive: 2, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, danger divisor: 2.372110901933131, min opp score: 153.88304749693788, id: 21890, score: 51
gen alive: 1, params: min opp score: 191.4106959814793, danger divisor: 6.219929898439498, corner divisor: 6.494919377945576, corner exponent: 2.7589308764780394, id: 22029, score: 51
