gen alive: 17, params: corner divisor: 1.924872582001383, corner exponent: 1.9480737747149626, min opp score: 355.00746901397827, danger divisor: 1.3608522065063957, id: 55548, score: 57
gen alive: 11, params: corner divisor: 1.5170244504788477, corner exponent: 2.250589405232207, min opp score: 939.6898751543245, danger divisor: 1.0824483397993152, id: 55079, score: 57
gen alive: 19, params: corner divisor: 1.5867073576676085, corner exponent: 2.5421327663957394, danger divisor: 2.1363654620757626, min opp score: 113.04675385150676, id: 55533, score: 55
gen alive: 27, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, danger divisor: 6.8901530695152005, min opp score: 139.1762947009676, id: 55002, score: 54
gen alive: 24, params: corner divisor: 1.5867073576676085, corner exponent: 2.8664371522540826, min opp score: 141.34469833936106, danger divisor: 11.699705369203933, id: 53575, score: 54
gen alive: 23, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 3.214631474519019, min opp score: 159.49531753453243, id: 52482, score: 54
gen alive: 22, params: corner divisor: 1.924872582001383, corner exponent: 2.170852166339228, danger divisor: 1.2613610449236718, min opp score: 141.34469833936106, id: 55597, score: 54
gen alive: 21, params: corner divisor: 3.4133487471494073, corner exponent: 2.6183337165614438, danger divisor: 1.867775139352426, min opp score: 232.46216463846196, id: 49882, score: 54
gen alive: 21, params: corner divisor: 1.924872582001383, corner exponent: 2.4558780495786436, min opp score: 212.75495741371265, danger divisor: 2.640211854803856, id: 55494, score: 54
gen alive: 21, params: corner divisor: 1.5867073576676085, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 2.305755204698305, id: 54559, score: 54
gen alive: 20, params: corner divisor: 3.3543983211808075, corner exponent: 2.8518345300175136, min opp score: 144.36856232262755, danger divisor: 2.418516032870584, id: 54464, score: 54
gen alive: 19, params: corner divisor: 2.862241644415418, corner exponent: 2.2092253401801756, danger divisor: 4.547114937800634, min opp score: 139.1762947009676, id: 54459, score: 54
gen alive: 16, params: corner divisor: 3.0853759991241896, corner exponent: 1.7273098896886179, min opp score: 122.4941592700856, danger divisor: 2.5866368599334666, id: 53901, score: 54
gen alive: 16, params: corner divisor: 1.924872582001383, corner exponent: 1.413267176660802, danger divisor: 2.7610173220029974, min opp score: 103.50049571456505, id: 51462, score: 54
gen alive: 11, params: corner divisor: 2.862241644415418, corner exponent: 1.9563898692376067, min opp score: 241.54486850040072, danger divisor: 1.0824483397993152, id: 55495, score: 54
gen alive: 23, params: corner divisor: 1.924872582001383, corner exponent: 1.9480737747149626, min opp score: 117.71785595641863, danger divisor: 4.547114937800634, id: 54989, score: 52
gen alive: 23, params: corner divisor: 1.5170244504788477, corner exponent: 2.250589405232207, danger divisor: 2.914264166191812, min opp score: 113.04675385150676, id: 55489, score: 51
gen alive: 20, params: danger divisor: 3.113721459776067, min opp score: 121.28933370194736, corner divisor: 2.286479560309278, corner exponent: 2.2092253401801756, id: 53493, score: 51
gen alive: 18, params: corner divisor: 2.286479560309278, corner exponent: 1.9131907378909996, min opp score: 159.49531753453243, danger divisor: 1.1819450117298718, id: 54395, score: 51
gen alive: 18, params: corner divisor: 2.293459798726788, corner exponent: 2.8518345300175136, min opp score: 464.41291290884146, danger divisor: 1.286596863030676, id: 51315, score: 51
gen alive: 18, params: corner divisor: 2.286479560309278, corner exponent: 2.170852166339228, danger divisor: 5.230071066677799, min opp score: 122.4941592700856, id: 55107, score: 51
gen alive: 17, params: corner divisor: 1.5867073576676085, corner exponent: 2.8664371522540826, danger divisor: 2.1363654620757626, min opp score: 769.7421405700197, id: 53879, score: 51
gen alive: 14, params: corner divisor: 2.862241644415418, corner exponent: 2.2919101171518905, danger divisor: 2.914264166191812, min opp score: 144.36856232262755, id: 55511, score: 51
gen alive: 13, params: corner divisor: 2.183541439727949, corner exponent: 2.7305056666446275, danger divisor: 13.571902660165788, min opp score: 113.04675385150676, id: 54757, score: 51
gen alive: 13, params: corner divisor: 1.8001567401370742, corner exponent: 2.7633468324181267, min opp score: 174.63972453074246, danger divisor: 1.3608522065063957, id: 54345, score: 51
gen alive: 11, params: corner divisor: 2.862241644415418, corner exponent: 2.964955300447927, danger divisor: 15.83295657036129, min opp score: 139.1762947009676, id: 54851, score: 51
gen alive: 7, params: corner divisor: 1.0290058383826213, corner exponent: 2.0412723131988466, danger divisor: 1.0141331398018303, min opp score: 448.17596052814054, id: 52526, score: 51
gen alive: 6, params: corner divisor: 1.924872582001383, corner exponent: 2.9627205191805253, danger divisor: 2.4494099865610126, min opp score: 372.70656915817875, id: 54383, score: 51
gen alive: 1, params: corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, min opp score: 292.2320431654573, danger divisor: 5.181846672746587, id: 54889, score: 51
gen alive: 10, params: corner divisor: 1.5867073576676085, corner exponent: 1.7173015525225386, danger divisor: 1.0141331398018303, min opp score: 144.36856232262755, id: 56047, score: 50
gen alive: 26, params: corner divisor: 1.924872582001383, corner exponent: 1.7520585311117283, danger divisor: 1.3608522065063957, min opp score: 290.43359062424986, id: 55506, score: 49
gen alive: 8, params: corner divisor: 1.0290058383826213, corner exponent: 2.0412723131988466, danger divisor: 1.31974678349461, min opp score: 448.17596052814054, id: 55014, score: 49
gen alive: 33, params: corner divisor: 3.796031908071946, corner exponent: 2.998997981500411, min opp score: 139.1762947009676, danger divisor: 1.0824483397993152, id: 50377, score: 48
gen alive: 29, params: danger divisor: 1.907414930420253, min opp score: 141.34469833936106, corner divisor: 2.715330114932948, corner exponent: 2.5580553710702327, id: 55550, score: 48
gen alive: 25, params: corner divisor: 1.924872582001383, corner exponent: 2.170852166339228, min opp score: 117.71785595641863, danger divisor: 6.953780194133687, id: 54003, score: 48
gen alive: 25, params: corner divisor: 1.924872582001383, corner exponent: 1.9480737747149626, min opp score: 117.71785595641863, danger divisor: 1.0824483397993152, id: 53474, score: 48
gen alive: 24, params: corner divisor: 1.5867073576676085, corner exponent: 2.8664371522540826, danger divisor: 19.072700481155792, min opp score: 113.04675385150676, id: 55094, score: 48
gen alive: 19, params: corner divisor: 3.3543983211808075, corner exponent: 2.8518345300175136, min opp score: 605.7007032111112, danger divisor: 2.914264166191812, id: 52811, score: 48
gen alive: 17, params: corner divisor: 1.0290058383826213, corner exponent: 2.797041700236501, danger divisor: 3.0838274808205477, min opp score: 139.1762947009676, id: 55077, score: 48
gen alive: 17, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, danger divisor: 1.31974678349461, min opp score: 144.36856232262755, id: 55502, score: 48
gen alive: 15, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, danger divisor: 1.0824483397993152, min opp score: 201.06890545116488, id: 53512, score: 48
gen alive: 14, params: corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, danger divisor: 2.1363654620757626, min opp score: 103.50049571456505, id: 55039, score: 48
gen alive: 14, params: corner divisor: 2.286479560309278, corner exponent: 2.8518345300175136, min opp score: 530.4243634143115, danger divisor: 1.3608522065063957, id: 56054, score: 48
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.4630371416526673, min opp score: 117.71785595641863, danger divisor: 11.813023059314881, id: 55343, score: 48
gen alive: 13, params: corner divisor: 3.4133487471494073, corner exponent: 2.6183337165614438, danger divisor: 1.867775139352426, min opp score: 869.3711570121454, id: 53895, score: 48
gen alive: 12, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, min opp score: 111.94553575821192, danger divisor: 1.907414930420253, id: 54737, score: 48
gen alive: 12, params: corner divisor: 6.837230508401509, corner exponent: 1.7520585311117283, danger divisor: 3.214631474519019, min opp score: 298.6807972306034, id: 55361, score: 48
gen alive: 10, params: corner divisor: 1.924872582001383, corner exponent: 2.814261188799425, min opp score: 776.6764999327136, danger divisor: 2.272649183166843, id: 55019, score: 48
gen alive: 9, params: corner divisor: 1.924872582001383, corner exponent: 1.6005314344374777, danger divisor: 5.100605570527102, min opp score: 103.50049571456505, id: 54669, score: 48
gen alive: 5, params: corner divisor: 3.0853759991241896, corner exponent: 1.7273098896886179, min opp score: 122.4941592700856, danger divisor: 3.2004170428083745, id: 55755, score: 48
gen alive: 4, params: corner divisor: 2.4621994026289817, corner exponent: 1.7575784823070608, min opp score: 172.16830970627808, danger divisor: 3.1343196714432024, id: 54285, score: 48
