gen alive: 28, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 181.24629162465823, danger divisor: 2.0132378886645625, id: 51484, score: 55
gen alive: 14, params: corner divisor: 1.5867073576676085, corner exponent: 2.8518345300175136, min opp score: 144.36856232262755, danger divisor: 1.31974678349461, id: 51857, score: 55
gen alive: 33, params: corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, min opp score: 363.8764382642173, danger divisor: 1.3608522065063957, id: 50438, score: 54
gen alive: 28, params: corner divisor: 3.796031908071946, corner exponent: 2.8518345300175136, min opp score: 290.43359062424986, danger divisor: 1.0824483397993152, id: 51435, score: 54
gen alive: 27, params: corner divisor: 2.286479560309278, corner exponent: 2.8518345300175136, min opp score: 159.49531753453243, danger divisor: 2.305755204698305, id: 46315, score: 54
gen alive: 19, params: corner divisor: 2.6577319412927625, corner exponent: 2.814261188799425, min opp score: 139.1762947009676, danger divisor: 2.272649183166843, id: 52983, score: 54
gen alive: 18, params: corner divisor: 1.5867073576676085, corner exponent: 2.8664371522540826, danger divisor: 2.1363654620757626, min opp score: 112.88912744156491, id: 51976, score: 54
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.170852166339228, min opp score: 117.71785595641863, danger divisor: 2.272649183166843, id: 51902, score: 54
gen alive: 17, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 3.214631474519019, min opp score: 298.6807972306034, id: 50257, score: 54
gen alive: 16, params: corner divisor: 1.5867073576676085, corner exponent: 2.6183337165614438, danger divisor: 2.640211854803856, min opp score: 422.62866005435524, id: 52921, score: 54
gen alive: 10, params: corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, min opp score: 946.4677148888886, danger divisor: 1.3608522065063957, id: 52954, score: 54
gen alive: 16, params: corner divisor: 3.4133487471494073, corner exponent: 2.6183337165614438, danger divisor: 1.867775139352426, min opp score: 232.46216463846196, id: 49882, score: 52
gen alive: 6, params: corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, min opp score: 103.50049571456505, danger divisor: 15.020831320917921, id: 50633, score: 52
gen alive: 20, params: corner divisor: 1.4141726915481594, corner exponent: 2.797041700236501, danger divisor: 6.8901530695152005, min opp score: 139.1762947009676, id: 51437, score: 51
gen alive: 20, params: corner divisor: 4.4149792997536625, corner exponent: 2.8570447983143348, min opp score: 359.66792885231195, danger divisor: 3.113721459776067, id: 50891, score: 51
gen alive: 18, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 3.214631474519019, min opp score: 159.49531753453243, id: 52482, score: 51
gen alive: 17, params: corner divisor: 1.924872582001383, corner exponent: 1.7520585311117283, danger divisor: 1.867775139352426, min opp score: 273.07473081803323, id: 51949, score: 51
gen alive: 14, params: corner divisor: 3.371944044138247, corner exponent: 2.8518345300175136, danger divisor: 6.8901530695152005, min opp score: 273.07473081803323, id: 53039, score: 51
gen alive: 7, params: corner divisor: 1.0848887703827852, corner exponent: 2.539202520904765, danger divisor: 2.9199746289777586, min opp score: 699.173244949472, id: 51919, score: 51
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 2.7305056666446275, danger divisor: 2.640211854803856, min opp score: 819.8600457701431, id: 48867, score: 49
gen alive: 17, params: corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, min opp score: 363.8764382642173, danger divisor: 8.864534486213927, id: 52707, score: 49
gen alive: 37, params: corner divisor: 2.6577319412927625, corner exponent: 2.7305056666446275, danger divisor: 2.914264166191812, min opp score: 113.04675385150676, id: 43320, score: 48
gen alive: 28, params: corner divisor: 3.796031908071946, corner exponent: 2.998997981500411, min opp score: 139.1762947009676, danger divisor: 1.0824483397993152, id: 50377, score: 48
gen alive: 26, params: corner divisor: 2.6577319412927625, corner exponent: 2.7305056666446275, min opp score: 159.49531753453243, danger divisor: 1.2917968215992397, id: 52016, score: 48
gen alive: 21, params: corner divisor: 1.8908946854051345, corner exponent: 2.2919101171518905, min opp score: 147.71888365317977, danger divisor: 1.0824483397993152, id: 53051, score: 48
gen alive: 21, params: corner divisor: 1.8908946854051345, corner exponent: 2.2919101171518905, min opp score: 359.66792885231195, danger divisor: 3.113721459776067, id: 53491, score: 48
gen alive: 20, params: corner divisor: 2.286479560309278, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 2.305755204698305, id: 52456, score: 48
gen alive: 20, params: danger divisor: 2.7610173220029974, min opp score: 302.1733825532825, corner divisor: 2.715330114932948, corner exponent: 1.7173015525225386, id: 51441, score: 48
gen alive: 20, params: corner divisor: 1.924872582001383, corner exponent: 1.4965940245679257, danger divisor: 2.7610173220029974, min opp score: 290.43359062424986, id: 52434, score: 48
gen alive: 17, params: corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, min opp score: 159.49531753453243, danger divisor: 8.66242403640332, id: 51918, score: 48
gen alive: 16, params: corner divisor: 3.3543983211808075, corner exponent: 2.8518345300175136, min opp score: 144.36856232262755, danger divisor: 2.418516032870584, id: 50837, score: 48
gen alive: 16, params: corner divisor: 2.2510203302668983, corner exponent: 2.9893893961686375, min opp score: 670.8911148558536, danger divisor: 2.305755204698305, id: 53024, score: 48
gen alive: 10, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 8.737996461189663, min opp score: 298.6807972306034, id: 51779, score: 48
gen alive: 3, params: corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, min opp score: 850.1685187688013, danger divisor: 1.3608522065063957, id: 51657, score: 48
gen alive: 2, params: corner divisor: 5.859799428359095, corner exponent: 2.998997981500411, min opp score: 225.94496448149698, danger divisor: 1.7808221836541742, id: 52532, score: 48
gen alive: 30, params: corner divisor: 2.862241644415418, corner exponent: 2.592441284884862, danger divisor: 1.7808221836541742, min opp score: 141.34469833936106, id: 49996, score: 46
gen alive: 18, params: corner divisor: 1.8908946854051345, corner exponent: 2.2919101171518905, min opp score: 147.71888365317977, danger divisor: 5.100605570527102, id: 52450, score: 46
gen alive: 18, params: corner divisor: 5.859799428359095, corner exponent: 2.440867028945015, min opp score: 212.75495741371265, danger divisor: 2.272649183166843, id: 52937, score: 46
gen alive: 12, params: corner divisor: 13.358639948370083, corner exponent: 2.8664371522540826, danger divisor: 3.291305941479509, min opp score: 122.4941592700856, id: 53367, score: 46
gen alive: 8, params: corner divisor: 2.862241644415418, corner exponent: 2.5421327663957394, danger divisor: 1.3608522065063957, min opp score: 625.6068787660399, id: 53411, score: 46
gen alive: 3, params: danger divisor: 2.2803040226139086, min opp score: 264.1830960950646, corner divisor: 1.5867073576676085, corner exponent: 1.7173015525225386, id: 51996, score: 46
gen alive: 39, params: corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, min opp score: 290.43359062424986, danger divisor: 1.3608522065063957, id: 47836, score: 45
gen alive: 31, params: corner divisor: 1.8908946854051345, corner exponent: 1.7273098896886179, min opp score: 122.4941592700856, danger divisor: 2.914264166191812, id: 47868, score: 45
gen alive: 28, params: corner divisor: 1.924872582001383, corner exponent: 2.8518345300175136, danger divisor: 2.640211854803856, min opp score: 129.45426664334602, id: 51963, score: 45
gen alive: 25, params: corner divisor: 1.5867073576676085, corner exponent: 2.3348231010915717, danger divisor: 3.214631474519019, min opp score: 290.43359062424986, id: 51393, score: 45
gen alive: 25, params: corner divisor: 1.4141726915481594, corner exponent: 2.797041700236501, danger divisor: 1.7808221836541742, min opp score: 141.34469833936106, id: 53439, score: 45
gen alive: 21, params: corner divisor: 1.0290058383826213, corner exponent: 1.7273098896886179, min opp score: 122.4941592700856, danger divisor: 6.953780194133687, id: 52539, score: 45
gen alive: 20, params: corner divisor: 1.924872582001383, corner exponent: 2.170852166339228, min opp score: 117.71785595641863, danger divisor: 11.813023059314881, id: 53004, score: 45
gen alive: 20, params: corner divisor: 1.924872582001383, corner exponent: 1.413267176660802, danger divisor: 2.272649183166843, min opp score: 152.42264594012372, id: 53003, score: 45
gen alive: 19, params: corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 159.49531753453243, id: 50910, score: 45
gen alive: 19, params: corner divisor: 1.924872582001383, corner exponent: 1.413267176660802, danger divisor: 1.2917968215992397, min opp score: 139.1762947009676, id: 52966, score: 45
gen alive: 19, params: corner divisor: 1.8908946854051345, corner exponent: 1.7273098896886179, danger divisor: 8.737996461189663, min opp score: 122.4941592700856, id: 53040, score: 45
gen alive: 17, params: corner divisor: 2.6577319412927625, corner exponent: 2.814261188799425, min opp score: 139.1762947009676, danger divisor: 2.914264166191812, id: 51004, score: 45
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, min opp score: 355.00746901397827, danger divisor: 1.907414930420253, id: 53010, score: 45
gen alive: 15, params: corner divisor: 2.286479560309278, corner exponent: 2.8518345300175136, min opp score: 122.4941592700856, danger divisor: 3.0838274808205477, id: 52805, score: 45
gen alive: 14, params: corner divisor: 3.3543983211808075, corner exponent: 2.8518345300175136, min opp score: 605.7007032111112, danger divisor: 2.914264166191812, id: 52811, score: 45
gen alive: 14, params: corner divisor: 1.924872582001383, corner exponent: 2.8518345300175136, danger divisor: 9.921215809573596, min opp score: 138.32260415732293, id: 53351, score: 45
gen alive: 13, params: corner divisor: 1.8908946854051345, corner exponent: 2.508336006320293, danger divisor: 2.640211854803856, min opp score: 819.8600457701431, id: 52761, score: 45
gen alive: 13, params: corner divisor: 2.293459798726788, corner exponent: 2.8518345300175136, min opp score: 464.41291290884146, danger divisor: 1.286596863030676, id: 51315, score: 45
gen alive: 13, params: corner divisor: 1.5867073576676085, corner exponent: 2.6183337165614438, danger divisor: 1.867775139352426, min opp score: 725.9319041094138, id: 52317, score: 45
gen alive: 12, params: danger divisor: 6.8901530695152005, min opp score: 354.59969548537333, corner divisor: 1.0754743050586502, corner exponent: 2.0412723131988466, id: 53481, score: 45
gen alive: 9, params: corner divisor: 1.5867073576676085, corner exponent: 2.8664371522540826, danger divisor: 2.1363654620757626, min opp score: 807.4274803687068, id: 53429, score: 45
gen alive: 2, params: corner divisor: 1.5867073576676085, corner exponent: 2.3348231010915717, danger divisor: 3.3600435261608697, min opp score: 206.64358326754325, id: 52743, score: 45
gen alive: 1, params: corner divisor: 4.4149792997536625, corner exponent: 2.8570447983143348, min opp score: 178.45388083244984, danger divisor: 1.7808221836541742, id: 53067, score: 45
gen alive: 20, params: corner divisor: 1.924872582001383, corner exponent: 1.9480737747149626, min opp score: 117.71785595641863, danger divisor: 1.0824483397993152, id: 53474, score: 43
gen alive: 18, params: corner divisor: 1.8908946854051345, corner exponent: 2.8508496023561705, min opp score: 101.73362634119917, danger divisor: 15.93588998166148, id: 51445, score: 43
gen alive: 11, params: corner divisor: 1.924872582001383, corner exponent: 1.413267176660802, danger divisor: 2.7610173220029974, min opp score: 103.50049571456505, id: 51462, score: 43
gen alive: 10, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, danger divisor: 1.0824483397993152, min opp score: 201.06890545116488, id: 53512, score: 43
gen alive: 7, params: corner divisor: 1.5867073576676085, corner exponent: 1.861255411229122, danger divisor: 2.1363654620757626, min opp score: 625.2383338928234, id: 53359, score: 43
gen alive: 29, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, min opp score: 729.5290159506916, danger divisor: 1.907414930420253, id: 51419, score: 42
gen alive: 28, params: corner divisor: 1.5867073576676085, corner exponent: 2.8664371522540826, danger divisor: 6.375920604431782, min opp score: 141.34469833936106, id: 51983, score: 42
gen alive: 26, params: corner divisor: 1.8908946854051345, corner exponent: 2.4558780495786436, danger divisor: 1.907414930420253, min opp score: 141.34469833936106, id: 48401, score: 42
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 1.7273098896886179, min opp score: 422.62866005435524, danger divisor: 2.305755204698305, id: 51942, score: 42
gen alive: 24, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, min opp score: 540.822891241043, danger divisor: 1.2917968215992397, id: 53434, score: 42
gen alive: 23, params: corner divisor: 1.924872582001383, corner exponent: 1.9480737747149626, min opp score: 117.71785595641863, danger divisor: 4.547114937800634, id: 52457, score: 42
gen alive: 23, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 6.8901530695152005, min opp score: 422.62866005435524, id: 53475, score: 42
gen alive: 21, params: corner divisor: 2.6577319412927625, corner exponent: 2.7305056666446275, danger divisor: 19.072700481155792, min opp score: 113.04675385150676, id: 50725, score: 42
gen alive: 20, params: corner divisor: 3.371944044138247, corner exponent: 2.8518345300175136, min opp score: 363.8764382642173, danger divisor: 2.292689906169952, id: 52934, score: 42
gen alive: 19, params: corner divisor: 2.862241644415418, corner exponent: 2.2919101171518905, danger divisor: 6.375920604431782, min opp score: 129.45426664334602, id: 47161, score: 42
gen alive: 19, params: corner divisor: 1.5867073576676085, corner exponent: 2.8664371522540826, min opp score: 141.34469833936106, danger divisor: 11.699705369203933, id: 53575, score: 42
gen alive: 16, params: danger divisor: 3.113721459776067, min opp score: 121.28933370194736, corner divisor: 2.715330114932948, corner exponent: 2.2092253401801756, id: 52519, score: 42
gen alive: 16, params: danger divisor: 2.1363654620757626, min opp score: 543.5327782002294, corner divisor: 1.8908946854051345, corner exponent: 1.9480737747149626, id: 53032, score: 42
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 2.2919101171518905, danger divisor: 1.31974678349461, min opp score: 144.36856232262755, id: 53435, score: 42
gen alive: 15, params: corner divisor: 3.3543983211808075, corner exponent: 2.8518345300175136, min opp score: 605.7007032111112, danger divisor: 3.028288091644977, id: 53450, score: 42
gen alive: 15, params: danger divisor: 3.113721459776067, min opp score: 121.28933370194736, corner divisor: 2.286479560309278, corner exponent: 2.2092253401801756, id: 53493, score: 42
gen alive: 14, params: corner divisor: 1.5867073576676085, corner exponent: 2.6183337165614438, danger divisor: 3.1616028286456004, min opp score: 422.62866005435524, id: 51418, score: 42
gen alive: 14, params: corner divisor: 1.924872582001383, corner exponent: 2.170852166339228, danger divisor: 5.230071066677799, min opp score: 227.9502315210596, id: 53432, score: 42
gen alive: 13, params: corner divisor: 3.371944044138247, corner exponent: 2.8518345300175136, min opp score: 540.822891241043, danger divisor: 1.2917968215992397, id: 53489, score: 42
gen alive: 11, params: corner divisor: 6.515979859384904, corner exponent: 1.8507674568127352, min opp score: 139.1762947009676, danger divisor: 14.139034915837067, id: 53373, score: 42
gen alive: 9, params: danger divisor: 3.113721459776067, min opp score: 202.6426593775755, corner divisor: 2.715330114932948, corner exponent: 2.2092253401801756, id: 52679, score: 42
gen alive: 8, params: corner divisor: 3.371944044138247, corner exponent: 2.8518345300175136, min opp score: 464.7666494156684, danger divisor: 2.292689906169952, id: 52655, score: 42
gen alive: 6, params: corner divisor: 1.4141726915481594, corner exponent: 2.5866959707676767, danger divisor: 2.765575918147451, min opp score: 405.93779388412236, id: 50119, score: 42
gen alive: 2, params: corner divisor: 1.0290058383826213, corner exponent: 2.0412723131988466, danger divisor: 1.0141331398018303, min opp score: 448.17596052814054, id: 52526, score: 42
gen alive: 1, params: corner divisor: 4.167035376612677, corner exponent: 2.583374788712221, danger divisor: 6.718233212404886, min opp score: 140.75079024889095, id: 52711, score: 42
gen alive: 22, params: corner divisor: 1.8908946854051345, corner exponent: 2.4558780495786436, danger divisor: 2.1363654620757626, min opp score: 141.34469833936106, id: 53545, score: 41
gen alive: 1, params: corner divisor: 2.862241644415418, corner exponent: 2.440867028945015, min opp score: 335.0390743632368, danger divisor: 6.924470260714797, id: 53053, score: 41
gen alive: 30, params: danger divisor: 1.867775139352426, min opp score: 273.07473081803323, corner divisor: 2.286479560309278, corner exponent: 2.8518345300175136, id: 50386, score: 40
gen alive: 26, params: corner divisor: 2.862241644415418, corner exponent: 2.592441284884862, min opp score: 141.34469833936106, danger divisor: 2.1363654620757626, id: 53014, score: 40
gen alive: 24, params: corner divisor: 2.862241644415418, corner exponent: 2.8570447983143348, min opp score: 359.66792885231195, danger divisor: 3.113721459776067, id: 53444, score: 40
gen alive: 21, params: danger divisor: 3.113721459776067, min opp score: 159.49531753453243, corner divisor: 2.6577319412927625, corner exponent: 2.7305056666446275, id: 53448, score: 40
